Nation,Similarity Score
Afghanistan,56
Albania,45
Algeria,45
Andorra,64
Angola,25
Antigua and Barbuda,177
Armenia,137
Australia,5
Austria,53
Azerbaijan,46
Bahamas,196
Belarus,150
Belgium,23
Belize,54
Benin,39
Bosnia and Herzegovina,38
Brazil,76
Bulgaria,32
Burkina Faso,74
Burundi,129
Cambodia,53
Cameroon,60
Canada,62
Cape Verde,65
Central African Republic,82
Chad,55
Chile,104
Comoros,177
Congo,56
Costa Rica,48
Cote d'Ivoire,71
Croatia,18
Cuba,12
Cyprus,52
Czechia,17
Democratic Republic of Congo,63
Denmark,64
Djibouti,58
Dominica,72
Dominican Republic,70
Ecuador,31
Egypt,56
Equatorial Guinea,176
Eritrea,54
Estonia,61
Eswatini,32
Ethiopia,48
Finland,19
France,15
Gambia,23
Georgia,21
Germany,17
Ghana,47
Greece,42
Grenada,177
Guatemala,15
Guinea,20
Guinea-Bissau,176
Guyana,38
Haiti,43
Honduras,66
Hungary,60
India,16
International,177
Iran,51
Iraq,78
Ireland,33
Israel,62
Italy,16
Jamaica,24
Japan,22
Jordan,52
Kazakhstan,24
Kenya,32
Kosovo,72
Kyrgyzstan,30
Laos,71
Latvia,50
Lebanon,46
Lesotho,47
Liberia,11
Libya,56
Liechtenstein,149
Lithuania,48
Luxembourg,64
Madagascar,62
Malawi,28
Mali,64
Malta,165
Marshall Islands,177
Mauritania,41
Mauritius,86
Mexico,73
Moldova,41
Monaco,74
Montenegro,171
Morocco,73
Mozambique,28
Myanmar,44
Namibia,61
Netherlands,58
Nicaragua,136
Niger,84
North Macedonia,167
Norway,26
Pakistan,21
Palestine,74
Papua New Guinea,14
Peru,115
Philippines,4
Portugal,18
Qatar,60
Romania,27
Russia,46
Saint Kitts and Nevis,176
Saint Lucia,177
Saint Vincent and the Grenadines,177
Samoa,177
San Marino,40
Sao Tome and Principe,174
Saudi Arabia,22
Senegal,54
Serbia,45
Seychelles,30
Sierra Leone,68
Slovakia,49
Slovenia,55
Solomon Islands,28
Somalia,62
South Africa,58
South Korea,13
South Sudan,45
Spain,30
Sri Lanka,12
Sudan,24
Suriname,79
Sweden,60
Switzerland,39
Syria,43
Tanzania,77
Thailand,35
Timor,43
Togo,54
Trinidad and Tobago,24
Tunisia,67
Turkey,18
Uganda,12
Ukraine,65
United Arab Emirates,71
United States,68
Uruguay,56
Vanuatu,82
Vatican,170
Venezuela,40
Vietnam,9
Yemen,70
Zambia,40
Zimbabwe,8
Paraguay,45
Bangladesh,5
Barbados,10
Botswana,12
Fiji,5
New Zealand,35
Nigeria,6
Oman,38
Tajikistan,42
United Kingdom,14
Uzbekistan,7
Taiwan,44
Bahrain,60
Kuwait,68
Panama,71
Singapore,19
Gabon,9
Bolivia,30
Colombia,69
Argentina,52
El Salvador,12
Nepal,26
Iceland,20
Brunei,11
Poland,11
Mongolia,8
Malaysia,7
Bhutan,2
China,3
Indonesia,3
Rwanda,2
