Nation,Similarity Score
Afghanistan,103
Albania,58
Algeria,154
Andorra,132
Angola,115
Antigua and Barbuda,58
Armenia,53
Australia,143
Austria,114
Azerbaijan,71
Bahamas,56
Belarus,56
Belgium,74
Belize,105
Benin,204
Bosnia and Herzegovina,58
Brazil,44
Bulgaria,130
Burkina Faso,190
Burundi,18
Cambodia,192
Cameroon,222
Canada,92
Cape Verde,62
Central African Republic,211
Chad,150
Chile,82
Comoros,58
Congo,152
Costa Rica,96
Cote d'Ivoire,192
Croatia,79
Cuba,121
Cyprus,172
Czechia,61
Democratic Republic of Congo,190
Denmark,127
Djibouti,201
Dominica,213
Dominican Republic,78
Ecuador,46
Egypt,185
Equatorial Guinea,58
Eritrea,130
Estonia,114
Eswatini,109
Ethiopia,165
Finland,122
France,90
Gambia,144
Georgia,97
Germany,106
Ghana,209
Greece,150
Grenada,58
Guatemala,70
Guinea,139
Guinea-Bissau,58
Guyana,66
Haiti,143
Honduras,79
Hungary,159
India,75
International,58
Iran,78
Iraq,64
Ireland,77
Israel,54
Italy,94
Jamaica,101
Japan,118
Jordan,145
Kazakhstan,69
Kenya,112
Kosovo,89
Kyrgyzstan,48
Laos,153
Latvia,192
Lebanon,89
Lesotho,161
Liberia,141
Libya,45
Liechtenstein,53
Lithuania,146
Luxembourg,84
Madagascar,173
Malawi,169
Maldives,54
Mali,252
Malta,47
Marshall Islands,58
Mauritania,115
Mauritius,129
Mexico,120
Moldova,16
Monaco,31
Montenegro,53
Morocco,76
Mozambique,123
Myanmar,138
Namibia,191
Netherlands,108
Nicaragua,49
Niger,90
North Macedonia,54
Norway,127
Pakistan,154
Palestine,54
Papua New Guinea,196
Peru,63
Philippines,68
Portugal,34
Qatar,16
Romania,73
Russia,36
Saint Kitts and Nevis,58
Saint Lucia,58
Saint Vincent and the Grenadines,58
Samoa,58
San Marino,117
Sao Tome and Principe,58
Saudi Arabia,77
Senegal,246
Serbia,98
Seychelles,98
Sierra Leone,208
Slovakia,152
Slovenia,130
Solomon Islands,139
Somalia,167
South Africa,108
South Korea,198
South Sudan,148
Spain,81
Sri Lanka,180
Sudan,99
Suriname,151
Sweden,119
Switzerland,116
Syria,174
Tanzania,89
Thailand,261
Timor,103
Trinidad and Tobago,127
Tunisia,108
Turkey,141
Uganda,95
Ukraine,96
United Arab Emirates,56
United States,11
Uruguay,191
Vanuatu,146
Vatican,57
Venezuela,133
Vietnam,158
Yemen,165
Zambia,197
Zimbabwe,97
Paraguay,28
Bangladesh,81
Barbados,171
Botswana,148
Fiji,183
New Zealand,68
Nigeria,129
Oman,30
Tajikistan,136
United Kingdom,30
Uzbekistan,127
Nepal,35
Argentina,18
Bahrain,15
Bhutan,116
Gabon,118
Indonesia,165
Malaysia,211
Rwanda,102
Singapore,125
Taiwan,33
Colombia,23
Mongolia,170
Brunei,145
El Salvador,67
Panama,12
Poland,127
Bolivia,73
China,125
Kuwait,7
Iceland,82
Hong Kong,45
