Nation,Similarity Score
Argentina,228
Bahrain,123
Bangladesh,108
Barbados,114
Botswana,125
Brunei,83
El Salvador,114
Fiji,87
Gabon,123
Iceland,64
Indonesia,89
Kuwait,187
Malaysia,47
Mongolia,76
Nepal,109
New Zealand,28
Nigeria,128
Oman,130
Panama,208
Paraguay,166
Poland,107
Rwanda,65
Tajikistan,81
United Kingdom,86
Uzbekistan,127
Bhutan,115
Czechia,63
France,71
Germany,138
Moldova,210
Monaco,128
Philippines,97
Singapore,60
Taiwan,10
India,137
Australia,31
Bolivia,137
China,70
Ecuador,154
Portugal,107
Papua New Guinea,93
Belgium,84
Croatia,87
Cuba,72
Finland,75
Georgia,107
Guatemala,138
Guinea,117
Kyrgyzstan,150
Sri Lanka,92
Sudan,120
Zimbabwe,110
Brazil,199
Canada,97
Eswatini,125
Ethiopia,34
Ghana,56
Guyana,137
Israel,127
Italy,21
Japan,53
Kazakhstan,104
Kenya,78
Liberia,114
Qatar,114
Romania,143
Serbia,78
Slovakia,41
South Africa,101
Turkey,95
United Arab Emirates,85
Russia,146
Saudi Arabia,104
Seychelles,85
Timor,91
Trinidad and Tobago,129
Uganda,102
Bosnia and Herzegovina,172
Jamaica,82
Norway,74
Pakistan,110
Spain,98
Burundi,35
United States,135
Ireland,96
Cape Verde,195
Costa Rica,188
Mauritania,96
Angola,102
Solomon Islands,68
Gambia,111
Libya,150
Bulgaria,82
Malawi,74
Mozambique,71
Albania,141
Belize,154
Iraq,154
Lebanon,158
Benin,66
Iran,104
Palestine,171
Zambia,49
Afghanistan,99
San Marino,49
Austria,53
South Sudan,92
Greece,65
Nicaragua,15
Denmark,55
Latvia,48
Lithuania,49
Azerbaijan,136
Switzerland,36
Venezuela,95
Hungary,60
Dominican Republic,142
Honduras,146
Haiti,89
Ukraine,139
Congo,81
Lesotho,74
Morocco,122
Slovenia,32
Tunisia,88
Cyprus,61
Jordan,108
Luxembourg,30
Peru,147
Algeria,87
Chad,67
Democratic Republic of Congo,83
Cambodia,58
Syria,91
Myanmar,33
Netherlands,92
Sweden,83
Andorra,54
Antigua and Barbuda,6
Armenia,38
Bahamas,61
Burkina Faso,69
Cameroon,67
Central African Republic,72
Chile,111
Comoros,5
Cote d'Ivoire,80
Djibouti,71
Dominica,72
Egypt,91
Equatorial Guinea,6
Eritrea,85
Estonia,41
Grenada,5
Guinea-Bissau,5
International,5
Laos,58
Liechtenstein,13
Madagascar,72
Maldives,85
Mali,63
Marshall Islands,5
Mauritius,71
Montenegro,41
Namibia,63
Niger,34
North Macedonia,40
Saint Kitts and Nevis,5
Saint Lucia,6
Saint Vincent and the Grenadines,5
Samoa,5
Sao Tome and Principe,4
Senegal,81
Sierra Leone,67
Somalia,57
Suriname,121
Tanzania,43
Togo,41
Uruguay,32
Vanuatu,74
Vatican,5
Yemen,48
Vietnam,42
South Korea,4
Thailand,9
Mexico,107
Kosovo,121
Hong Kong,2
Malta,53
Belarus,48
