Nation,Similarity Score
Afghanistan,118
Albania,195
Algeria,186
Andorra,121
Angola,156
Antigua and Barbuda,59
Armenia,81
Australia,9
Austria,69
Azerbaijan,193
Bahamas,69
Belarus,70
Belgium,49
Belize,154
Benin,106
Bosnia and Herzegovina,174
Brazil,110
Bulgaria,101
Burkina Faso,134
Burundi,24
Cambodia,109
Cameroon,154
Canada,125
Cape Verde,138
Central African Republic,150
Chad,164
Chile,149
Comoros,58
Congo,179
Costa Rica,140
Cote d'Ivoire,156
Croatia,79
Cuba,43
Cyprus,81
Czechia,57
Democratic Republic of Congo,157
Denmark,79
Djibouti,155
Dominica,130
Dominican Republic,215
Ecuador,159
Egypt,181
Equatorial Guinea,58
Eritrea,189
Estonia,80
Eswatini,179
Ethiopia,130
Finland,59
France,53
Gambia,150
Georgia,135
Germany,128
Ghana,137
Greece,119
Grenada,58
Guatemala,178
Guinea,127
Guinea-Bissau,58
Guyana,143
Haiti,158
Honduras,214
Hungary,80
India,150
International,58
Iran,143
Iraq,169
Ireland,51
Israel,92
Italy,33
Jamaica,125
Japan,67
Jordan,180
Kazakhstan,124
Kenya,145
Kyrgyzstan,178
Laos,126
Latvia,70
Lebanon,160
Lesotho,174
Liberia,148
Libya,122
Liechtenstein,68
Lithuania,85
Luxembourg,60
Madagascar,176
Malawi,114
Maldives,81
Mali,141
Malta,67
Marshall Islands,58
Mauritania,91
Mauritius,125
Mexico,199
Moldova,142
Monaco,78
Montenegro,91
Morocco,159
Mozambique,122
Myanmar,110
Namibia,155
Netherlands,158
Nicaragua,46
Niger,81
North Macedonia,86
Norway,48
Pakistan,150
Palestine,200
Papua New Guinea,104
Peru,142
Philippines,157
Portugal,69
Qatar,84
Romania,153
Russia,84
Saint Kitts and Nevis,58
Saint Lucia,58
Saint Vincent and the Grenadines,58
Samoa,58
San Marino,86
Sao Tome and Principe,57
Saudi Arabia,92
Senegal,157
Serbia,130
Seychelles,76
Sierra Leone,126
Slovakia,87
Slovenia,76
Solomon Islands,66
Somalia,125
South Africa,177
South Korea,28
South Sudan,151
Spain,89
Sri Lanka,82
Sudan,137
Suriname,192
Sweden,124
Switzerland,92
Syria,172
Tanzania,84
Thailand,27
Timor,64
Togo,130
Trinidad and Tobago,129
Tunisia,101
Turkey,122
Uganda,141
Ukraine,193
United Arab Emirates,49
United States,69
Uruguay,83
Vanuatu,137
Vatican,55
Venezuela,194
Vietnam,68
Yemen,116
Zambia,107
Zimbabwe,131
Gabon,123
Kuwait,90
Nigeria,134
Paraguay,135
Poland,79
Tajikistan,63
United Kingdom,50
Panama,95
Argentina,133
Barbados,101
Bhutan,135
Brunei,76
Fiji,102
Indonesia,118
Malaysia,54
Nepal,85
Oman,109
Rwanda,46
Singapore,34
Uzbekistan,138
Bolivia,178
China,127
El Salvador,158
Iceland,17
Mongolia,108
Bangladesh,141
Bahrain,31
New Zealand,12
Colombia,121
Botswana,121
Taiwan,9
Hong Kong,36
