Nation,Similarity Score
Afghanistan,129
Albania,28
Algeria,71
Andorra,97
Angola,55
Antigua and Barbuda,311
Armenia,163
Australia,3
Austria,37
Azerbaijan,41
Bahamas,225
Belarus,158
Belgium,9
Belize,37
Benin,126
Bosnia and Herzegovina,14
Brazil,14
Bulgaria,40
Burkina Faso,154
Burundi,270
Cambodia,163
Cameroon,102
Canada,51
Cape Verde,20
Central African Republic,115
Chad,91
Chile,58
Comoros,313
Congo,93
Costa Rica,18
Cote d'Ivoire,125
Croatia,29
Cuba,16
Cyprus,42
Czechia,22
Democratic Republic of Congo,114
Denmark,35
Djibouti,103
Dominica,168
Dominican Republic,63
Ecuador,23
Egypt,85
Equatorial Guinea,304
Eritrea,79
Estonia,51
Eswatini,53
Ethiopia,74
Finland,18
France,7
Gambia,67
Georgia,14
Germany,14
Ghana,84
Greece,41
Grenada,312
Guatemala,27
Guinea,58
Guinea-Bissau,311
Guyana,29
Haiti,139
Honduras,54
Hungary,41
India,25
International,313
Iran,44
Iraq,39
Ireland,21
Israel,12
Italy,7
Jamaica,36
Japan,113
Jordan,62
Kazakhstan,23
Kenya,54
Kosovo,58
Kyrgyzstan,18
Laos,207
Latvia,37
Lebanon,41
Lesotho,86
Liberia,49
Libya,33
Liechtenstein,249
Lithuania,42
Luxembourg,47
Madagascar,93
Malawi,51
Maldives,172
Mali,132
Malta,76
Marshall Islands,313
Mauritania,146
Mauritius,224
Mexico,63
Moldova,5
Monaco,119
Montenegro,178
Morocco,48
Mozambique,59
Myanmar,61
Namibia,79
Netherlands,59
Nicaragua,288
Niger,243
North Macedonia,210
Norway,15
Pakistan,46
Palestine,39
Papua New Guinea,72
Peru,54
Philippines,27
Portugal,6
Qatar,12
Romania,14
Russia,12
Saint Kitts and Nevis,313
Saint Lucia,312
Saint Vincent and the Grenadines,313
San Marino,148
Sao Tome and Principe,304
Saudi Arabia,18
Senegal,118
Serbia,50
Seychelles,157
Sierra Leone,177
Slovakia,58
Slovenia,47
Solomon Islands,170
Somalia,182
South Africa,63
South Korea,27
South Sudan,66
Spain,16
Sri Lanka,28
Sudan,64
Suriname,78
Sweden,59
Switzerland,50
Syria,82
Tanzania,228
Thailand,24
Timor,182
Togo,78
Trinidad and Tobago,30
Tunisia,100
Turkey,30
Uganda,32
Ukraine,53
United Arab Emirates,15
United States,11
Uruguay,68
Vanuatu,158
Vatican,301
Venezuela,61
Vietnam,38
Yemen,181
Zambia,62
Zimbabwe,31
Gabon,30
Kuwait,2
Nigeria,34
Paraguay,13
Poland,20
Tajikistan,135
United Kingdom,6
Argentina,4
Panama,2
Bangladesh,27
Botswana,37
Colombia,5
Barbados,87
Fiji,29
Oman,21
Uzbekistan,48
Bhutan,30
Indonesia,32
Singapore,4
Taiwan,32
Brunei,111
Bahrain,3
Bolivia,21
China,35
El Salvador,22
Malaysia,18
Mongolia,48
Nepal,11
New Zealand,12
Iceland,12
Rwanda,12
Hong Kong,16
