Nation,Similarity Score
Afghanistan,81
Albania,48
Algeria,109
Andorra,62
Angola,72
Antigua and Barbuda,68
Armenia,51
Australia,66
Austria,106
Azerbaijan,76
Bahamas,58
Belarus,80
Belgium,51
Belize,71
Benin,78
Bosnia and Herzegovina,28
Brazil,47
Bulgaria,74
Burkina Faso,85
Burundi,31
Cambodia,98
Cameroon,105
Canada,141
Cape Verde,54
Central African Republic,95
Chad,95
Chile,93
Comoros,68
Congo,92
Costa Rica,48
Cote d'Ivoire,109
Croatia,56
Cuba,146
Cyprus,116
Czechia,56
Democratic Republic of Congo,95
Denmark,146
Djibouti,97
Dominica,87
Dominican Republic,96
Ecuador,57
Egypt,110
Equatorial Guinea,68
Eritrea,113
Estonia,173
Eswatini,80
Ethiopia,126
Finland,138
France,46
Gambia,80
Georgia,31
Germany,40
Ghana,111
Greece,148
Grenada,68
Guatemala,64
Guinea,55
Guinea-Bissau,68
Guyana,74
Haiti,91
Honduras,93
Hungary,120
India,72
International,68
Iran,83
Iraq,86
Ireland,89
Israel,64
Italy,87
Jamaica,105
Japan,93
Jordan,63
Kazakhstan,102
Kenya,107
Kosovo,83
Kyrgyzstan,55
Laos,87
Latvia,143
Lebanon,53
Lesotho,91
Liberia,73
Libya,68
Liechtenstein,53
Lithuania,121
Luxembourg,120
Madagascar,101
Malawi,108
Maldives,76
Mali,96
Malta,80
Marshall Islands,68
Mauritania,74
Mauritius,86
Mexico,98
Moldova,33
Monaco,26
Montenegro,51
Morocco,97
Mozambique,94
Myanmar,150
Namibia,135
Netherlands,73
Nicaragua,53
Niger,93
North Macedonia,53
Norway,153
Pakistan,103
Palestine,60
Papua New Guinea,59
Peru,74
Philippines,65
Portugal,46
Qatar,36
Romania,39
Russia,47
Saint Kitts and Nevis,68
Saint Lucia,68
Saint Vincent and the Grenadines,68
Samoa,68
San Marino,52
Sao Tome and Principe,66
Saudi Arabia,87
Senegal,131
Serbia,104
Seychelles,52
Sierra Leone,96
Slovakia,87
Slovenia,85
Solomon Islands,62
Somalia,102
South Africa,101
South Korea,157
South Sudan,122
Spain,46
Sri Lanka,155
Sudan,65
Suriname,119
Sweden,117
Switzerland,105
Syria,96
Tanzania,86
Thailand,60
Timor,48
Togo,160
Trinidad and Tobago,90
Tunisia,113
Turkey,114
Uganda,91
Ukraine,67
United Arab Emirates,112
United States,26
Vanuatu,84
Vatican,67
Venezuela,105
Vietnam,46
Yemen,92
Zambia,108
Zimbabwe,85
Gabon,70
Kuwait,17
Nigeria,72
Paraguay,51
Poland,62
Tajikistan,28
United Kingdom,86
Argentina,25
Panama,25
Bangladesh,63
Botswana,53
Colombia,32
Bahrain,22
Bhutan,62
El Salvador,68
Indonesia,68
Malaysia,127
Rwanda,159
Singapore,56
Bolivia,63
Brunei,53
China,62
Mongolia,63
Oman,39
Uzbekistan,49
Barbados,54
Fiji,59
Nepal,48
Taiwan,89
Hong Kong,13
New Zealand,11
Iceland,88
