Nation,Similarity Score
Afghanistan,260
Albania,86
Algeria,184
Andorra,108
Angola,200
Antigua and Barbuda,185
Argentina,111
Armenia,48
Australia,160
Austria,72
Azerbaijan,90
Bahamas,106
Bahrain,37
Bangladesh,198
Barbados,175
Belarus,67
Belgium,66
Belize,100
Benin,214
Bhutan,202
Bolivia,129
Bosnia and Herzegovina,75
Botswana,177
Brazil,68
Brunei,183
Bulgaria,94
Burkina Faso,206
Burundi,207
Cambodia,205
Cameroon,205
Canada,80
Cape Verde,90
Central African Republic,230
Chad,210
Chile,47
China,173
Colombia,79
Comoros,211
Congo,195
Costa Rica,92
Cote d'Ivoire,243
Croatia,67
Cuba,177
Cyprus,84
Czechia,87
Democratic Republic of Congo,206
Denmark,67
Djibouti,200
Dominica,181
Dominican Republic,63
Ecuador,62
El Salvador,150
Equatorial Guinea,189
Eritrea,207
Estonia,81
Eswatini,152
Ethiopia,170
Fiji,205
Finland,80
France,78
Gabon,177
Gambia,174
Georgia,113
Germany,60
Ghana,210
Greece,66
Grenada,199
Guatemala,137
Guinea,213
Guinea-Bissau,198
Guyana,109
Haiti,240
Honduras,105
Hungary,88
Iceland,52
India,125
Indonesia,149
International,206
Iran,32
Iraq,96
Ireland,64
Israel,62
Italy,56
Jamaica,118
Japan,149
Jordan,102
Kazakhstan,116
Kenya,172
Kosovo,92
Kuwait,46
Kyrgyzstan,112
Laos,206
Latvia,106
Lebanon,77
Lesotho,181
Liberia,219
Libya,105
Liechtenstein,111
Lithuania,78
Luxembourg,79
Madagascar,208
Malawi,212
Malaysia,117
Maldives,76
Mali,210
Malta,61
Marshall Islands,204
Mauritania,224
Mauritius,185
Mexico,82
Moldova,51
Monaco,88
Mongolia,206
Montenegro,66
Morocco,115
Mozambique,197
Myanmar,141
Namibia,120
Nepal,127
Netherlands,70
New Zealand,172
Nicaragua,197
Niger,205
Nigeria,213
North Macedonia,60
Norway,61
Oman,94
Pakistan,250
Palestine,78
Panama,49
Papua New Guinea,203
Paraguay,98
Peru,78
Philippines,139
Poland,99
Portugal,47
Qatar,44
Romania,74
Russia,65
Rwanda,198
Saint Kitts and Nevis,195
Saint Lucia,175
Saint Vincent and the Grenadines,188
Samoa,206
San Marino,139
Sao Tome and Principe,211
Saudi Arabia,97
Senegal,229
Serbia,75
Seychelles,184
Sierra Leone,223
Singapore,105
Slovakia,74
Slovenia,80
Solomon Islands,206
Somalia,220
South Africa,94
South Korea,147
South Sudan,217
Spain,86
Sri Lanka,184
Sudan,221
Suriname,136
Sweden,76
Switzerland,80
Syria,194
Taiwan,187
Tajikistan,222
Tanzania,206
Thailand,193
Timor,207
Togo,210
Trinidad and Tobago,103
Tunisia,109
Turkey,113
Uganda,201
Ukraine,100
United Arab Emirates,39
United Kingdom,75
United States,44
Uruguay,148
Uzbekistan,157
Vanuatu,206
Vatican,197
Venezuela,143
Vietnam,204
Yemen,206
Zambia,177
Zimbabwe,194
Hong Kong,67
