Nation,Similarity Score
Afghanistan,78
Albania,66
Algeria,70
Andorra,93
Angola,68
Antigua and Barbuda,69
Argentina,87
Armenia,98
Australia,63
Austria,83
Azerbaijan,63
Bahamas,81
Bahrain,56
Bangladesh,69
Barbados,66
Belarus,51
Belgium,98
Belize,61
Benin,75
Bhutan,68
Bolivia,94
Bosnia and Herzegovina,95
Botswana,72
Brazil,69
Brunei,70
Bulgaria,73
Burkina Faso,70
Burundi,70
Cambodia,70
Cameroon,72
Canada,61
Cape Verde,89
Central African Republic,73
Chad,70
Chile,79
China,39
Colombia,86
Comoros,70
Congo,79
Costa Rica,100
Cote d'Ivoire,76
Croatia,61
Cuba,67
Cyprus,60
Czechia,89
Democratic Republic of Congo,71
Denmark,82
Djibouti,82
Dominica,65
Dominican Republic,86
Ecuador,73
Egypt,79
El Salvador,83
Equatorial Guinea,69
Eritrea,73
Estonia,63
Eswatini,74
Ethiopia,65
Fiji,71
Finland,72
France,100
Gabon,75
Gambia,69
Georgia,62
Germany,67
Ghana,86
Greece,48
Grenada,71
Guatemala,73
Guinea,82
Guinea-Bissau,74
Guyana,61
Haiti,75
Honduras,73
Hungary,58
Iceland,84
India,77
Indonesia,63
International,70
Iran,56
Iraq,84
Ireland,79
Israel,76
Italy,76
Jamaica,59
Japan,50
Jordan,61
Kazakhstan,80
Kenya,61
Kosovo,91
Kuwait,73
Kyrgyzstan,92
Laos,70
Latvia,56
Lebanon,77
Lesotho,69
Liberia,80
Libya,65
Liechtenstein,77
Lithuania,60
Madagascar,70
Malawi,69
Malaysia,52
Maldives,77
Mali,74
Malta,74
Marshall Islands,70
Mauritania,76
Mauritius,69
Mexico,68
Moldova,92
Monaco,75
Mongolia,73
Montenegro,93
Morocco,58
Mozambique,67
Myanmar,55
Namibia,67
Nepal,64
Netherlands,97
New Zealand,67
Nicaragua,72
Niger,70
Nigeria,73
North Macedonia,81
Norway,61
Oman,77
Pakistan,78
Palestine,74
Panama,71
Papua New Guinea,70
Paraguay,81
Peru,73
Philippines,70
Poland,76
Portugal,76
Qatar,80
Romania,97
Russia,60
Rwanda,70
Saint Kitts and Nevis,72
Saint Lucia,63
Saint Vincent and the Grenadines,72
Samoa,70
San Marino,83
Sao Tome and Principe,73
Saudi Arabia,71
Senegal,82
Serbia,94
Seychelles,72
Sierra Leone,75
Singapore,55
Slovakia,57
Slovenia,77
Solomon Islands,70
Somalia,72
South Africa,72
South Korea,46
South Sudan,72
Spain,113
Sri Lanka,64
Sudan,83
Suriname,76
Sweden,91
Switzerland,105
Syria,68
Taiwan,56
Tajikistan,84
Tanzania,70
Thailand,66
Timor,70
Togo,71
Trinidad and Tobago,60
Tunisia,59
Turkey,78
Uganda,68
Ukraine,81
United Arab Emirates,55
United Kingdom,62
United States,86
Uruguay,54
Uzbekistan,76
Vanuatu,70
Vatican,70
Venezuela,72
Vietnam,70
Yemen,72
Zambia,67
Zimbabwe,69
Hong Kong,13
