Nation,Similarity Score
Afghanistan,240
Albania,84
Algeria,177
Andorra,107
Angola,195
Antigua and Barbuda,177
Argentina,107
Armenia,48
Australia,148
Austria,67
Azerbaijan,112
Bahamas,100
Bahrain,39
Bangladesh,196
Barbados,164
Belarus,70
Belgium,58
Belize,96
Benin,196
Bhutan,188
Bolivia,129
Bosnia and Herzegovina,73
Botswana,165
Brazil,67
Brunei,175
Bulgaria,95
Burkina Faso,191
Burundi,193
Cambodia,192
Cameroon,194
Canada,74
Cape Verde,101
Central African Republic,220
Chad,194
Chile,47
China,160
Colombia,100
Comoros,191
Congo,190
Costa Rica,74
Cote d'Ivoire,219
Croatia,69
Cuba,187
Cyprus,84
Czechia,75
Democratic Republic of Congo,193
Denmark,57
Djibouti,193
Dominica,169
Dominican Republic,72
Ecuador,71
Egypt,250
El Salvador,145
Equatorial Guinea,179
Eritrea,195
Estonia,81
Eswatini,148
Ethiopia,172
Fiji,191
Finland,85
France,73
Gabon,182
Gambia,164
Georgia,107
Germany,63
Ghana,193
Greece,64
Grenada,189
Guatemala,124
Guinea,213
Guinea-Bissau,184
Guyana,103
Haiti,218
Honduras,113
Hungary,84
Iceland,61
India,109
Indonesia,148
International,193
Iran,47
Iraq,92
Ireland,64
Israel,56
Italy,60
Jamaica,126
Japan,160
Jordan,104
Kazakhstan,125
Kenya,171
Kosovo,89
Kuwait,46
Kyrgyzstan,103
Laos,193
Latvia,107
Lebanon,68
Lesotho,177
Liberia,198
Libya,99
Liechtenstein,106
Lithuania,82
Luxembourg,78
Madagascar,203
Malawi,197
Malaysia,114
Maldives,84
Mali,196
Malta,57
Marshall Islands,191
Mauritania,215
Mauritius,172
Mexico,95
Moldova,53
Monaco,89
Mongolia,196
Montenegro,67
Morocco,107
Mozambique,192
Myanmar,138
Namibia,122
Nepal,115
Netherlands,68
New Zealand,160
Nicaragua,185
Niger,190
Nigeria,193
North Macedonia,65
Norway,62
Oman,93
Palestine,76
Panama,50
Papua New Guinea,194
Paraguay,93
Peru,78
Philippines,126
Poland,102
Portugal,62
Qatar,44
Romania,76
Russia,68
Rwanda,191
Saint Kitts and Nevis,185
Saint Lucia,171
Saint Vincent and the Grenadines,182
Samoa,193
San Marino,135
Sao Tome and Principe,189
Saudi Arabia,97
Senegal,208
Serbia,80
Seychelles,175
Sierra Leone,198
Singapore,103
Slovakia,78
Slovenia,77
Solomon Islands,193
Somalia,205
South Africa,110
South Korea,144
South Sudan,202
Spain,78
Sri Lanka,181
Sudan,202
Suriname,128
Sweden,76
Switzerland,69
Syria,193
Taiwan,178
Tajikistan,213
Tanzania,193
Thailand,184
Timor,194
Togo,195
Trinidad and Tobago,104
Tunisia,111
Turkey,107
Uganda,190
Ukraine,107
United Arab Emirates,45
United Kingdom,61
United States,45
Uruguay,141
Uzbekistan,140
Vanuatu,193
Vatican,184
Venezuela,132
Vietnam,191
Yemen,193
Zambia,172
Zimbabwe,185
Hong Kong,64
