Nation,Similarity Score
Afghanistan,159
Albania,43
Algeria,123
Andorra,127
Angola,245
Antigua and Barbuda,218
Argentina,37
Armenia,25
Australia,201
Austria,33
Azerbaijan,40
Bahamas,113
Bahrain,27
Bangladesh,98
Barbados,206
Belarus,31
Belgium,27
Belize,145
Benin,227
Bhutan,229
Bolivia,75
Bosnia and Herzegovina,47
Botswana,211
Brazil,34
Brunei,249
Bulgaria,49
Burkina Faso,248
Burundi,247
Cambodia,252
Cameroon,199
Canada,36
Cape Verde,47
Central African Republic,195
Chad,243
Chile,26
China,237
Colombia,33
Comoros,220
Congo,212
Costa Rica,77
Cote d'Ivoire,169
Croatia,70
Cuba,218
Cyprus,86
Czechia,26
Democratic Republic of Congo,243
Denmark,41
Djibouti,145
Dominica,231
Dominican Republic,31
Ecuador,49
Egypt,147
El Salvador,69
Equatorial Guinea,223
Eritrea,244
Estonia,87
Eswatini,92
Ethiopia,205
Fiji,248
Finland,103
France,68
Gabon,169
Gambia,213
Georgia,128
Germany,45
Ghana,165
Greece,101
Grenada,239
Guatemala,68
Guinea,162
Guinea-Bissau,202
Guyana,103
Haiti,192
Honduras,63
Hungary,117
Iceland,95
India,57
Indonesia,120
International,251
Iran,26
Iraq,60
Ireland,51
Israel,31
Italy,58
Jamaica,149
Japan,195
Jordan,172
Kazakhstan,63
Kenya,172
Kosovo,49
Kuwait,36
Kyrgyzstan,56
Laos,251
Latvia,127
Lebanon,97
Lesotho,213
Liberia,212
Libya,97
Liechtenstein,162
Lithuania,81
Luxembourg,46
Madagascar,205
Malawi,219
Malaysia,172
Maldives,41
Mali,236
Malta,59
Marshall Islands,249
Mauritania,167
Mauritius,241
Mexico,31
Moldova,28
Monaco,128
Mongolia,244
Montenegro,84
Morocco,59
Mozambique,247
Myanmar,186
Namibia,136
Nepal,80
Netherlands,30
New Zealand,233
Nicaragua,229
Niger,248
Nigeria,226
North Macedonia,23
Norway,87
Oman,71
Pakistan,144
Palestine,94
Panama,28
Papua New Guinea,252
Paraguay,78
Peru,54
Philippines,83
Poland,32
Portugal,21
Qatar,27
Romania,30
Russia,28
Rwanda,246
Saint Kitts and Nevis,240
Saint Lucia,216
Saint Vincent and the Grenadines,221
Samoa,251
San Marino,169
Sao Tome and Principe,175
Saudi Arabia,79
Senegal,160
Serbia,45
Seychelles,226
Sierra Leone,214
Singapore,105
Slovakia,128
Slovenia,85
Solomon Islands,251
Somalia,212
South Africa,45
South Sudan,230
Spain,69
Sri Lanka,205
Sudan,207
Suriname,128
Sweden,59
Switzerland,62
Syria,257
Taiwan,253
Tajikistan,167
Tanzania,251
Thailand,258
Timor,248
Togo,245
Trinidad and Tobago,173
Tunisia,178
Turkey,29
Uganda,248
Ukraine,30
United Arab Emirates,26
United Kingdom,24
United States,24
Uruguay,177
Uzbekistan,127
Vanuatu,251
Vatican,241
Venezuela,116
Vietnam,249
Yemen,247
Zambia,204
Zimbabwe,221
Hong Kong,65
