Nation,Similarity Score
Afghanistan,146
Albania,62
Algeria,195
Andorra,114
Angola,207
Antigua and Barbuda,188
Argentina,70
Armenia,39
Australia,208
Austria,66
Azerbaijan,83
Bahamas,130
Bahrain,32
Bangladesh,138
Barbados,202
Belarus,66
Belgium,38
Belize,140
Benin,190
Bhutan,191
Bolivia,94
Bosnia and Herzegovina,58
Botswana,178
Brazil,53
Brunei,196
Bulgaria,79
Burkina Faso,204
Burundi,203
Cambodia,206
Cameroon,191
Canada,66
Cape Verde,59
Central African Republic,157
Chad,202
Chile,39
China,185
Colombia,68
Comoros,195
Congo,192
Costa Rica,82
Cote d'Ivoire,173
Croatia,98
Cuba,229
Cyprus,123
Czechia,54
Democratic Republic of Congo,201
Denmark,61
Djibouti,140
Dominica,191
Dominican Republic,46
Ecuador,66
Egypt,151
El Salvador,84
Equatorial Guinea,194
Eritrea,204
Estonia,96
Eswatini,110
Ethiopia,216
Fiji,208
Finland,98
France,57
Gabon,161
Gambia,196
Georgia,142
Germany,78
Ghana,166
Greece,127
Grenada,198
Guatemala,87
Guinea,189
Guinea-Bissau,170
Guyana,129
Haiti,166
Honduras,74
Hungary,112
Iceland,114
India,82
Indonesia,158
International,207
Iran,31
Iraq,78
Ireland,79
Israel,49
Italy,65
Jamaica,163
Jordan,130
Kazakhstan,97
Kenya,204
Kosovo,72
Kuwait,42
Kyrgyzstan,87
Laos,207
Latvia,130
Lebanon,97
Lesotho,192
Liberia,187
Libya,106
Liechtenstein,139
Lithuania,120
Luxembourg,51
Madagascar,206
Malawi,200
Malaysia,165
Maldives,57
Mali,202
Malta,78
Marshall Islands,206
Mauritania,174
Mauritius,198
Mexico,66
Moldova,38
Monaco,115
Mongolia,203
Montenegro,100
Morocco,105
Mozambique,209
Myanmar,167
Namibia,140
Nepal,109
Netherlands,55
New Zealand,205
Nicaragua,189
Niger,209
Nigeria,194
North Macedonia,38
Norway,111
Oman,75
Pakistan,163
Palestine,103
Panama,38
Papua New Guinea,213
Paraguay,94
Peru,56
Philippines,114
Poland,65
Portugal,45
Qatar,34
Romania,40
Russia,53
Rwanda,207
Saint Kitts and Nevis,202
Saint Lucia,190
Saint Vincent and the Grenadines,193
Samoa,207
San Marino,133
Sao Tome and Principe,174
Saudi Arabia,79
Senegal,180
Serbia,58
Seychelles,188
Sierra Leone,182
Singapore,105
Slovakia,139
Slovenia,114
Solomon Islands,207
Somalia,185
South Africa,63
South Korea,205
South Sudan,195
Spain,58
Sri Lanka,187
Sudan,180
Suriname,119
Sweden,68
Switzerland,79
Syria,223
Taiwan,204
Tajikistan,166
Tanzania,207
Thailand,204
Timor,209
Togo,202
Trinidad and Tobago,157
Tunisia,167
Turkey,61
Uganda,208
Ukraine,63
United Arab Emirates,36
United Kingdom,55
United States,39
Uruguay,196
Uzbekistan,148
Vanuatu,207
Vatican,198
Venezuela,126
Vietnam,206
Yemen,203
Zambia,216
Zimbabwe,225
Hong Kong,60
