country,cluster,new_cases_per_million,icu_patients_per_million,hosp_patients_per_million
Afghanistan,3,0,0,16.055
Albania,3,0,0,7.297
Algeria,6,0,0,3.649
Andorra,6,0,0,0
Angola,6,0,0,0.03
Antigua and Barbuda,6,0,0,0
Argentina,3,0,0,15.599
Armenia,1,0,0,125.539
Australia,6,0,0,0.431
Austria,6,9.327,3.553,3.775
Azerbaijan,3,0,0,16.274
Bahamas,6,0,0,0
Bahrain,5,0,0,191.586
Bangladesh,3,0,0,9.357
Barbados,6,0,0,0
Belarus,1,0,0,94.927
Belgium,0,90.598,18.033,11.821
Belize,6,0,0,0
Benin,6,0,0,0.165
Bhutan,6,0,0,1.296
Bolivia,2,0,0,54.142
Bosnia and Herzegovina,6,0,0,5.791
Botswana,6,0,0,0
Brazil,1,0,0,96.909
Brunei,6,0,0,0
Bulgaria,0,32.957,3.166,2.447
Burkina Faso,6,0,0,0.622
Burundi,6,0,0,0
Cambodia,6,0,0,0
Cameroon,6,0,0,0
Canada,2,0,0,23.82
Cape Verde,6,0,0,0
Central African Republic,3,0,0,6.419
Chad,6,0,0,0.913
Chile,5,0,0,226.405
China,6,0,0,0.002
Colombia,3,0,0,21.638
Comoros,6,0,0,0
Congo,3,0,0,15.223
Costa Rica,6,0,0,5.497
Cote d'Ivoire,6,0,0,2.995
Croatia,6,9.256,0,0
Cuba,6,0,0,0.971
Cyprus,6,0,0,0
Czechia,6,8.031,1.587,3.362
Democratic Republic of Congo,6,0,0,1.597
Denmark,3,18.473,3.798,9.15
Djibouti,5,0,0,231.781
Dominica,6,0,0,0
Dominican Republic,2,0,0,42.312
Ecuador,2,0,0,42.396
Egypt,3,0,0,8.892
El Salvador,3,0,0,10.33
Equatorial Guinea,6,0,0,0
Eritrea,6,0,0,0
Estonia,6,23.369,0.754,4.523
Eswatini,3,0,0,9.481
Ethiopia,6,0,0,0.261
Fiji,6,0,0,0
Finland,3,15.702,1.985,11.551
France,4,239.408,22.475,2.926
Gabon,2,0,0,36.393
Gambia,6,0,0,0
Georgia,6,0,0,0.752
Germany,6,0,0,3.867
Ghana,3,0,0,5.986
Greece,6,0,0,1.055
Grenada,6,0,0,0
Guatemala,3,0,0,10.661
Guinea,6,0,0,0
Guinea-Bissau,3,0,0,8.638
Guyana,6,0,0,0
Haiti,3,0,0,12.804
Honduras,2,0,0,24.13
Hungary,0,44.512,0,2.277
Iceland,6,0,0,2.93
India,6,0,0,5.285
Indonesia,6,0,0,2.508
International,6,0,0,0
Iran,2,0,0,24.764
Iraq,3,0,0,7.135
Ireland,0,53.263,9.721,13.771
Israel,6,0,0,4.621
Italy,4,136.185,8.352,9.659
Jamaica,6,0,0,1.689
Japan,6,0,0,0.206
Jordan,6,0,0,0.196
Kazakhstan,3,0,0,17.841
Kenya,6,0,0,2.287
Kosovo,6,0,0,4.657
Kuwait,5,0,0,162.04
Kyrgyzstan,3,0,0,7.97
Laos,6,0,0,0
Latvia,6,13.254,0,2.121
Lebanon,6,0,0,3.077
Lesotho,6,0,0,0
Liberia,6,0,0,0
Libya,6,0,0,3.202
Liechtenstein,6,0,0,0
Lithuania,6,0,0,2.939
Luxembourg,0,52.718,6.39,9.585
Madagascar,6,0,0,0.939
Malawi,6,0,0,0
Malaysia,6,0,0,0.463
Maldives,2,0,0,35.15
Mali,6,0,0,1.926
Malta,6,0,0,2.265
Marshall Islands,6,0,0,0
Mauritania,6,0,0,5.162
Mauritius,6,0,0,0
Mexico,2,0,0,26.859
Moldova,2,0,0,57.512
Monaco,6,0,0,0
Mongolia,6,0,0,2.135
Montenegro,6,0,0,0
Morocco,6,0,0,0.65
Mozambique,6,0,0,0.448
Myanmar,6,0,0,0
Namibia,6,0,0,0.394
Nepal,6,0,0,3.913
Netherlands,3,0,10.388,11.088
New Zealand,6,0,0,0
Nicaragua,6,0,0,0
Niger,6,0,0,0
Nigeria,6,0,0,1.887
North Macedonia,3,0,0,12
Norway,6,6.641,0,3.32
