Nation,Similarity Score
Afghanistan,236
Albania,100
Algeria,246
Andorra,152
Angola,278
Antigua and Barbuda,256
Argentina,109
Armenia,52
Australia,244
Austria,87
Azerbaijan,103
Bahamas,170
Bahrain,40
Bangladesh,195
Barbados,247
Belarus,87
Belgium,52
Belize,180
Benin,283
Bhutan,263
Bolivia,135
Bosnia and Herzegovina,86
Botswana,252
Brazil,76
Brunei,260
Bulgaria,69
Burkina Faso,279
Burundi,281
Cambodia,280
Cameroon,261
Canada,77
Cape Verde,98
Central African Republic,253
Chad,279
Chile,48
China,246
Colombia,91
Comoros,265
Congo,261
Costa Rica,131
Cote d'Ivoire,270
Croatia,72
Cuba,263
Cyprus,145
Czechia,98
Democratic Republic of Congo,281
Denmark,68
Djibouti,201
Dominica,255
Dominican Republic,64
Ecuador,89
Egypt,246
El Salvador,140
Equatorial Guinea,254
Eritrea,280
Estonia,102
Eswatini,168
Ethiopia,258
Fiji,281
Finland,127
France,39
Gabon,212
Gambia,251
Georgia,178
Germany,97
Ghana,244
Greece,140
Grenada,270
Guatemala,139
Guinea,254
Guinea-Bissau,247
Guyana,164
Haiti,261
Honduras,121
Hungary,84
Iceland,119
India,165
Indonesia,224
International,281
Iran,41
Iraq,118
Ireland,72
Israel,67
Italy,46
Jamaica,192
Japan,247
Jordan,192
Kazakhstan,128
Kenya,265
Kosovo,108
Kuwait,49
Kyrgyzstan,142
Laos,281
Latvia,158
Lebanon,147
Lesotho,264
Liberia,282
Libya,179
Liechtenstein,190
Lithuania,142
Luxembourg,63
Malawi,286
Malaysia,194
Maldives,83
Mali,281
Malta,108
Marshall Islands,279
Mauritania,249
Mauritius,262
Mexico,97
Moldova,55
Monaco,158
Mongolia,277
Montenegro,122
Morocco,154
Mozambique,277
Myanmar,227
Namibia,195
Nepal,155
Netherlands,75
New Zealand,251
Nicaragua,266
Niger,281
Nigeria,282
North Macedonia,64
Norway,123
Oman,103
Pakistan,234
Palestine,141
Panama,53
Papua New Guinea,280
Paraguay,168
Peru,82
Philippines,194
Poland,60
Portugal,45
Qatar,45
Romania,60
Russia,74
Rwanda,275
Saint Kitts and Nevis,270
Saint Lucia,250
Saint Vincent and the Grenadines,261
Samoa,281
San Marino,174
Sao Tome and Principe,239
Saudi Arabia,106
Senegal,263
Serbia,83
Seychelles,254
Sierra Leone,277
Singapore,109
Slovakia,154
Slovenia,122
Solomon Islands,281
Somalia,278
South Africa,112
South Korea,240
South Sudan,274
Spain,108
Sri Lanka,256
Sudan,277
Suriname,172
Sweden,87
Switzerland,130
Syria,281
Taiwan,270
Tajikistan,253
Tanzania,281
Thailand,274
Timor,280
Togo,280
Trinidad and Tobago,195
Tunisia,192
Turkey,93
Uganda,275
Ukraine,103
United Arab Emirates,58
United Kingdom,43
United States,41
Uruguay,235
Uzbekistan,228
Vanuatu,281
Vatican,269
Venezuela,202
Vietnam,280
Yemen,281
Zambia,263
Zimbabwe,283
Hong Kong,70
