Nation,Similarity Score
Afghanistan,39
Albania,83
Algeria,50
Andorra,119
Angola,30
Antigua and Barbuda,3
Armenia,3
Australia,51
Austria,148
Azerbaijan,44
Bahamas,3
Belarus,40
Belgium,134
Belize,44
Benin,118
Bosnia and Herzegovina,108
Brazil,35
Bulgaria,145
Burkina Faso,99
Burundi,9
Cambodia,111
Cameroon,75
Cape Verde,63
Central African Republic,72
Chad,46
Chile,47
Comoros,3
Congo,30
Costa Rica,52
Cote d'Ivoire,83
Croatia,153
Cuba,76
Cyprus,41
Democratic Republic of Congo,81
Denmark,48
Djibouti,85
Dominica,96
Dominican Republic,34
Ecuador,46
Egypt,65
Equatorial Guinea,3
Eritrea,40
Estonia,54
Eswatini,19
Ethiopia,45
Finland,79
Gambia,29
Georgia,114
Germany,126
Ghana,88
Greece,93
Grenada,3
Guinea,43
Guinea-Bissau,3
Haiti,53
Honduras,45
Hungary,112
India,43
International,3
Iran,112
Iraq,46
Ireland,71
Israel,146
Jamaica,124
Jordan,96
Kazakhstan,80
Kosovo,88
Laos,92
Latvia,48
Lebanon,64
Lesotho,53
Liberia,48
Libya,55
Liechtenstein,3
Lithuania,54
Luxembourg,69
Madagascar,29
Malawi,64
Maldives,7
Mali,109
Malta,20
Marshall Islands,3
Mauritania,63
Mauritius,25
Mexico,49
Moldova,79
Monaco,34
Montenegro,3
Morocco,71
Mozambique,67
Myanmar,67
Namibia,77
Netherlands,112
Nicaragua,13
Niger,22
North Macedonia,3
Norway,59
Pakistan,62
Palestine,26
Papua New Guinea,136
Peru,50
Philippines,80
Portugal,120
Qatar,63
Romania,171
Russia,60
Saint Kitts and Nevis,3
Saint Lucia,3
Saint Vincent and the Grenadines,3
Samoa,3
San Marino,111
Sao Tome and Principe,3
Saudi Arabia,35
Senegal,93
Seychelles,113
Sierra Leone,94
Slovakia,139
Slovenia,142
Solomon Islands,106
Somalia,79
South Korea,22
South Sudan,13
Spain,126
Sri Lanka,77
Sudan,43
Suriname,33
Sweden,53
Switzerland,121
Syria,59
Tanzania,34
Thailand,22
Timor,96
Togo,85
Trinidad and Tobago,85
Tunisia,109
Turkey,85
Ukraine,81
United States,54
Uruguay,45
Vanuatu,34
Vatican,3
Venezuela,48
Vietnam,48
Yemen,93
Zambia,117
Zimbabwe,44
Argentina,59
Bahrain,65
Bangladesh,89
Barbados,122
Bhutan,81
Bolivia,63
Botswana,104
Brunei,150
China,85
Colombia,46
El Salvador,69
Fiji,106
France,157
Gabon,83
Iceland,85
Indonesia,95
Kuwait,68
Malaysia,134
Mongolia,106
Nepal,100
New Zealand,51
Nigeria,37
Oman,47
Panama,36
Paraguay,86
Poland,157
Rwanda,68
Singapore,58
Taiwan,21
Tajikistan,109
United Kingdom,84
Uzbekistan,88
Kyrgyzstan,55
Uganda,53
Guatemala,43
Italy,109
Japan,132
Guyana,62
United Arab Emirates,47
Kenya,80
Serbia,107
South Africa,51
Canada,51
Hong Kong,25
