Nation,Similarity Score
Afghanistan,74
Albania,153
Algeria,88
Andorra,164
Angola,88
Antigua and Barbuda,2
Armenia,2
Australia,36
Austria,82
Azerbaijan,95
Bahamas,2
Belarus,12
Belgium,151
Belize,107
Benin,147
Bosnia and Herzegovina,160
Brazil,135
Bulgaria,144
Burkina Faso,150
Burundi,23
Cambodia,123
Cameroon,161
Cape Verde,134
Central African Republic,131
Chad,86
Chile,82
Comoros,2
Congo,83
Costa Rica,164
Cote d'Ivoire,125
Croatia,93
Cuba,65
Cyprus,35
Czechia,126
Democratic Republic of Congo,117
Denmark,42
Djibouti,139
Dominica,94
Dominican Republic,64
Ecuador,105
Egypt,142
Equatorial Guinea,2
Eritrea,59
Estonia,24
Eswatini,85
Ethiopia,49
Finland,77
Gambia,105
Georgia,170
Ghana,127
Greece,72
Grenada,2
Guinea,117
Guinea-Bissau,2
Haiti,65
Honduras,61
Hungary,84
India,101
International,2
Iran,185
Iraq,59
Ireland,79
Israel,77
Jamaica,94
Jordan,128
Kazakhstan,59
Kosovo,136
Laos,80
Latvia,34
Lebanon,140
Lesotho,117
Liberia,147
Libya,59
Liechtenstein,2
Lithuania,64
Luxembourg,85
Madagascar,86
Malawi,114
Maldives,2
Mali,152
Malta,8
Marshall Islands,2
Mauritania,76
Mauritius,46
Mexico,89
Moldova,149
Monaco,85
Montenegro,2
Morocco,96
Mozambique,110
Myanmar,43
Namibia,116
Netherlands,201
Nicaragua,5
Niger,50
North Macedonia,2
Norway,68
Pakistan,119
Palestine,52
Papua New Guinea,173
Peru,62
Philippines,94
Portugal,134
Qatar,107
Romania,170
Russia,73
Saint Kitts and Nevis,2
Saint Lucia,2
Saint Vincent and the Grenadines,2
Samoa,2
San Marino,110
Sao Tome and Principe,2
Saudi Arabia,67
Senegal,106
Seychelles,97
Sierra Leone,104
Slovakia,73
Slovenia,79
Solomon Islands,112
Somalia,92
South Korea,15
South Sudan,56
Spain,149
Sri Lanka,66
Sudan,115
Suriname,101
Sweden,122
Switzerland,109
Syria,117
Tanzania,52
Thailand,6
Timor,124
Togo,45
Trinidad and Tobago,134
Tunisia,67
Turkey,114
Ukraine,126
United States,163
Uruguay,31
Vanuatu,92
Vatican,2
Venezuela,80
Vietnam,71
Yemen,100
Zambia,106
Zimbabwe,84
Argentina,88
Bahrain,109
Bangladesh,96
Barbados,135
Bhutan,122
Bolivia,73
Botswana,176
Brunei,146
China,107
Colombia,114
El Salvador,78
Fiji,111
France,122
Gabon,151
Iceland,54
Indonesia,149
Kuwait,143
Malaysia,69
Mongolia,142
Nepal,84
New Zealand,35
Nigeria,117
Oman,73
Panama,110
Paraguay,97
Poland,143
Rwanda,46
Singapore,65
Taiwan,15
Tajikistan,151
United Kingdom,124
Uzbekistan,122
Guatemala,91
Italy,58
Kyrgyzstan,101
Uganda,71
Japan,82
Canada,86
Guyana,87
Kenya,84
Serbia,101
South Africa,47
United Arab Emirates,21
Hong Kong,32
