Nation,Similarity Score
Afghanistan,77
Albania,56
Algeria,133
Andorra,33
Angola,200
Antigua and Barbuda,2
Armenia,2
Australia,92
Austria,28
Azerbaijan,136
Bahamas,2
Belarus,2
Belgium,81
Belize,101
Benin,12
Bosnia and Herzegovina,67
Brazil,137
Bulgaria,23
Burkina Faso,5
Burundi,23
Cambodia,7
Cameroon,5
Cape Verde,109
Central African Republic,32
Chad,67
Chile,118
Comoros,2
Congo,69
Costa Rica,101
Cote d'Ivoire,13
Croatia,61
Cuba,128
Cyprus,66
Czechia,37
Democratic Republic of Congo,57
Denmark,19
Djibouti,33
Dominica,21
Dominican Republic,146
Ecuador,116
Egypt,51
Equatorial Guinea,2
Eritrea,73
Estonia,10
Eswatini,77
Ethiopia,138
Finland,24
Gambia,132
Georgia,88
Germany,80
Ghana,5
Greece,39
Grenada,2
Guinea,95
Guinea-Bissau,2
Haiti,34
Honduras,102
Hungary,25
International,2
Iran,39
Iraq,84
Ireland,59
Israel,103
Jamaica,90
Jordan,69
Kazakhstan,172
Kosovo,44
Laos,48
Latvia,12
Lebanon,80
Lesotho,21
Liberia,80
Libya,90
Liechtenstein,2
Lithuania,45
Luxembourg,17
Madagascar,47
Malawi,17
Maldives,2
Mali,2
Malta,2
Marshall Islands,2
Mauritania,77
Mauritius,28
Mexico,95
Moldova,79
Monaco,41
Montenegro,2
Morocco,86
Mozambique,77
Myanmar,116
Namibia,5
Netherlands,39
Nicaragua,9
Niger,2
North Macedonia,2
Norway,40
Pakistan,80
Palestine,158
Papua New Guinea,28
Peru,115
Philippines,154
Portugal,101
Qatar,154
Romania,48
Russia,84
Saint Kitts and Nevis,2
Saint Lucia,2
Saint Vincent and the Grenadines,2
Samoa,2
San Marino,19
Sao Tome and Principe,2
Saudi Arabia,91
Senegal,18
Seychelles,38
Sierra Leone,8
Slovakia,22
Slovenia,40
Solomon Islands,24
Somalia,2
South Korea,8
South Sudan,82
Spain,83
Sri Lanka,94
Sudan,48
Suriname,98
Sweden,13
Switzerland,34
Syria,28
Tanzania,2
Thailand,20
Timor,32
Togo,18
Trinidad and Tobago,129
Tunisia,65
Turkey,89
Ukraine,56
United States,89
Uruguay,6
Vanuatu,26
Vatican,2
Venezuela,90
Vietnam,80
Yemen,2
Zambia,6
Zimbabwe,153
Canada,72
Guatemala,112
Guyana,106
Italy,40
Japan,15
Kenya,84
Kyrgyzstan,166
Serbia,58
South Africa,93
Uganda,160
United Arab Emirates,41
Argentina,128
Bahrain,112
Bangladesh,139
Barbados,67
Bhutan,122
Bolivia,83
Botswana,64
Brunei,21
China,133
Colombia,112
El Salvador,79
Fiji,56
France,66
Gabon,101
Iceland,22
Indonesia,61
Kuwait,106
Malaysia,51
Mongolia,24
Nepal,150
New Zealand,58
Nigeria,75
Oman,89
Panama,157
Paraguay,199
Poland,67
Rwanda,174
Singapore,45
Taiwan,18
Tajikistan,42
United Kingdom,93
Uzbekistan,84
Hong Kong,1
