Nation,Similarity Score
Canada,85
France,59
Guatemala,96
Guyana,134
Italy,59
Japan,30
Kenya,140
Serbia,67
South Africa,137
Uganda,159
United Arab Emirates,59
Afghanistan,76
Albania,59
Algeria,94
Andorra,23
Angola,159
Antigua and Barbuda,4
Armenia,4
Australia,122
Austria,20
Azerbaijan,120
Bahamas,4
Belarus,4
Belgium,53
Belize,101
Benin,14
Bosnia and Herzegovina,75
Brazil,177
Bulgaria,42
Burkina Faso,8
Burundi,10
Cambodia,14
Cameroon,7
Cape Verde,126
Central African Republic,30
Chad,73
Chile,70
Comoros,4
Congo,77
Costa Rica,135
Cote d'Ivoire,12
Croatia,75
Cuba,95
Cyprus,64
Democratic Republic of Congo,51
Denmark,24
Djibouti,32
Dominica,21
Dominican Republic,108
Ecuador,154
Egypt,81
Equatorial Guinea,4
Eritrea,46
Estonia,10
Eswatini,131
Ethiopia,131
Finland,51
Gambia,115
Georgia,99
Ghana,7
Greece,39
Grenada,4
Guinea,99
Guinea-Bissau,4
Haiti,60
Honduras,42
Hungary,18
India,166
International,4
Iran,37
Iraq,105
Ireland,90
Israel,91
Jamaica,91
Jordan,69
Kazakhstan,132
Kosovo,77
Laos,27
Latvia,27
Lebanon,102
Lesotho,79
Liberia,124
Libya,48
Liechtenstein,4
Lithuania,27
Luxembourg,42
Madagascar,57
Malawi,33
Maldives,4
Mali,5
Malta,4
Marshall Islands,4
Mauritania,52
Mauritius,22
Mexico,80
Montenegro,4
Morocco,113
Mozambique,103
Myanmar,91
Namibia,27
Netherlands,43
Nicaragua,6
Niger,5
North Macedonia,4
Norway,42
Pakistan,101
Palestine,89
Papua New Guinea,49
Peru,81
Portugal,76
Qatar,168
Romania,57
Russia,89
Saint Kitts and Nevis,4
Saint Lucia,4
Saint Vincent and the Grenadines,4
Samoa,4
San Marino,29
Sao Tome and Principe,4
Saudi Arabia,129
Senegal,16
Seychelles,59
Sierra Leone,14
Slovakia,23
Slovenia,29
Solomon Islands,13
Somalia,6
South Korea,30
South Sudan,81
Spain,71
Sri Lanka,70
Sudan,59
Suriname,106
Sweden,38
Switzerland,45
Syria,72
Tanzania,4
Thailand,35
Timor,14
Togo,42
Trinidad and Tobago,69
Tunisia,77
Turkey,90
Ukraine,103
United States,97
Uruguay,9
Vanuatu,24
Vatican,4
Venezuela,51
Vietnam,80
Yemen,4
Zambia,24
Zimbabwe,111
Argentina,67
Bahrain,140
Barbados,80
Brunei,38
Colombia,102
Czechia,39
El Salvador,105
Fiji,101
Gabon,113
Germany,53
Iceland,57
Indonesia,72
Kuwait,126
Malaysia,66
Moldova,69
Monaco,24
New Zealand,73
Nigeria,90
Oman,98
Panama,124
Paraguay,135
Philippines,156
Poland,33
Tajikistan,23
United Kingdom,84
Uzbekistan,97
Bangladesh,133
Bhutan,72
Botswana,107
Nepal,128
Rwanda,191
Singapore,82
Taiwan,25
Bolivia,51
China,105
Mongolia,25
Hong Kong,20
