Nation,Similarity Score
Afghanistan,73
Albania,95
Algeria,71
Andorra,66
Angola,73
Antigua and Barbuda,71
Argentina,117
Armenia,140
Australia,49
Austria,47
Azerbaijan,90
Bahamas,108
Bahrain,120
Bangladesh,72
Barbados,71
Belarus,115
Belgium,52
Belize,101
Benin,73
Bhutan,72
Bolivia,106
Bosnia and Herzegovina,90
Botswana,81
Brunei,60
Bulgaria,69
Burkina Faso,74
Burundi,73
Cambodia,72
Cameroon,77
Canada,82
Cape Verde,127
Central African Republic,73
Chad,73
Chile,126
China,38
Colombia,151
Comoros,73
Congo,75
Costa Rica,108
Cote d'Ivoire,74
Croatia,42
Cuba,79
Cyprus,73
Czechia,58
Democratic Republic of Congo,73
Denmark,76
Djibouti,83
Dominica,72
Dominican Republic,106
Ecuador,78
Egypt,71
El Salvador,77
Equatorial Guinea,84
Eritrea,73
Estonia,62
Eswatini,79
Ethiopia,73
Fiji,74
Finland,50
France,46
Gabon,93
Gambia,74
Georgia,79
Germany,55
Ghana,75
Greece,71
Grenada,73
Guatemala,69
Guinea,81
Guinea-Bissau,78
Guyana,87
Haiti,73
Honduras,99
Hungary,72
Iceland,51
India,83
Indonesia,71
International,73
Iran,73
Iraq,105
Ireland,63
Israel,110
Italy,31
Jamaica,82
Japan,61
Jordan,78
Kazakhstan,95
Kenya,72
Kosovo,94
Kuwait,152
Kyrgyzstan,101
Laos,73
Latvia,81
Lebanon,83
Lesotho,71
Liberia,73
Libya,111
Liechtenstein,68
Lithuania,71
Luxembourg,64
Madagascar,73
Malawi,73
Malaysia,59
Maldives,135
Mali,73
Malta,77
Marshall Islands,73
Mauritania,73
Mauritius,64
Mexico,86
Moldova,111
Monaco,78
Mongolia,73
Montenegro,83
Morocco,115
Mozambique,73
Myanmar,70
Namibia,76
Nepal,91
Netherlands,58
New Zealand,64
Nicaragua,75
Niger,73
Nigeria,73
North Macedonia,80
Norway,61
Oman,154
Pakistan,75
Palestine,98
Panama,162
Papua New Guinea,73
Paraguay,119
Peru,144
Philippines,71
Poland,62
Portugal,49
Qatar,115
Romania,73
Russia,129
Rwanda,73
Saint Kitts and Nevis,69
Saint Lucia,76
Saint Vincent and the Grenadines,74
Samoa,73
San Marino,62
Sao Tome and Principe,83
Saudi Arabia,116
Senegal,70
Serbia,62
Seychelles,70
Sierra Leone,73
Singapore,53
Slovakia,82
Slovenia,50
Solomon Islands,73
Somalia,75
South Africa,105
South Korea,47
South Sudan,73
Spain,61
Sri Lanka,72
Sudan,73
Suriname,95
Sweden,80
Switzerland,49
Syria,73
Taiwan,65
Tajikistan,74
Tanzania,73
Thailand,72
Timor,74
Togo,72
Trinidad and Tobago,79
Tunisia,87
Turkey,76
Uganda,73
Ukraine,109
United Arab Emirates,123
United Kingdom,48
United States,89
Uruguay,71
Uzbekistan,76
Vanuatu,73
Vatican,69
Venezuela,71
Vietnam,71
Yemen,73
Zambia,73
Zimbabwe,73
Hong Kong,5
