Nation,Similarity Score
Afghanistan,99
Albania,133
Algeria,143
Andorra,104
Angola,150
Antigua and Barbuda,145
Argentina,102
Armenia,66
Australia,149
Austria,102
Azerbaijan,129
Bahamas,139
Bahrain,49
Bangladesh,111
Barbados,150
Belarus,120
Belgium,51
Belize,179
Benin,144
Bhutan,154
Bolivia,80
Bosnia and Herzegovina,98
Botswana,145
Brazil,71
Brunei,150
Bulgaria,69
Burkina Faso,151
Burundi,149
Cambodia,150
Cameroon,130
Canada,115
Cape Verde,79
Central African Republic,111
Chad,148
Chile,62
China,124
Colombia,87
Comoros,134
Congo,138
Costa Rica,132
Cote d'Ivoire,126
Croatia,78
Cuba,149
Cyprus,183
Czechia,113
Democratic Republic of Congo,150
Denmark,131
Djibouti,81
Dominica,151
Dominican Republic,78
Ecuador,100
Egypt,100
El Salvador,111
Equatorial Guinea,134
Eritrea,147
Estonia,150
Eswatini,117
Ethiopia,166
Fiji,149
Finland,132
France,41
Gabon,99
Gambia,156
Georgia,162
Germany,173
Ghana,103
Grenada,148
Guatemala,113
Guinea,129
Guinea-Bissau,126
Guyana,157
Haiti,117
Honduras,90
Hungary,82
Iceland,151
India,123
Indonesia,174
International,150
Iran,105
Iraq,102
Ireland,108
Israel,81
Italy,71
Jamaica,160
Japan,160
Jordan,163
Kazakhstan,94
Kenya,149
Kosovo,122
Kuwait,55
Kyrgyzstan,147
Laos,150
Latvia,162
Lebanon,165
Lesotho,157
Liberia,142
Libya,146
Liechtenstein,157
Lithuania,181
Luxembourg,42
Madagascar,139
Malawi,146
Malaysia,163
Maldives,64
Mali,150
Malta,141
Marshall Islands,150
Mauritania,99
Mauritius,156
Mexico,97
Moldova,76
Monaco,148
Mongolia,149
Montenegro,111
Morocco,158
Mozambique,150
Myanmar,164
Namibia,144
Nepal,160
Netherlands,99
New Zealand,154
Nicaragua,143
Niger,150
Nigeria,151
North Macedonia,79
Norway,163
Oman,66
Pakistan,89
Palestine,130
Panama,69
Papua New Guinea,150
Paraguay,137
Peru,59
Philippines,159
Poland,64
Portugal,53
Qatar,60
Romania,76
Russia,94
Rwanda,156
Saint Kitts and Nevis,149
Saint Lucia,148
Saint Vincent and the Grenadines,147
Samoa,150
San Marino,98
Sao Tome and Principe,116
Saudi Arabia,80
Senegal,134
Serbia,111
Seychelles,144
Sierra Leone,147
Singapore,48
Slovakia,183
Slovenia,130
Solomon Islands,150
Somalia,146
South Africa,103
South Korea,137
South Sudan,143
Spain,76
Sri Lanka,149
Sudan,143
Suriname,118
Sweden,65
Switzerland,123
Syria,150
Taiwan,146
Tajikistan,112
Tanzania,150
Thailand,148
Timor,149
Togo,150
Trinidad and Tobago,172
Tunisia,180
Turkey,109
Uganda,150
Ukraine,97
United Arab Emirates,63
United Kingdom,88
United States,48
Uruguay,151
Uzbekistan,157
Vanuatu,150
Vatican,144
Venezuela,158
Vietnam,149
Yemen,150
Zambia,153
Zimbabwe,148
Hong Kong,5
