Nation,Similarity Score
Afghanistan,258
Albania,95
Algeria,223
Andorra,170
Angola,302
Antigua and Barbuda,273
Argentina,106
Armenia,51
Australia,223
Austria,75
Azerbaijan,92
Bahamas,173
Bahrain,40
Bangladesh,179
Barbados,262
Belarus,68
Belgium,46
Belize,202
Benin,303
Bhutan,291
Bolivia,135
Bosnia and Herzegovina,91
Botswana,271
Brazil,73
Brunei,291
Bulgaria,68
Burkina Faso,309
Burundi,310
Cambodia,310
Cameroon,275
Canada,59
Cape Verde,97
Central African Republic,272
Chad,309
Chile,47
China,276
Colombia,93
Comoros,284
Congo,281
Costa Rica,130
Cote d'Ivoire,276
Croatia,64
Cuba,282
Cyprus,150
Czechia,87
Democratic Republic of Congo,311
Denmark,76
Djibouti,211
Dominica,283
Dominican Republic,62
Ecuador,83
Egypt,255
El Salvador,137
Equatorial Guinea,281
Eritrea,307
Estonia,110
Eswatini,169
Ethiopia,268
Fiji,310
Finland,144
France,39
Gabon,231
Gambia,269
Georgia,199
Germany,95
Ghana,237
Greece,151
Grenada,300
Guatemala,134
Guinea,253
Guinea-Bissau,262
Guyana,170
Haiti,271
Honduras,117
Hungary,95
Iceland,127
India,151
Indonesia,216
International,311
Iran,33
Iraq,116
Ireland,73
Israel,64
Italy,48
Jamaica,210
Japan,250
Jordan,218
Kazakhstan,125
Kenya,248
Kosovo,108
Kuwait,48
Kyrgyzstan,139
Laos,311
Latvia,178
Lebanon,143
Lesotho,277
Liberia,303
Libya,172
Liechtenstein,209
Lithuania,147
Luxembourg,59
Madagascar,278
Malawi,296
Malaysia,224
Maldives,82
Mali,311
Malta,123
Marshall Islands,309
Mauritania,235
Mauritius,291
Mexico,91
Moldova,51
Monaco,176
Mongolia,305
Montenegro,123
Morocco,154
Mozambique,303
Myanmar,257
Namibia,190
Nepal,153
Netherlands,76
New Zealand,280
Nicaragua,288
Niger,311
North Macedonia,63
Norway,129
Oman,103
Pakistan,234
Palestine,135
Panama,52
Papua New Guinea,308
Paraguay,153
Peru,87
Philippines,172
Poland,55
Portugal,43
Qatar,44
Romania,63
Russia,71
Rwanda,300
Saint Kitts and Nevis,297
Saint Lucia,275
Saint Vincent and the Grenadines,281
Samoa,311
San Marino,201
Sao Tome and Principe,248
Saudi Arabia,103
Senegal,258
Serbia,84
Seychelles,280
Sierra Leone,309
Singapore,103
Slovakia,160
Slovenia,106
Solomon Islands,311
Somalia,304
South Africa,108
South Korea,264
South Sudan,302
Spain,110
Sri Lanka,283
Sudan,304
Suriname,179
Sweden,80
Switzerland,115
Syria,302
Taiwan,302
Tajikistan,251
Tanzania,311
Thailand,306
Timor,310
Togo,308
Trinidad and Tobago,214
Tunisia,216
Turkey,72
Uganda,304
Ukraine,88
United Arab Emirates,50
United Kingdom,35
United States,41
Uruguay,249
Uzbekistan,208
Vanuatu,311
Vatican,299
Venezuela,190
Vietnam,309
Yemen,311
Zambia,266
Zimbabwe,282
Hong Kong,70
