Nation,Similarity Score
Afghanistan,244
Albania,96
Algeria,216
Andorra,169
Angola,288
Antigua and Barbuda,264
Argentina,99
Armenia,55
Australia,219
Austria,76
Azerbaijan,87
Bahamas,167
Bahrain,43
Bangladesh,170
Barbados,258
Belarus,72
Belgium,45
Belize,195
Benin,287
Bhutan,279
Bolivia,124
Bosnia and Herzegovina,93
Botswana,258
Brazil,69
Brunei,281
Bulgaria,64
Burkina Faso,297
Burundi,298
Cambodia,298
Cameroon,263
Canada,61
Cape Verde,90
Central African Republic,259
Chad,297
Chile,53
China,264
Colombia,88
Comoros,269
Congo,270
Costa Rica,124
Cote d'Ivoire,264
Croatia,70
Cuba,272
Cyprus,150
Czechia,92
Democratic Republic of Congo,299
Denmark,77
Djibouti,208
Dominica,275
Dominican Republic,67
Ecuador,85
Egypt,242
El Salvador,132
Equatorial Guinea,270
Eritrea,295
Estonia,111
Eswatini,159
Ethiopia,255
Fiji,298
Finland,144
France,39
Gabon,222
Gambia,257
Georgia,191
Germany,97
Ghana,226
Greece,149
Grenada,290
Guatemala,125
Guinea,240
Guinea-Bissau,253
Guyana,165
Haiti,257
Honduras,108
Hungary,92
Iceland,128
India,147
Indonesia,206
International,299
Iran,39
Iraq,109
Ireland,73
Israel,66
Italy,46
Jamaica,206
Japan,240
Jordan,209
Kazakhstan,119
Kenya,237
Kosovo,106
Kuwait,49
Kyrgyzstan,132
Laos,299
Latvia,173
Lebanon,135
Lesotho,266
Liberia,290
Libya,161
Liechtenstein,206
Lithuania,151
Luxembourg,58
Madagascar,267
Malawi,283
Malaysia,221
Maldives,75
Mali,299
Malta,126
Marshall Islands,297
Mauritania,225
Mauritius,285
Mexico,83
Moldova,55
Monaco,175
Mongolia,294
Montenegro,125
Morocco,147
Mozambique,291
Myanmar,250
Namibia,184
Nepal,147
Netherlands,75
New Zealand,279
Nicaragua,276
Niger,299
Nigeria,297
North Macedonia,67
Norway,130
Oman,101
Pakistan,225
Palestine,126
Panama,52
Papua New Guinea,296
Paraguay,145
Peru,88
Philippines,166
Poland,58
Portugal,43
Qatar,46
Romania,70
Russia,69
Rwanda,284
Saint Lucia,267
Saint Vincent and the Grenadines,272
Samoa,299
San Marino,199
Sao Tome and Principe,236
Saudi Arabia,100
Senegal,245
Serbia,86
Seychelles,272
Sierra Leone,295
Singapore,104
Slovakia,154
Slovenia,110
Solomon Islands,299
Somalia,293
South Africa,102
South Korea,253
South Sudan,288
Spain,112
Sri Lanka,275
Sudan,292
Suriname,168
Sweden,82
Switzerland,116
Syria,288
Taiwan,290
Tajikistan,238
Tanzania,299
Thailand,294
Timor,298
Togo,296
Trinidad and Tobago,204
Tunisia,208
Turkey,76
Uganda,292
Ukraine,86
United Arab Emirates,52
United Kingdom,35
United States,43
Uruguay,244
Uzbekistan,199
Vanuatu,299
Vatican,289
Venezuela,182
Vietnam,297
Yemen,299
Zambia,253
Zimbabwe,268
Hong Kong,68
