Nation,Similarity Score
Afghanistan,29
Albania,99
Algeria,39
Andorra,62
Angola,52
Antigua and Barbuda,5
Armenia,43
Australia,46
Austria,99
Azerbaijan,35
Bahamas,23
Belarus,16
Belize,70
Benin,40
Bosnia and Herzegovina,112
Brazil,70
Bulgaria,68
Burkina Faso,37
Burundi,32
Cambodia,31
Cameroon,37
Canada,55
Cape Verde,87
Central African Republic,41
Chad,30
Chile,36
Comoros,5
Congo,28
Costa Rica,77
Cote d'Ivoire,30
Croatia,92
Cuba,59
Cyprus,78
Czechia,98
Democratic Republic of Congo,32
Denmark,94
Djibouti,39
Dominica,40
Dominican Republic,47
Ecuador,92
Egypt,30
Equatorial Guinea,5
Eritrea,19
Estonia,29
Eswatini,66
Ethiopia,30
Finland,54
France,162
Gambia,69
Georgia,75
Germany,86
Ghana,51
Greece,68
Grenada,5
Guatemala,81
Guinea,74
Guinea-Bissau,5
Guyana,65
Haiti,20
Honduras,55
Hungary,90
India,97
International,5
Iran,68
Iraq,60
Ireland,114
Israel,67
Italy,105
Jamaica,66
Japan,21
Jordan,79
Kazakhstan,71
Kenya,32
Kosovo,55
Kyrgyzstan,63
Laos,16
Latvia,61
Lebanon,88
Lesotho,53
Liberia,53
Libya,67
Liechtenstein,22
Lithuania,56
Luxembourg,84
Madagascar,21
Malawi,53
Maldives,18
Mali,46
Malta,32
Marshall Islands,5
Mauritania,51
Mauritius,26
Mexico,56
Moldova,96
Monaco,56
Montenegro,34
Morocco,67
Mozambique,33
Myanmar,29
Namibia,62
Netherlands,150
Nicaragua,13
Niger,11
North Macedonia,28
Norway,85
Pakistan,54
Palestine,68
Papua New Guinea,68
Peru,33
Philippines,54
Portugal,130
Qatar,75
Romania,127
Russia,89
Saint Kitts and Nevis,5
Saint Lucia,5
Saint Vincent and the Grenadines,6
Samoa,5
San Marino,47
Sao Tome and Principe,5
Saudi Arabia,89
Senegal,47
Serbia,69
Seychelles,37
Sierra Leone,46
Slovakia,64
Slovenia,66
Solomon Islands,44
Somalia,31
South Africa,46
South Korea,50
South Sudan,31
Spain,146
Sri Lanka,101
Sudan,52
Suriname,25
Sweden,51
Switzerland,82
Syria,32
Tanzania,12
Thailand,55
Timor,52
Togo,56
Trinidad and Tobago,93
Tunisia,43
Turkey,68
Uganda,42
Ukraine,92
United Arab Emirates,73
United States,103
Uruguay,36
Vanuatu,30
Vatican,7
Venezuela,59
Vietnam,50
Yemen,31
Zambia,44
Zimbabwe,53
Gabon,51
Kuwait,58
Nigeria,60
Paraguay,81
Poland,96
Tajikistan,67
United Kingdom,133
Argentina,78
Bahrain,48
Bangladesh,41
Barbados,73
Bhutan,47
Botswana,72
Brunei,54
Colombia,74
El Salvador,45
Fiji,62
Iceland,65
Indonesia,53
Malaysia,70
Nepal,47
New Zealand,26
Oman,59
Panama,75
Rwanda,48
Singapore,45
Taiwan,11
Uzbekistan,69
Bolivia,31
China,28
Mongolia,30
Hong Kong,2
