Nation,Similarity Score
Afghanistan,71
Albania,78
Algeria,150
Andorra,83
Angola,127
Antigua and Barbuda,43
Armenia,41
Australia,134
Austria,83
Azerbaijan,112
Bahamas,42
Belarus,44
Belgium,53
Belize,69
Benin,134
Bosnia and Herzegovina,83
Brazil,26
Bulgaria,65
Burkina Faso,143
Burundi,24
Cambodia,131
Cameroon,198
Canada,104
Cape Verde,25
Central African Republic,124
Chad,160
Chile,50
Comoros,43
Congo,189
Costa Rica,53
Cote d'Ivoire,140
Croatia,88
Cuba,108
Cyprus,129
Czechia,40
Democratic Republic of Congo,113
Denmark,110
Djibouti,168
Dominica,108
Dominican Republic,86
Ecuador,63
Egypt,159
Equatorial Guinea,43
Eritrea,148
Estonia,73
Eswatini,118
Ethiopia,117
Finland,67
France,47
Gambia,105
Georgia,101
Germany,88
Ghana,188
Greece,133
Grenada,43
Guatemala,91
Guinea,141
Guinea-Bissau,43
Guyana,71
Haiti,151
Honduras,104
Hungary,121
India,67
International,43
Iran,84
Iraq,71
Ireland,55
Israel,32
Italy,84
Jamaica,94
Japan,74
Jordan,143
Kazakhstan,79
Kenya,141
Kosovo,109
Kyrgyzstan,81
Laos,146
Latvia,110
Lebanon,69
Liberia,139
Libya,74
Liechtenstein,42
Lithuania,98
Luxembourg,80
Madagascar,202
Malawi,191
Maldives,43
Mali,171
Malta,36
Marshall Islands,43
Mauritania,35
Mauritius,78
Mexico,76
Moldova,19
Monaco,38
Montenegro,42
Morocco,109
Mozambique,142
Myanmar,116
Namibia,163
Netherlands,91
Nicaragua,44
Niger,68
North Macedonia,42
Norway,72
Pakistan,135
Palestine,79
Papua New Guinea,154
Peru,77
Philippines,83
Portugal,48
Qatar,17
Romania,64
Russia,38
Saint Kitts and Nevis,43
Saint Lucia,42
Saint Vincent and the Grenadines,42
Samoa,43
San Marino,94
Sao Tome and Principe,43
Saudi Arabia,106
Senegal,146
Serbia,94
Seychelles,100
Sierra Leone,142
Slovakia,83
Slovenia,105
Solomon Islands,100
Somalia,138
South Africa,120
South Korea,141
South Sudan,163
Spain,75
Sri Lanka,118
Sudan,132
Suriname,100
Sweden,95
Switzerland,86
Syria,189
Tanzania,50
Thailand,155
Timor,74
Togo,159
Trinidad and Tobago,79
Tunisia,101
Turkey,75
Uganda,127
Ukraine,105
United Arab Emirates,34
United States,16
Uruguay,156
Vanuatu,142
Vatican,43
Venezuela,110
Vietnam,178
Yemen,134
Zambia,143
Zimbabwe,124
Gabon,84
Kuwait,22
Nigeria,144
Paraguay,56
Poland,57
Tajikistan,106
United Kingdom,69
Argentina,47
Bangladesh,126
Bhutan,90
Botswana,137
Colombia,35
Panama,16
Rwanda,131
Barbados,115
Uzbekistan,126
Brunei,98
El Salvador,93
Fiji,149
Iceland,34
New Zealand,76
Oman,71
Nepal,70
Bahrain,8
Bolivia,53
China,94
Malaysia,105
Mongolia,119
Indonesia,119
Taiwan,17
Hong Kong,54
Singapore,78
