Nation,Similarity Score
Afghanistan,120
Albania,104
Algeria,142
Andorra,36
Angola,193
Antigua and Barbuda,8
Armenia,8
Australia,116
Austria,16
Azerbaijan,82
Bahamas,8
Belarus,9
Belgium,53
Belize,115
Benin,85
Bosnia and Herzegovina,66
Brazil,63
Bulgaria,40
Burkina Faso,72
Burundi,46
Cambodia,51
Cameroon,115
Canada,100
Cape Verde,65
Central African Republic,104
Chad,186
Chile,22
Comoros,8
Congo,200
Costa Rica,79
Cote d'Ivoire,73
Croatia,54
Cuba,205
Cyprus,89
Czechia,21
Democratic Republic of Congo,153
Denmark,28
Djibouti,113
Dominica,62
Dominican Republic,67
Ecuador,113
Egypt,195
Equatorial Guinea,8
Eritrea,175
Estonia,16
Eswatini,147
Ethiopia,165
Finland,44
France,62
Gambia,165
Georgia,100
Germany,76
Ghana,96
Greece,71
Grenada,8
Guatemala,133
Guinea,201
Guinea-Bissau,8
Guyana,143
Haiti,163
Honduras,76
Hungary,43
India,131
International,8
Iran,28
Iraq,59
Ireland,81
Israel,48
Italy,43
Jamaica,157
Japan,59
Jordan,95
Kazakhstan,144
Kenya,189
Kosovo,82
Kyrgyzstan,111
Laos,75
Latvia,49
Lebanon,85
Lesotho,139
Libya,138
Liechtenstein,8
Lithuania,41
Luxembourg,28
Madagascar,154
Malawi,161
Maldives,8
Mali,84
Malta,7
Marshall Islands,8
Mauritania,86
Mauritius,48
Mexico,71
Moldova,64
Monaco,43
Montenegro,8
Morocco,106
Mozambique,174
Myanmar,173
Namibia,58
Netherlands,12
Nicaragua,22
Niger,15
North Macedonia,8
Norway,52
Pakistan,161
Palestine,93
Papua New Guinea,113
Peru,33
Philippines,146
Portugal,72
Qatar,27
Romania,60
Russia,53
Saint Kitts and Nevis,8
Saint Lucia,8
Saint Vincent and the Grenadines,8
Samoa,8
San Marino,34
Sao Tome and Principe,8
Saudi Arabia,120
Senegal,83
Serbia,68
Seychelles,74
Sierra Leone,55
Slovakia,29
Slovenia,45
Solomon Islands,80
Somalia,51
South Africa,92
South Korea,104
South Sudan,172
Spain,80
Sri Lanka,112
Sudan,227
Suriname,106
Sweden,71
Switzerland,23
Syria,193
Tanzania,16
Thailand,103
Timor,67
Togo,121
Trinidad and Tobago,159
Tunisia,76
Turkey,88
Uganda,195
Ukraine,79
United Arab Emirates,25
United States,38
Uruguay,58
Vanuatu,95
Vatican,8
Venezuela,142
Vietnam,121
Yemen,36
Zambia,86
Zimbabwe,212
Gabon,154
Kuwait,45
Nigeria,239
Paraguay,137
Poland,77
Tajikistan,81
United Kingdom,102
Colombia,76
Panama,59
Argentina,86
Bahrain,29
Bangladesh,159
Barbados,126
Bhutan,186
Botswana,130
El Salvador,122
Fiji,179
Iceland,25
Indonesia,124
Nepal,118
New Zealand,69
Oman,68
Rwanda,167
Uzbekistan,173
Brunei,46
Malaysia,121
Singapore,88
Taiwan,6
Bolivia,80
China,164
Mongolia,129
Hong Kong,45
