Nation,Similarity Score
Afghanistan,140
Algeria,166
Andorra,84
Angola,176
Antigua and Barbuda,22
Armenia,36
Australia,7
Austria,64
Azerbaijan,193
Bahamas,39
Belarus,63
Belgium,67
Belize,189
Benin,94
Bosnia and Herzegovina,176
Brazil,111
Bulgaria,94
Burkina Faso,123
Burundi,30
Cambodia,66
Cameroon,119
Canada,115
Cape Verde,141
Central African Republic,120
Chad,146
Chile,97
Comoros,22
Congo,160
Costa Rica,144
Cote d'Ivoire,128
Croatia,86
Cuba,38
Cyprus,74
Czechia,58
Democratic Republic of Congo,147
Denmark,83
Djibouti,122
Dominica,108
Dominican Republic,170
Ecuador,181
Egypt,163
Equatorial Guinea,22
Eritrea,169
Estonia,57
Eswatini,184
Ethiopia,106
Finland,44
France,41
Gambia,163
Georgia,146
Germany,152
Ghana,105
Greece,108
Grenada,22
Guatemala,174
Guinea,145
Guinea-Bissau,22
Guyana,178
Haiti,143
Honduras,184
Hungary,66
India,195
International,22
Iran,181
Iraq,165
Ireland,73
Israel,68
Italy,26
Jamaica,116
Japan,34
Jordan,163
Kazakhstan,91
Kenya,140
Kosovo,190
Kyrgyzstan,173
Laos,81
Latvia,64
Lebanon,195
Lesotho,162
Liberia,165
Libya,189
Liechtenstein,32
Lithuania,75
Luxembourg,31
Madagascar,147
Malawi,128
Maldives,45
Mali,113
Malta,55
Marshall Islands,22
Mauritania,105
Mauritius,89
Mexico,177
Moldova,143
Monaco,98
Montenegro,33
Morocco,185
Mozambique,133
Myanmar,60
Namibia,122
Netherlands,135
Nicaragua,35
Niger,35
North Macedonia,42
Norway,64
Pakistan,154
Palestine,226
Papua New Guinea,108
Peru,100
Philippines,181
Portugal,89
Qatar,73
Romania,163
Russia,132
Saint Kitts and Nevis,22
Saint Lucia,23
Saint Vincent and the Grenadines,22
Samoa,22
San Marino,59
Sao Tome and Principe,22
Saudi Arabia,85
Senegal,116
Serbia,109
Seychelles,59
Sierra Leone,100
Slovakia,66
Slovenia,56
Solomon Islands,60
Somalia,79
South Africa,108
South Korea,11
South Sudan,151
Spain,86
Sri Lanka,80
Sudan,160
Suriname,144
Sweden,90
Switzerland,72
Syria,157
Tanzania,44
Thailand,21
Timor,66
Togo,73
Trinidad and Tobago,155
Tunisia,82
Turkey,110
Uganda,126
Ukraine,201
United Arab Emirates,63
United States,48
Uruguay,37
Vanuatu,118
Vatican,22
Venezuela,201
Vietnam,78
Yemen,83
Zambia,98
Zimbabwe,156
Argentina,131
Barbados,111
Colombia,135
Kuwait,85
Nigeria,150
Panama,106
Paraguay,167
Poland,93
Tajikistan,80
United Kingdom,51
Uzbekistan,156
Bahrain,37
Bangladesh,157
Bhutan,151
Botswana,144
Gabon,115
Iceland,23
Nepal,137
Rwanda,41
Brunei,68
El Salvador,144
Fiji,93
Indonesia,114
New Zealand,14
Oman,107
Singapore,34
Malaysia,32
Bolivia,127
China,128
Mongolia,99
Hong Kong,21
Taiwan,2
