Nation,Similarity Score
Afghanistan,59
Albania,64
Algeria,58
Andorra,59
Angola,39
Antigua and Barbuda,34
Armenia,53
Australia,26
Azerbaijan,56
Bahamas,42
Belarus,74
Belgium,122
Belize,59
Benin,62
Bosnia and Herzegovina,70
Brazil,36
Bulgaria,133
Burkina Faso,61
Burundi,16
Cambodia,61
Cameroon,50
Canada,99
Cape Verde,44
Central African Republic,55
Chad,55
Chile,61
Comoros,34
Congo,53
Costa Rica,41
Cote d'Ivoire,57
Croatia,124
Cuba,72
Cyprus,55
Czechia,134
Democratic Republic of Congo,59
Denmark,118
Djibouti,54
Dominica,56
Dominican Republic,58
Ecuador,40
Egypt,55
Equatorial Guinea,35
Eritrea,53
Estonia,132
Eswatini,45
Ethiopia,70
Finland,62
France,112
Gambia,43
Georgia,67
Germany,49
Ghana,57
Greece,135
Grenada,34
Guatemala,36
Guinea,34
Guinea-Bissau,34
Guyana,42
Haiti,49
Honduras,64
Hungary,184
India,40
International,34
Iran,59
Iraq,74
Ireland,113
Israel,63
Italy,135
Jamaica,93
Japan,54
Jordan,78
Kazakhstan,58
Kenya,63
Kosovo,57
Kyrgyzstan,32
Laos,49
Latvia,84
Lebanon,74
Lesotho,59
Liberia,34
Libya,67
Liechtenstein,49
Lithuania,103
Luxembourg,109
Madagascar,55
Malawi,54
Maldives,58
Mali,60
Malta,95
Marshall Islands,34
Mauritania,44
Mauritius,45
Mexico,56
Moldova,36
Monaco,43
Montenegro,54
Morocco,109
Mozambique,53
Myanmar,76
Namibia,78
Netherlands,96
Nicaragua,44
Niger,40
North Macedonia,61
Norway,94
Pakistan,59
Palestine,72
Papua New Guinea,40
Peru,60
Philippines,35
Portugal,154
Qatar,40
Romania,64
Russia,67
Saint Kitts and Nevis,34
Saint Lucia,34
Saint Vincent and the Grenadines,34
Samoa,34
San Marino,64
Sao Tome and Principe,34
Saudi Arabia,45
Senegal,65
Serbia,84
Seychelles,30
Sierra Leone,55
Slovakia,145
Slovenia,189
Solomon Islands,38
Somalia,47
South Africa,47
South Korea,69
South Sudan,57
Spain,88
Sri Lanka,66
Sudan,34
Suriname,49
Sweden,67
Switzerland,161
Syria,58
Tanzania,41
Thailand,25
Timor,33
Togo,109
Trinidad and Tobago,62
Tunisia,106
Turkey,76
Uganda,34
Ukraine,87
United Arab Emirates,76
United States,75
Uruguay,106
Vanuatu,50
Vatican,34
Venezuela,63
Vietnam,15
Yemen,49
Zambia,85
Zimbabwe,36
Argentina,28
Bahrain,14
Bangladesh,31
Barbados,33
Bhutan,32
Botswana,32
Brunei,32
Colombia,40
El Salvador,39
Fiji,38
Gabon,30
Iceland,87
Indonesia,28
Kuwait,35
Malaysia,54
Nepal,54
New Zealand,5
Nigeria,30
Oman,34
Rwanda,81
Singapore,42
Tajikistan,28
United Kingdom,89
Uzbekistan,31
Panama,34
Paraguay,58
Poland,137
Taiwan,26
Mongolia,23
Bolivia,20
China,24
Hong Kong,4
