Nation,Similarity Score
Afghanistan,104
Albania,144
Algeria,119
Andorra,88
Angola,132
Antigua and Barbuda,12
Armenia,39
Australia,24
Austria,41
Azerbaijan,125
Bahamas,60
Belarus,28
Belgium,66
Belize,160
Benin,98
Bosnia and Herzegovina,171
Brazil,156
Bulgaria,94
Burkina Faso,92
Burundi,33
Cambodia,80
Cameroon,107
Canada,70
Cape Verde,167
Central African Republic,94
Chad,94
Chile,79
Comoros,12
Congo,108
Cote d'Ivoire,110
Croatia,69
Cuba,60
Cyprus,62
Czechia,56
Democratic Republic of Congo,117
Denmark,51
Djibouti,79
Dominica,96
Dominican Republic,118
Ecuador,118
Egypt,110
Equatorial Guinea,12
Eritrea,104
Estonia,34
Eswatini,147
Ethiopia,61
Finland,61
France,65
Gambia,150
Georgia,109
Germany,136
Ghana,84
Greece,72
Grenada,12
Guatemala,136
Guinea,147
Guinea-Bissau,12
Guyana,119
Haiti,106
Honduras,116
Hungary,48
India,121
International,12
Iran,116
Iraq,117
Ireland,69
Israel,109
Italy,19
Jamaica,81
Japan,64
Jordan,111
Kazakhstan,93
Kenya,92
Kosovo,125
Kyrgyzstan,142
Laos,70
Latvia,44
Lebanon,156
Lesotho,112
Liberia,130
Libya,115
Liechtenstein,21
Lithuania,53
Luxembourg,56
Madagascar,103
Malawi,95
Maldives,46
Mali,104
Malta,47
Marshall Islands,12
Mauritania,110
Mauritius,84
Mexico,114
Moldova,158
Monaco,95
Montenegro,66
Morocco,82
Mozambique,105
Myanmar,42
Namibia,88
Netherlands,109
Nicaragua,24
Niger,47
North Macedonia,37
Norway,72
Pakistan,107
Palestine,149
Papua New Guinea,119
Peru,86
Philippines,102
Portugal,78
Qatar,78
Romania,129
Russia,89
Saint Kitts and Nevis,12
Saint Lucia,13
Saint Vincent and the Grenadines,12
Samoa,12
San Marino,60
Sao Tome and Principe,12
Saudi Arabia,84
Senegal,107
Serbia,77
Seychelles,80
Sierra Leone,92
Slovakia,48
Slovenia,31
Solomon Islands,84
Somalia,88
South Africa,74
South Korea,16
South Sudan,113
Spain,125
Sri Lanka,72
Sudan,130
Suriname,147
Sweden,69
Switzerland,44
Syria,113
Tanzania,54
Thailand,18
Timor,103
Togo,60
Trinidad and Tobago,135
Tunisia,63
Turkey,97
Uganda,113
Ukraine,119
United Arab Emirates,37
United States,89
Uruguay,37
Vanuatu,101
Vatican,12
Venezuela,128
Vietnam,74
Yemen,80
Zambia,64
Zimbabwe,109
Argentina,208
Bahrain,95
Bangladesh,103
Barbados,118
Bhutan,125
Botswana,130
Brunei,92
Colombia,177
El Salvador,117
Fiji,89
Gabon,109
Iceland,49
Indonesia,105
Kuwait,111
Malaysia,43
Nepal,74
New Zealand,17
Nigeria,130
Oman,70
Panama,129
Paraguay,103
Poland,92
Rwanda,46
Singapore,40
Tajikistan,99
United Kingdom,78
Uzbekistan,129
Mongolia,96
Bolivia,94
China,101
Hong Kong,11
Taiwan,4
