Nation,Similarity Score
Afghanistan,130
Albania,146
Algeria,154
Andorra,97
Angola,153
Antigua and Barbuda,7
Armenia,37
Australia,38
Austria,67
Azerbaijan,141
Bahamas,16
Belarus,15
Belgium,51
Belize,129
Benin,103
Bosnia and Herzegovina,166
Brazil,67
Bulgaria,106
Burkina Faso,148
Burundi,11
Cambodia,92
Cameroon,137
Canada,65
Cape Verde,99
Central African Republic,128
Chad,145
Chile,53
Comoros,7
Congo,156
Costa Rica,109
Cote d'Ivoire,133
Croatia,130
Cuba,45
Cyprus,35
Czechia,103
Democratic Republic of Congo,141
Denmark,18
Djibouti,134
Dominica,116
Dominican Republic,106
Ecuador,115
Egypt,160
Equatorial Guinea,7
Eritrea,157
Estonia,17
Eswatini,125
Ethiopia,97
Finland,56
France,65
Gambia,133
Germany,160
Ghana,124
Greece,58
Grenada,7
Guatemala,127
Guinea,154
Guinea-Bissau,7
Guyana,149
Haiti,113
Honduras,108
Hungary,56
India,144
International,7
Iran,142
Iraq,99
Ireland,48
Israel,59
Italy,66
Jamaica,132
Japan,91
Jordan,210
Kazakhstan,65
Kenya,136
Kosovo,120
Kyrgyzstan,161
Laos,85
Latvia,17
Lebanon,153
Lesotho,158
Liberia,165
Libya,115
Liechtenstein,27
Lithuania,56
Luxembourg,21
Madagascar,150
Malawi,122
Maldives,20
Mali,138
Malta,25
Marshall Islands,7
Mauritania,85
Mauritius,81
Mexico,102
Moldova,96
Monaco,76
Montenegro,38
Morocco,117
Mozambique,115
Myanmar,39
Namibia,85
Netherlands,134
Nicaragua,13
Niger,31
North Macedonia,39
Norway,33
Pakistan,160
Palestine,123
Papua New Guinea,164
Peru,58
Philippines,176
Portugal,98
Qatar,54
Romania,157
Russia,57
Saint Kitts and Nevis,7
Saint Lucia,7
Saint Vincent and the Grenadines,7
Samoa,7
San Marino,80
Sao Tome and Principe,7
Saudi Arabia,53
Senegal,127
Serbia,91
Seychelles,91
Sierra Leone,108
Slovakia,63
Slovenia,73
Solomon Islands,56
Somalia,73
South Africa,77
South Korea,24
South Sudan,131
Spain,80
Sri Lanka,65
Sudan,163
Suriname,95
Sweden,69
Switzerland,76
Syria,172
Tanzania,46
Thailand,12
Timor,71
Togo,80
Trinidad and Tobago,127
Tunisia,68
Turkey,124
Uganda,142
Ukraine,167
United Arab Emirates,30
United States,53
Uruguay,23
Vanuatu,128
Vatican,7
Venezuela,142
Vietnam,111
Yemen,82
Zambia,112
Zimbabwe,145
Argentina,106
Bahrain,43
Bangladesh,172
Barbados,158
Bhutan,175
Botswana,180
Brunei,139
Colombia,112
El Salvador,142
Fiji,137
Gabon,137
Iceland,61
Indonesia,177
Kuwait,73
Malaysia,52
Nepal,139
New Zealand,44
Nigeria,155
Oman,117
Panama,80
Paraguay,118
Poland,120
Rwanda,63
Singapore,57
Tajikistan,116
United Kingdom,52
Uzbekistan,161
Taiwan,10
Bolivia,97
China,141
Mongolia,153
Hong Kong,22
