Nation,Similarity Score
Afghanistan,147
Albania,133
Algeria,201
Andorra,110
Angola,236
Antigua and Barbuda,41
Armenia,26
Australia,16
Austria,53
Azerbaijan,136
Bahamas,30
Belarus,29
Belgium,53
Belize,157
Benin,175
Bosnia and Herzegovina,95
Brazil,60
Bulgaria,107
Burkina Faso,140
Burundi,59
Cambodia,142
Cameroon,223
Canada,61
Cape Verde,83
Central African Republic,198
Chad,219
Chile,45
Comoros,41
Congo,216
Costa Rica,105
Cote d'Ivoire,158
Croatia,60
Cuba,61
Cyprus,34
Czechia,61
Democratic Republic of Congo,182
Denmark,36
Djibouti,176
Dominica,126
Dominican Republic,112
Ecuador,119
Egypt,217
Equatorial Guinea,41
Eritrea,217
Estonia,40
Eswatini,177
Ethiopia,198
Finland,62
France,47
Gambia,217
Georgia,115
Germany,140
Ghana,191
Greece,65
Grenada,41
Guatemala,145
Guinea,210
Guinea-Bissau,41
Guyana,148
Haiti,157
Honduras,93
Hungary,44
India,136
International,41
Iran,166
Iraq,80
Ireland,64
Israel,43
Italy,27
Jamaica,119
Japan,120
Jordan,133
Kazakhstan,134
Kenya,199
Kosovo,101
Kyrgyzstan,122
Laos,99
Latvia,46
Lebanon,108
Lesotho,207
Liberia,223
Libya,121
Liechtenstein,27
Lithuania,50
Luxembourg,46
Madagascar,210
Malawi,230
Maldives,35
Mali,192
Malta,27
Marshall Islands,41
Mauritania,120
Mauritius,77
Mexico,133
Moldova,56
Monaco,42
Montenegro,26
Morocco,88
Myanmar,120
Namibia,150
Netherlands,88
Nicaragua,62
Niger,77
North Macedonia,26
Norway,49
Pakistan,168
Palestine,79
Papua New Guinea,188
Peru,53
Philippines,158
Portugal,85
Qatar,28
Romania,85
Russia,68
Saint Kitts and Nevis,41
Saint Lucia,40
Saint Vincent and the Grenadines,41
Samoa,41
San Marino,69
Sao Tome and Principe,41
Saudi Arabia,50
Senegal,155
Serbia,71
Seychelles,83
Sierra Leone,132
Slovakia,43
Slovenia,65
Solomon Islands,152
Somalia,150
South Africa,113
South Korea,46
South Sudan,190
Spain,98
Sri Lanka,104
Sudan,195
Suriname,151
Sweden,100
Switzerland,67
Syria,197
Tanzania,81
Thailand,19
Timor,98
Togo,132
Trinidad and Tobago,160
Tunisia,56
Turkey,123
Uganda,160
Ukraine,103
United Arab Emirates,24
United States,35
Uruguay,79
Vanuatu,153
Vatican,40
Venezuela,184
Vietnam,112
Yemen,149
Zambia,173
Zimbabwe,205
Argentina,58
Bahrain,13
Bangladesh,184
Barbados,139
Bhutan,195
Botswana,177
Brunei,141
Colombia,61
El Salvador,137
Fiji,124
Gabon,173
Iceland,26
Kuwait,14
Malaysia,60
Nepal,127
New Zealand,9
Nigeria,213
Oman,65
Panama,43
Paraguay,102
Poland,98
Rwanda,48
Tajikistan,156
United Kingdom,45
Uzbekistan,176
Indonesia,202
Singapore,31
Mongolia,187
Taiwan,28
Bolivia,77
China,200
Hong Kong,61
