Nation,Similarity Score
Afghanistan,131
Albania,35
Algeria,47
Andorra,61
Angola,54
Antigua and Barbuda,274
Armenia,128
Australia,7
Austria,44
Azerbaijan,35
Bahamas,189
Belarus,120
Belgium,15
Belize,42
Benin,111
Bosnia and Herzegovina,22
Brazil,20
Bulgaria,41
Burkina Faso,120
Burundi,270
Cambodia,128
Cameroon,60
Canada,28
Cape Verde,22
Central African Republic,91
Chad,62
Chile,38
Comoros,277
Congo,72
Costa Rica,24
Cote d'Ivoire,96
Croatia,26
Cuba,18
Cyprus,39
Czechia,21
Democratic Republic of Congo,93
Denmark,37
Djibouti,64
Dominica,136
Dominican Republic,54
Ecuador,25
Egypt,54
Equatorial Guinea,270
Eritrea,55
Estonia,37
Eswatini,46
Ethiopia,45
Finland,12
France,5
Gambia,63
Georgia,13
Germany,7
Ghana,51
Greece,39
Grenada,275
Guatemala,22
Guinea,59
Guinea-Bissau,273
Guyana,23
Haiti,118
Honduras,47
Hungary,40
India,16
International,277
Iran,36
Iraq,29
Ireland,25
Israel,11
Italy,6
Jamaica,32
Japan,89
Jordan,54
Kazakhstan,29
Kenya,44
Kosovo,40
Kyrgyzstan,10
Laos,179
Latvia,40
Lebanon,39
Lesotho,66
Liberia,40
Libya,32
Liechtenstein,215
Lithuania,46
Luxembourg,38
Madagascar,61
Malawi,46
Maldives,138
Mali,87
Malta,55
Marshall Islands,277
Mauritania,148
Mauritius,195
Mexico,43
Moldova,15
Monaco,117
Montenegro,145
Morocco,38
Mozambique,62
Myanmar,41
Namibia,52
Netherlands,47
Niger,221
North Macedonia,173
Norway,19
Pakistan,32
Palestine,36
Papua New Guinea,54
Peru,39
Philippines,11
Portugal,14
Qatar,10
Romania,14
Russia,18
Saint Kitts and Nevis,275
Saint Lucia,275
Saint Vincent and the Grenadines,276
Samoa,277
San Marino,129
Sao Tome and Principe,269
Saudi Arabia,20
Senegal,79
Serbia,42
Seychelles,143
Sierra Leone,146
Slovakia,44
Slovenia,42
Solomon Islands,164
Somalia,144
South Africa,41
South Korea,13
South Sudan,54
Spain,21
Sri Lanka,32
Sudan,59
Suriname,46
Sweden,40
Switzerland,50
Syria,53
Tanzania,209
Thailand,18
Timor,188
Togo,53
Trinidad and Tobago,25
Tunisia,81
Turkey,21
Uganda,25
Ukraine,48
United Arab Emirates,13
United States,18
Uruguay,40
Vanuatu,128
Vatican,267
Venezuela,52
Vietnam,21
Yemen,150
Zambia,54
Zimbabwe,36
Argentina,12
Colombia,12
Nigeria,38
Panama,18
Paraguay,10
Poland,26
Tajikistan,118
United Kingdom,17
Uzbekistan,39
Bahrain,4
Bangladesh,13
Barbados,75
Bhutan,17
Botswana,22
Brunei,89
El Salvador,12
Fiji,16
Gabon,17
Iceland,5
Indonesia,16
Kuwait,3
Nepal,8
New Zealand,17
Oman,15
Rwanda,7
Singapore,9
Malaysia,8
Taiwan,25
China,15
Bolivia,9
Mongolia,30
Hong Kong,7
