country,cluster,new_cases_per_million,new_deaths_per_million,new_tests_per_thousand
Afghanistan,5,0,0.308,10.506
Albania,6,0,0.347,24.672
Algeria,0,0,0.182,3.193
Andorra,7,0,0,0
Angola,7,0,0,0.213
Antigua and Barbuda,7,0,0,0
Argentina,6,0.124,0.42,34.981
Armenia,4,0,6.074,188.983
Australia,7,1.41,0,0.51
Austria,0,0.264,0.222,1.999
Azerbaijan,2,0,0.592,48.426
Bahamas,7,0,0,0
Bahrain,4,0,1.763,254.469
Bangladesh,6,0.095,0.237,21.44
Barbados,7,0,0,0
Belarus,2,0,0.317,60.216
Belgium,7,0.57,0,0
Belize,7,0,0,0
Benin,3,0,0.165,9.486
Bhutan,7,0,0,0
Bolivia,1,0.156,2.827,75.045
Bosnia and Herzegovina,7,0,0,0
Botswana,7,0,0,0
Brazil,1,0,2.893,74.153
Brunei,7,0,0,0
Bulgaria,3,0,0,4.749
Burkina Faso,7,0,0,0.096
Burundi,0,0,0,3.364
Cambodia,7,0,0,0
Cameroon,5,0,0.075,10.623
Canada,3,0.865,0.424,8.373
Cape Verde,2,0.576,0,48.562
Central African Republic,6,0,0.828,25.26
Chad,7,0,0,0
Chile,4,1.052,9.625,293.311
China,7,0,0,0.013
Colombia,2,0.363,2.181,59.332
Comoros,7,0,0,0
Congo,7,0,0,0
Costa Rica,5,0.077,0,16.882
Cote d'Ivoire,3,0.035,0.076,8.189
Croatia,3,0.067,0,4.385
Cuba,7,0.183,0,0.265
Cyprus,7,0.708,0,1.142
Czechia,3,0.123,0,4.669
Democratic Republic of Congo,0,0.004,0.056,1.719
Denmark,7,1.971,0,0
Djibouti,5,0,0,17.206
Dominica,7,0,0,0
Dominican Republic,1,0.268,0.645,82.873
Ecuador,2,0.07,3.798,51.522
Egypt,5,0,0.85,14.414
El Salvador,6,0.379,0.771,23.28
Equatorial Guinea,7,0,0,0
Eritrea,7,0,0,0
Estonia,7,0.268,0,0
Eswatini,3,0,0,6.896
Ethiopia,7,0.039,0.017,0.548
Fiji,7,0,0,0
Finland,7,0.124,0,0.18
France,3,0.099,0.107,4.351
Gabon,7,0,0,0
Gambia,7,0,0,0
Georgia,0,0,0,2.005
Germany,3,0,0,7.185
Ghana,5,0.233,0,14.064
Greece,7,0.408,0,0.959
Grenada,7,0,0,0
Guatemala,6,0.05,0.949,21.769
Guinea,0,0,0,2.132
Guinea-Bissau,7,0,0,0
Guyana,7,0,0,1.271
Haiti,7,0,0,0
Honduras,2,0,0.505,46.746
Hungary,7,0.334,0,0.828
Iceland,7,0.05,0,0
India,5,0.138,0.322,10.747
Indonesia,0,0.024,0.132,3.151
International,7,0,0,0
Iran,6,0.318,1.381,28.193
Iraq,2,0.249,2.163,40.922
Ireland,7,0.437,0,1.013
Israel,6,1.057,0,19.987
Italy,0,0.671,0.397,3.705
Jamaica,7,0.093,0,0.675
Japan,7,0.033,0,0.435
Jordan,0,0,0,1.764
Kazakhstan,6,1.517,0.107,27.002
Kenya,3,0.068,0.037,4.835
Kosovo,2,0,0.517,38.804
Kuwait,1,0.642,1.639,118.251
Kyrgyzstan,2,0,0.766,57.478
Laos,7,0,0,0
Latvia,7,0.686,0,0
Lebanon,3,0,0,7.472
Lesotho,7,0,0,0
Liberia,3,0,0.198,4.943
Libya,0,0.102,0,3.929
Liechtenstein,7,0,0,0
Lithuania,7,0.619,0,1.102
Luxembourg,6,0.805,0,23.963
Madagascar,0,0,0.036,3.358
Malawi,3,0,0.157,5.75
Malaysia,7,0.128,0,0.494
Maldives,6,1.306,0,29.6
Mali,7,0,0,0
Malta,0,1.051,0,2.265
Marshall Islands,7,0,0,0
Mauritania,6,0,0.645,36.777
Mauritius,7,0,0,0
Mexico,2,0.031,8.097,41.44
Moldova,2,0,2.231,61.23
Monaco,6,0,0,25.482
Mongolia,0,0,0,2.135
Montenegro,3,0,0,4.777
Morocco,0,0.434,0.027,3.739
Mozambique,0,0.021,0.032,1.44
Myanmar,7,0.025,0,0.055
Namibia,0,0.068,0,3.542
Nepal,5,0.206,0.034,14.449
Netherlands,3,0,0.058,5.311
