Nation,Similarity Score
Afghanistan,170
Albania,55
Algeria,99
Andorra,146
Angola,224
Antigua and Barbuda,218
Argentina,63
Armenia,52
Australia,186
Austria,37
Azerbaijan,60
Bahamas,119
Bahrain,41
Bangladesh,76
Barbados,202
Belarus,56
Belgium,42
Belize,146
Benin,220
Bhutan,211
Bolivia,74
Bosnia and Herzegovina,72
Botswana,211
Brazil,57
Brunei,248
Bulgaria,58
Burkina Faso,248
Burundi,244
Cambodia,252
Cameroon,198
Canada,48
Cape Verde,63
Central African Republic,196
Chad,236
Chile,54
China,220
Colombia,58
Comoros,207
Congo,213
Costa Rica,81
Cote d'Ivoire,162
Croatia,88
Cuba,195
Cyprus,89
Czechia,45
Democratic Republic of Congo,235
Denmark,50
Djibouti,158
Dominica,233
Dominican Republic,61
Ecuador,70
Egypt,167
El Salvador,79
Equatorial Guinea,224
Eritrea,234
Estonia,89
Eswatini,68
Ethiopia,169
Fiji,250
Finland,96
France,83
Gabon,172
Gambia,200
Georgia,117
Germany,38
Ghana,158
Greece,105
Grenada,239
Guatemala,65
Guinea,155
Guinea-Bissau,207
Guyana,103
Haiti,180
Honduras,70
Hungary,111
Iceland,97
India,58
Indonesia,71
International,251
Iran,31
Iraq,57
Ireland,65
Israel,36
Italy,41
Jamaica,114
Japan,157
Jordan,137
Kazakhstan,74
Kenya,116
Kosovo,65
Kuwait,43
Kyrgyzstan,71
Laos,251
Latvia,123
Lebanon,75
Lesotho,209
Liberia,203
Libya,90
Liechtenstein,168
Lithuania,91
Luxembourg,52
Madagascar,171
Malawi,208
Malaysia,161
Maldives,46
Mali,228
Malta,70
Marshall Islands,249
Mauritania,145
Mauritius,253
Mexico,56
Moldova,48
Monaco,138
Mongolia,235
Montenegro,107
Morocco,66
Mozambique,210
Myanmar,175
Namibia,113
Nepal,75
Netherlands,40
Nicaragua,227
Niger,250
Nigeria,194
North Macedonia,54
Norway,73
Oman,88
Pakistan,135
Palestine,90
Panama,46
Papua New Guinea,246
Paraguay,73
Peru,71
Philippines,69
Poland,50
Portugal,41
Qatar,45
Romania,53
Russia,49
Rwanda,209
Saint Kitts and Nevis,249
Saint Lucia,208
Saint Vincent and the Grenadines,224
Samoa,251
San Marino,177
Sao Tome and Principe,167
Saudi Arabia,65
Senegal,139
Serbia,59
Seychelles,221
Sierra Leone,200
Singapore,98
Slovakia,110
Slovenia,89
Solomon Islands,251
Somalia,205
South Africa,56
South Korea,208
South Sudan,227
Spain,81
Sri Lanka,193
Sudan,202
Suriname,112
Sweden,70
Switzerland,58
Syria,216
Taiwan,240
Tajikistan,130
Tanzania,251
Thailand,246
Timor,254
Togo,220
Trinidad and Tobago,152
Tunisia,167
Turkey,55
Uganda,225
Ukraine,52
United Arab Emirates,34
United Kingdom,35
United States,40
Uruguay,140
Uzbekistan,108
Vanuatu,251
Vatican,245
Venezuela,87
Vietnam,249
Yemen,247
Zambia,182
Zimbabwe,197
Hong Kong,67
