Nation,Similarity Score
Afghanistan,89
Albania,67
Algeria,68
Andorra,67
Angola,82
Antigua and Barbuda,83
Argentina,54
Armenia,125
Australia,74
Austria,57
Azerbaijan,72
Bahamas,77
Bahrain,99
Bangladesh,54
Barbados,84
Belarus,76
Belgium,62
Belize,75
Benin,89
Bhutan,83
Bolivia,73
Bosnia and Herzegovina,76
Botswana,93
Brazil,143
Brunei,87
Bulgaria,71
Burkina Faso,94
Burundi,91
Cambodia,91
Cameroon,95
Canada,55
Cape Verde,82
Central African Republic,89
Chad,91
Chile,112
China,64
Colombia,81
Comoros,82
Congo,87
Costa Rica,57
Cote d'Ivoire,82
Croatia,60
Cuba,82
Cyprus,61
Czechia,62
Democratic Republic of Congo,90
Denmark,58
Djibouti,98
Dominica,80
Dominican Republic,90
Ecuador,80
Egypt,87
El Salvador,75
Equatorial Guinea,96
Eritrea,91
Estonia,54
Eswatini,55
Ethiopia,70
Fiji,94
Finland,64
France,55
Gabon,98
Gambia,80
Georgia,66
Germany,51
Ghana,87
Greece,62
Grenada,91
Guatemala,62
Guinea,81
Guinea-Bissau,96
Guyana,66
Haiti,85
Honduras,74
Hungary,80
Iceland,57
India,69
Indonesia,47
International,91
Iran,64
Iraq,85
Ireland,67
Israel,70
Italy,37
Jamaica,67
Japan,55
Jordan,67
Kazakhstan,70
Kenya,59
Kosovo,76
Kuwait,92
Kyrgyzstan,80
Laos,91
Latvia,65
Lebanon,69
Lesotho,84
Liberia,90
Libya,82
Liechtenstein,65
Lithuania,50
Luxembourg,75
Madagascar,79
Malawi,84
Malaysia,68
Maldives,88
Mali,90
Malta,58
Marshall Islands,90
Mauritania,78
Mauritius,94
Mexico,82
Moldova,75
Monaco,65
Mongolia,91
Montenegro,68
Morocco,82
Mozambique,77
Myanmar,63
Namibia,59
Nepal,66
Netherlands,63
New Zealand,88
Nicaragua,92
Niger,92
Nigeria,87
North Macedonia,74
Norway,43
Pakistan,78
Palestine,75
Panama,119
Papua New Guinea,89
Paraguay,88
Peru,102
Philippines,65
Poland,63
Portugal,61
Qatar,106
Romania,81
Russia,101
Rwanda,81
Saint Kitts and Nevis,92
Saint Lucia,82
Saint Vincent and the Grenadines,87
Samoa,91
San Marino,80
Sao Tome and Principe,81
Saudi Arabia,105
Senegal,79
Serbia,56
Seychelles,82
Sierra Leone,88
Singapore,67
Slovakia,68
Slovenia,50
Solomon Islands,91
Somalia,87
South Africa,88
South Korea,62
South Sudan,88
Spain,65
Sri Lanka,74
Sudan,85
Suriname,65
Sweden,86
Switzerland,57
Syria,77
Taiwan,81
Tajikistan,76
Tanzania,91
Thailand,93
Timor,92
Togo,84
Trinidad and Tobago,73
Tunisia,75
Turkey,62
Uganda,79
Ukraine,86
United Arab Emirates,75
United Kingdom,46
United States,93
Uruguay,67
Uzbekistan,65
Vanuatu,91
Vatican,89
Venezuela,65
Vietnam,89
Yemen,91
Zambia,76
Zimbabwe,79
Hong Kong,24
