Nation,Similarity Score
Afghanistan,214
Albania,60
Algeria,121
Andorra,126
Angola,222
Antigua and Barbuda,207
Argentina,77
Armenia,48
Australia,153
Austria,63
Azerbaijan,63
Bahamas,116
Bahrain,38
Bangladesh,113
Barbados,178
Belarus,61
Belgium,43
Belize,137
Benin,242
Bhutan,219
Bolivia,84
Bosnia and Herzegovina,63
Botswana,216
Brazil,59
Brunei,219
Bulgaria,71
Burkina Faso,235
Burundi,253
Cambodia,248
Cameroon,201
Canada,44
Cape Verde,79
Central African Republic,219
Chad,256
Chile,46
China,211
Colombia,57
Comoros,222
Congo,225
Costa Rica,97
Cote d'Ivoire,212
Croatia,58
Cuba,173
Cyprus,105
Czechia,60
Democratic Republic of Congo,259
Denmark,61
Djibouti,169
Dominica,223
Dominican Republic,55
Ecuador,58
Egypt,206
El Salvador,112
Equatorial Guinea,221
Eritrea,242
Estonia,89
Eswatini,118
Ethiopia,181
Fiji,241
Finland,99
France,68
Gabon,184
Gambia,203
Georgia,121
Germany,59
Ghana,182
Greece,93
Grenada,235
Guatemala,112
Guinea,183
Guinea-Bissau,219
Guyana,120
Haiti,229
Honduras,89
Hungary,110
Iceland,73
India,108
Indonesia,132
International,250
Iran,32
Iraq,84
Ireland,66
Israel,46
Italy,53
Jamaica,129
Japan,116
Jordan,143
Kazakhstan,81
Kenya,160
Kosovo,73
Kuwait,43
Kyrgyzstan,99
Laos,250
Latvia,116
Lebanon,81
Lesotho,213
Liberia,246
Libya,127
Liechtenstein,150
Lithuania,105
Luxembourg,77
Madagascar,214
Malawi,227
Malaysia,146
Maldives,73
Mali,260
Malta,88
Marshall Islands,248
Mauritania,182
Mauritius,219
Mexico,64
Moldova,50
Monaco,122
Mongolia,239
Montenegro,81
Morocco,94
Mozambique,214
Myanmar,172
Namibia,119
Nepal,112
Netherlands,51
New Zealand,206
Nicaragua,228
Niger,238
Nigeria,261
North Macedonia,55
Norway,96
Oman,88
Pakistan,150
Palestine,85
Panama,50
Papua New Guinea,245
Paraguay,103
Peru,68
Philippines,101
Poland,49
Portugal,43
Qatar,43
Romania,43
Russia,58
Rwanda,215
Saint Kitts and Nevis,237
Saint Lucia,202
Saint Vincent and the Grenadines,224
Samoa,250
San Marino,169
Sao Tome and Principe,190
Saudi Arabia,61
Senegal,187
Serbia,61
Seychelles,213
Singapore,89
Slovakia,88
Slovenia,70
Solomon Islands,250
Somalia,244
South Africa,67
South Korea,171
South Sudan,253
Spain,84
Sri Lanka,200
Sudan,248
Suriname,129
Sweden,76
Switzerland,89
Syria,213
Taiwan,230
Tajikistan,180
Tanzania,249
Thailand,225
Timor,245
Togo,236
Trinidad and Tobago,125
Tunisia,130
Turkey,55
Uganda,226
Ukraine,65
United Arab Emirates,48
United Kingdom,34
United States,40
Uruguay,136
Uzbekistan,140
Vanuatu,250
Vatican,241
Venezuela,129
Vietnam,248
Yemen,252
Zambia,201
Zimbabwe,210
Hong Kong,68
