Nation,Similarity Score
Afghanistan,80
Albania,160
Algeria,100
Andorra,155
Angola,72
Antigua and Barbuda,55
Armenia,55
Australia,5
Austria,52
Azerbaijan,82
Bahamas,55
Belarus,62
Belgium,52
Belize,71
Benin,166
Bosnia and Herzegovina,201
Brazil,59
Bulgaria,108
Burkina Faso,191
Burundi,17
Cambodia,170
Cameroon,225
Canada,61
Cape Verde,78
Central African Republic,176
Chad,131
Chile,70
Comoros,55
Congo,198
Costa Rica,85
Cote d'Ivoire,143
Croatia,97
Cuba,10
Cyprus,59
Czechia,52
Democratic Republic of Congo,149
Denmark,36
Dominica,152
Dominican Republic,99
Ecuador,107
Egypt,170
Equatorial Guinea,55
Eritrea,99
Estonia,61
Eswatini,124
Ethiopia,67
Finland,5
France,83
Gambia,76
Georgia,163
Germany,122
Ghana,168
Greece,42
Grenada,55
Guatemala,91
Guinea,109
Guinea-Bissau,55
Guyana,53
Haiti,161
Honduras,96
Hungary,85
India,36
International,55
Iran,136
Iraq,79
Ireland,54
Israel,53
Italy,41
Jamaica,32
Japan,59
Jordan,180
Kazakhstan,8
Kenya,39
Kosovo,203
Kyrgyzstan,91
Laos,200
Latvia,47
Lebanon,124
Lesotho,213
Liberia,122
Libya,53
Liechtenstein,55
Lithuania,39
Luxembourg,62
Madagascar,176
Malawi,110
Maldives,55
Mali,211
Malta,44
Marshall Islands,55
Mauritania,64
Mauritius,104
Mexico,89
Moldova,149
Monaco,35
Montenegro,55
Morocco,132
Mozambique,74
Myanmar,46
Namibia,165
Netherlands,140
Nicaragua,37
Niger,102
North Macedonia,55
Norway,16
Pakistan,117
Palestine,110
Papua New Guinea,166
Peru,100
Philippines,62
Portugal,35
Qatar,53
Romania,116
Russia,48
Saint Kitts and Nevis,55
Saint Lucia,55
Saint Vincent and the Grenadines,55
Samoa,55
San Marino,162
Sao Tome and Principe,55
Saudi Arabia,56
Senegal,115
Serbia,109
Seychelles,113
Sierra Leone,161
Slovakia,60
Slovenia,72
Solomon Islands,131
Somalia,155
South Africa,104
South Korea,11
South Sudan,71
Spain,77
Sri Lanka,36
Sudan,120
Suriname,97
Sweden,135
Switzerland,73
Syria,184
Tanzania,91
Thailand,18
Timor,102
Togo,75
Trinidad and Tobago,53
Tunisia,76
Turkey,42
Uganda,67
Ukraine,166
United Arab Emirates,13
United States,79
Uruguay,52
Vanuatu,156
Vatican,55
Venezuela,61
Vietnam,94
Yemen,176
Zambia,122
Zimbabwe,60
Paraguay,35
Poland,57
Nigeria,78
Tajikistan,141
Bhutan,58
Gabon,75
Rwanda,23
Singapore,39
United Kingdom,19
Indonesia,108
Barbados,142
Botswana,171
Brunei,122
Colombia,49
Iceland,14
Mongolia,119
Panama,59
Uzbekistan,147
Argentina,48
Bahrain,53
Bangladesh,53
Bolivia,30
China,31
El Salvador,57
Fiji,106
Kuwait,86
Malaysia,4
New Zealand,13
Oman,76
Nepal,5
Hong Kong,45
Taiwan,3
