Nation,Similarity Score
Argentina,73
Bahrain,72
Bangladesh,80
Barbados,79
Bhutan,99
Bolivia,68
Botswana,76
Brunei,60
China,42
Colombia,70
El Salvador,72
Fiji,104
Gabon,78
Iceland,80
Indonesia,114
Kuwait,72
Malaysia,58
Mongolia,49
Nepal,53
New Zealand,79
Nigeria,78
Oman,90
Panama,61
Paraguay,35
Poland,83
Rwanda,79
Taiwan,41
Tajikistan,26
United Kingdom,70
Uzbekistan,76
France,106
Philippines,86
Australia,151
Czechia,45
Germany,60
India,72
Moldova,60
Monaco,38
Ecuador,57
Portugal,62
Papua New Guinea,46
Cuba,34
Kyrgyzstan,84
Georgia,83
Vietnam,53
Hong Kong,2
Italy,42
South Korea,19
Uganda,85
Belgium,71
Bosnia and Herzegovina,62
Croatia,35
Guatemala,69
Guinea,66
Israel,29
Norway,36
Saudi Arabia,72
Seychelles,67
Spain,57
Trinidad and Tobago,91
Brazil,58
Burundi,5
Costa Rica,57
Finland,50
Jamaica,97
Japan,68
Kazakhstan,14
Liberia,62
Qatar,78
Romania,40
Russia,74
Sri Lanka,50
Sudan,57
Timor,32
United States,52
Zimbabwe,63
Ireland,42
Guyana,87
Turkey,104
Angola,50
Cape Verde,74
Gambia,54
Mauritania,48
Solomon Islands,24
Pakistan,78
Thailand,20
Albania,57
Bulgaria,29
Eswatini,58
Libya,29
Malawi,28
Mozambique,33
Iraq,23
Lebanon,61
Zambia,45
Iran,27
Austria,53
Greece,27
Kenya,23
San Marino,33
Serbia,39
Azerbaijan,61
Switzerland,53
Afghanistan,78
Belize,62
Benin,27
Latvia,21
Lithuania,21
Nicaragua,3
Venezuela,54
Dominican Republic,51
Haiti,51
Honduras,52
Hungary,19
Ukraine,56
Denmark,25
Slovakia,53
Cambodia,28
Chad,67
Slovenia,46
Algeria,55
Cyprus,32
Myanmar,24
Netherlands,43
Peru,50
Syria,55
Tunisia,49
Kosovo,54
Luxembourg,44
Sweden,40
Estonia,22
Morocco,65
Uruguay,41
Senegal,49
Suriname,50
Jordan,48
South Africa,36
Andorra,26
Burkina Faso,28
Canada,91
Cote d'Ivoire,37
Ethiopia,23
Ghana,14
South Sudan,53
Eritrea,50
Niger,16
Tanzania,25
Togo,53
Yemen,31
Djibouti,39
Egypt,61
Laos,36
Somalia,19
Sierra Leone,49
Congo,56
Dominica,53
Mali,22
Mexico,56
Cameroon,28
Namibia,19
Central African Republic,42
Lesotho,28
Mauritius,44
Chile,44
Democratic Republic of Congo,48
Madagascar,33
Palestine,48
Vanuatu,38
United Arab Emirates,42
Maldives,4
Belarus,28
Malta,11
