Nation,Similarity Score
Afghanistan,83
Albania,48
Algeria,34
Andorra,116
Angola,60
Antigua and Barbuda,29
Armenia,29
Australia,20
Austria,57
Azerbaijan,22
Bahamas,29
Belarus,71
Belgium,93
Belize,60
Benin,215
Bosnia and Herzegovina,148
Brazil,77
Bulgaria,160
Burkina Faso,187
Burundi,84
Cambodia,180
Cameroon,109
Canada,39
Cape Verde,71
Central African Republic,106
Chad,26
Chile,45
Comoros,29
Congo,56
Costa Rica,92
Cote d'Ivoire,137
Croatia,162
Cuba,47
Cyprus,14
Czechia,97
Democratic Republic of Congo,126
Denmark,22
Djibouti,102
Dominica,194
Dominican Republic,30
Ecuador,51
Egypt,44
Equatorial Guinea,29
Eritrea,29
Estonia,29
Eswatini,65
Ethiopia,11
Finland,41
France,63
Gambia,111
Georgia,47
Germany,107
Ghana,112
Greece,23
Grenada,29
Guatemala,53
Guinea,128
Guinea-Bissau,29
Guyana,46
Haiti,114
Honduras,26
Hungary,69
India,38
International,29
Iran,76
Iraq,18
Ireland,46
Israel,53
Italy,20
Jamaica,45
Japan,114
Jordan,74
Kazakhstan,41
Kenya,20
Kosovo,40
Kyrgyzstan,32
Laos,183
Latvia,21
Lebanon,58
Lesotho,92
Liberia,56
Libya,27
Liechtenstein,29
Lithuania,28
Luxembourg,35
Madagascar,65
Malawi,60
Maldives,28
Mali,193
Malta,16
Marshall Islands,29
Mauritania,151
Mauritius,123
Mexico,42
Moldova,97
Monaco,84
Montenegro,29
Morocco,20
Mozambique,45
Myanmar,18
Namibia,97
Netherlands,122
Nicaragua,86
Niger,145
North Macedonia,29
Norway,50
Pakistan,52
Palestine,34
Papua New Guinea,207
Peru,21
Philippines,17
Portugal,56
Qatar,49
Romania,128
Russia,46
Saint Kitts and Nevis,29
Saint Lucia,29
Saint Vincent and the Grenadines,29
Samoa,29
San Marino,204
Sao Tome and Principe,29
Saudi Arabia,48
Senegal,115
Serbia,40
Seychelles,215
Sierra Leone,212
Slovakia,45
Slovenia,45
Solomon Islands,218
Somalia,174
South Africa,56
South Korea,11
South Sudan,56
Spain,63
Sri Lanka,56
Sudan,107
Suriname,45
Sweden,71
Switzerland,83
Syria,66
Tanzania,144
Thailand,9
Togo,20
Trinidad and Tobago,84
Tunisia,59
Turkey,68
Uganda,39
Ukraine,55
United Arab Emirates,9
United States,77
Uruguay,13
Vanuatu,128
Vatican,29
Venezuela,51
Vietnam,63
Yemen,179
Zambia,82
Zimbabwe,51
Colombia,50
Gabon,67
Kuwait,39
Nigeria,74
Panama,45
Paraguay,28
Poland,119
Tajikistan,190
United Kingdom,78
Argentina,43
Bahrain,25
Barbados,160
Fiji,47
New Zealand,30
Oman,57
Uzbekistan,121
Bangladesh,35
Bhutan,49
Botswana,94
Brunei,189
El Salvador,20
Iceland,25
Indonesia,51
Malaysia,18
Nepal,18
Rwanda,24
Singapore,32
Bolivia,26
Taiwan,12
China,26
Mongolia,79
Hong Kong,10
