Nation,Similarity Score
Afghanistan,78
Albania,95
Algeria,51
Andorra,32
Angola,112
Antigua and Barbuda,3
Armenia,3
Australia,66
Austria,19
Azerbaijan,59
Bahamas,3
Belarus,3
Belgium,63
Belize,63
Benin,38
Bosnia and Herzegovina,68
Brazil,149
Bulgaria,42
Burkina Faso,4
Burundi,39
Cambodia,6
Cameroon,33
Canada,20
Cape Verde,69
Central African Republic,21
Chad,21
Chile,45
Comoros,3
Congo,76
Costa Rica,75
Cote d'Ivoire,4
Croatia,42
Cuba,53
Cyprus,72
Czechia,19
Democratic Republic of Congo,84
Denmark,44
Djibouti,70
Dominica,3
Dominican Republic,97
Egypt,32
Equatorial Guinea,3
Eritrea,51
Estonia,4
Eswatini,132
Ethiopia,116
Finland,17
France,61
Gambia,67
Georgia,52
Germany,51
Ghana,22
Greece,33
Grenada,3
Guatemala,124
Guinea,68
Guinea-Bissau,3
Guyana,122
Haiti,96
Honduras,60
Hungary,15
India,99
International,3
Iran,24
Iraq,99
Ireland,105
Israel,24
Italy,67
Jamaica,52
Japan,8
Jordan,42
Kazakhstan,150
Kenya,100
Kosovo,92
Kyrgyzstan,133
Laos,27
Latvia,53
Lebanon,40
Lesotho,82
Liberia,128
Libya,69
Liechtenstein,3
Lithuania,31
Luxembourg,56
Madagascar,38
Malawi,93
Maldives,3
Mali,8
Malta,3
Marshall Islands,3
Mauritania,54
Mauritius,7
Mexico,43
Moldova,135
Monaco,23
Montenegro,3
Morocco,83
Mozambique,98
Myanmar,90
Namibia,12
Netherlands,22
Nicaragua,22
Niger,3
North Macedonia,3
Norway,53
Pakistan,83
Palestine,101
Papua New Guinea,32
Peru,87
Philippines,104
Portugal,48
Qatar,113
Romania,56
Russia,76
Saint Kitts and Nevis,3
Saint Lucia,3
Saint Vincent and the Grenadines,3
Samoa,3
San Marino,23
Sao Tome and Principe,3
Saudi Arabia,107
Senegal,9
Serbia,98
Seychelles,31
Sierra Leone,4
Slovakia,25
Slovenia,37
Solomon Islands,42
Somalia,15
South Africa,103
South Korea,49
South Sudan,106
Spain,30
Sri Lanka,83
Sudan,136
Suriname,75
Sweden,52
Switzerland,21
Syria,77
Tanzania,9
Thailand,46
Timor,29
Togo,70
Trinidad and Tobago,62
Tunisia,65
Turkey,9
Uganda,126
Ukraine,59
United Arab Emirates,77
United States,53
Uruguay,15
Vanuatu,10
Vatican,3
Venezuela,60
Vietnam,76
Yemen,7
Zambia,36
Zimbabwe,108
Argentina,78
Bahrain,42
Bangladesh,74
Barbados,33
Bhutan,58
Botswana,50
Brunei,5
Colombia,101
El Salvador,99
Fiji,81
Gabon,44
Iceland,39
Indonesia,34
Kuwait,101
Malaysia,22
Mongolia,14
Nepal,66
New Zealand,37
Nigeria,140
Oman,80
Panama,150
Paraguay,153
Poland,47
Rwanda,99
Singapore,89
Taiwan,2
Tajikistan,25
United Kingdom,40
Uzbekistan,81
Bolivia,74
China,84
Hong Kong,37
