Nation,Similarity Score
Afghanistan,66
Albania,64
Algeria,60
Andorra,38
Angola,64
Antigua and Barbuda,28
Armenia,28
Australia,72
Austria,39
Azerbaijan,129
Bahamas,28
Belarus,28
Belgium,19
Belize,49
Benin,18
Bosnia and Herzegovina,41
Brazil,79
Bulgaria,39
Burkina Faso,39
Burundi,9
Cambodia,30
Cameroon,38
Canada,43
Cape Verde,47
Central African Republic,35
Chad,45
Chile,82
Comoros,28
Congo,81
Costa Rica,69
Cote d'Ivoire,31
Croatia,42
Cuba,91
Cyprus,41
Czechia,9
Democratic Republic of Congo,54
Denmark,42
Djibouti,51
Dominica,29
Dominican Republic,104
Ecuador,99
Egypt,87
Equatorial Guinea,28
Eritrea,136
Estonia,28
Eswatini,110
Ethiopia,107
Finland,8
France,32
Gambia,52
Georgia,71
Germany,10
Ghana,16
Greece,54
Grenada,28
Guatemala,162
Guinea,31
Guinea-Bissau,28
Guyana,52
Haiti,54
Honduras,159
Hungary,31
India,80
International,28
Iran,41
Ireland,42
Israel,27
Italy,46
Jamaica,47
Japan,11
Jordan,82
Kazakhstan,72
Kenya,78
Kosovo,71
Kyrgyzstan,101
Laos,61
Latvia,42
Lebanon,71
Lesotho,67
Liberia,71
Libya,127
Liechtenstein,28
Lithuania,40
Luxembourg,56
Madagascar,57
Malawi,55
Maldives,28
Mali,28
Malta,28
Marshall Islands,28
Mauritania,17
Mauritius,43
Mexico,64
Moldova,62
Monaco,27
Montenegro,28
Morocco,94
Mozambique,79
Myanmar,75
Namibia,44
Netherlands,56
Nicaragua,28
Niger,28
North Macedonia,28
Norway,38
Pakistan,86
Palestine,112
Papua New Guinea,17
Peru,123
Philippines,75
Portugal,34
Qatar,93
Romania,32
Russia,48
Saint Kitts and Nevis,28
Saint Lucia,28
Saint Vincent and the Grenadines,28
Samoa,28
San Marino,41
Sao Tome and Principe,28
Saudi Arabia,72
Senegal,28
Serbia,79
Seychelles,12
Sierra Leone,30
Slovakia,22
Slovenia,37
Solomon Islands,17
Somalia,29
South Africa,69
South Korea,46
South Sudan,98
Spain,65
Sri Lanka,67
Sudan,55
Suriname,146
Sweden,60
Switzerland,39
Syria,54
Tanzania,15
Thailand,52
Timor,10
Togo,67
Trinidad and Tobago,37
Tunisia,59
Turkey,25
Uganda,84
Ukraine,85
United Arab Emirates,42
United States,37
Uruguay,31
Vanuatu,30
Vatican,28
Venezuela,120
Vietnam,79
Yemen,28
Zambia,43
Zimbabwe,57
Argentina,140
Bangladesh,47
Barbados,31
Bhutan,63
Botswana,79
Gabon,28
Kuwait,72
Nigeria,79
Rwanda,59
Tajikistan,3
United Kingdom,25
Uzbekistan,14
Bahrain,42
Brunei,2
El Salvador,150
Fiji,43
Iceland,34
Indonesia,28
Malaysia,12
Nepal,134
New Zealand,40
Oman,102
Singapore,70
Taiwan,2
Bolivia,108
China,73
Mongolia,18
Hong Kong,16
Paraguay,59
Colombia,109
Poland,28
Panama,80
