Nation,Similarity Score
Afghanistan,48
Albania,122
Algeria,59
Andorra,104
Angola,28
Antigua and Barbuda,46
Armenia,46
Australia,81
Austria,63
Azerbaijan,22
Bahamas,46
Belarus,46
Belgium,84
Belize,52
Benin,56
Bosnia and Herzegovina,92
Brazil,54
Bulgaria,73
Burkina Faso,86
Burundi,12
Cambodia,90
Cameroon,218
Canada,89
Cape Verde,29
Central African Republic,175
Chad,53
Chile,73
Comoros,46
Congo,90
Costa Rica,78
Cote d'Ivoire,107
Croatia,31
Cuba,36
Cyprus,109
Czechia,22
Democratic Republic of Congo,75
Denmark,157
Djibouti,138
Dominica,53
Dominican Republic,47
Ecuador,52
Egypt,108
Equatorial Guinea,46
Eritrea,49
Estonia,61
Eswatini,45
Ethiopia,68
Finland,39
France,34
Gambia,41
Georgia,98
Germany,116
Ghana,113
Greece,127
Grenada,46
Guatemala,32
Guinea,27
Guinea-Bissau,46
Guyana,20
Haiti,43
Honduras,44
Hungary,110
India,13
International,46
Iran,117
Iraq,60
Ireland,48
Israel,20
Italy,107
Jamaica,31
Japan,14
Jordan,79
Kazakhstan,10
Kenya,23
Kosovo,131
Kyrgyzstan,38
Laos,53
Latvia,102
Lebanon,69
Lesotho,119
Liberia,67
Libya,23
Liechtenstein,46
Lithuania,71
Luxembourg,101
Madagascar,93
Malawi,178
Maldives,46
Mali,118
Malta,46
Marshall Islands,46
Mauritania,22
Mauritius,57
Mexico,48
Moldova,74
Monaco,13
Montenegro,46
Morocco,70
Mozambique,98
Myanmar,48
Namibia,142
Netherlands,117
Nicaragua,32
Niger,78
North Macedonia,46
Norway,51
Pakistan,84
Palestine,30
Papua New Guinea,78
Peru,42
Philippines,4
Portugal,67
Qatar,13
Romania,37
Russia,40
Saint Kitts and Nevis,46
Saint Lucia,46
Saint Vincent and the Grenadines,46
Samoa,46
San Marino,55
Sao Tome and Principe,46
Saudi Arabia,85
Senegal,77
Serbia,125
Seychelles,37
Sierra Leone,72
Slovakia,46
Slovenia,83
Solomon Islands,30
Somalia,92
South Africa,30
South Korea,74
South Sudan,58
Spain,68
Sri Lanka,55
Sudan,27
Suriname,94
Switzerland,90
Syria,75
Tanzania,35
Thailand,131
Timor,33
Togo,154
Trinidad and Tobago,67
Tunisia,64
Turkey,53
Uganda,32
Ukraine,96
United Arab Emirates,62
United States,55
Uruguay,115
Vanuatu,73
Vatican,46
Venezuela,40
Vietnam,104
Yemen,100
Zambia,100
Zimbabwe,14
Argentina,4
Nigeria,55
Panama,33
Paraguay,4
United Kingdom,32
Bangladesh,17
Botswana,118
Colombia,12
Gabon,19
Tajikistan,39
Bahrain,49
Bhutan,24
Brunei,47
Malaysia,119
Rwanda,26
Singapore,85
Taiwan,9
Indonesia,91
Fiji,95
Nepal,10
New Zealand,3
Oman,4
Barbados,31
Iceland,43
Mongolia,113
Poland,18
China,41
Hong Kong,27
Uzbekistan,20
Kuwait,10
El Salvador,41
