Nation,Similarity Score
Afghanistan,39
Albania,52
Algeria,38
Andorra,59
Angola,39
Antigua and Barbuda,41
Argentina,93
Armenia,91
Australia,43
Austria,42
Azerbaijan,52
Bahamas,84
Bangladesh,39
Barbados,43
Belarus,79
Belgium,45
Belize,62
Benin,39
Bhutan,39
Bolivia,49
Bosnia and Herzegovina,65
Botswana,43
Brazil,113
Brunei,41
Bulgaria,43
Burkina Faso,39
Burundi,39
Cambodia,38
Cameroon,40
Canada,71
Cape Verde,71
Central African Republic,39
Chad,39
Chile,121
Colombia,103
Comoros,39
Congo,40
Costa Rica,95
Cote d'Ivoire,39
Croatia,47
Cuba,39
Cyprus,60
Czechia,52
Democratic Republic of Congo,39
Denmark,47
Djibouti,55
Dominica,43
Dominican Republic,64
Ecuador,57
Egypt,37
El Salvador,42
Equatorial Guinea,46
Eritrea,39
Estonia,44
Eswatini,40
Ethiopia,39
Fiji,40
Finland,59
France,48
Gabon,43
Gambia,40
Georgia,47
Germany,49
Ghana,39
Greece,49
Grenada,42
Guatemala,42
Guinea,39
Guinea-Bissau,42
Guyana,53
Haiti,39
Honduras,46
Hungary,40
Iceland,59
India,39
Indonesia,38
International,39
Iran,66
Iraq,53
Ireland,73
Israel,129
Italy,34
Jamaica,38
Japan,33
Jordan,52
Kazakhstan,54
Kenya,39
Kosovo,51
Kuwait,138
Kyrgyzstan,62
Laos,39
Latvia,58
Lebanon,65
Lesotho,39
Liberia,39
Libya,68
Liechtenstein,48
Lithuania,51
Luxembourg,51
Madagascar,39
Malawi,39
Malaysia,38
Maldives,95
Mali,39
Malta,57
Marshall Islands,40
Mauritania,39
Mauritius,44
Mexico,47
Moldova,75
Monaco,54
Mongolia,39
Montenegro,82
Morocco,56
Mozambique,39
Myanmar,39
Namibia,42
Nepal,62
Netherlands,57
New Zealand,43
Nicaragua,40
Niger,38
Nigeria,39
North Macedonia,58
Norway,63
Oman,108
Pakistan,40
Palestine,53
Panama,136
Papua New Guinea,39
Paraguay,56
Peru,115
Philippines,38
Poland,37
Portugal,38
Qatar,123
Romania,56
Russia,71
Rwanda,39
Saint Kitts and Nevis,42
Saint Lucia,44
Saint Vincent and the Grenadines,42
Samoa,39
San Marino,49
Sao Tome and Principe,40
Saudi Arabia,53
Senegal,38
Serbia,56
Seychelles,44
Sierra Leone,39
Slovakia,46
Slovenia,38
Solomon Islands,39
Somalia,39
South Africa,68
South Korea,31
South Sudan,39
Spain,71
Sri Lanka,38
Sudan,39
Suriname,55
Sweden,67
Switzerland,48
Syria,39
Taiwan,36
Tajikistan,40
Tanzania,39
Thailand,37
Timor,40
Togo,39
Trinidad and Tobago,41
Tunisia,56
Turkey,54
Uganda,39
Ukraine,51
United Arab Emirates,87
United Kingdom,45
United States,68
Uruguay,45
Uzbekistan,39
Vanuatu,39
Vatican,39
Venezuela,39
Vietnam,37
Yemen,39
Zambia,39
Zimbabwe,39
Singapore,46
China,10
Hong Kong,1
