Nation,Similarity Score
Afghanistan,88
Albania,106
Algeria,130
Andorra,103
Angola,143
Antigua and Barbuda,133
Argentina,85
Armenia,83
Australia,136
Austria,80
Azerbaijan,100
Bahamas,137
Bahrain,46
Bangladesh,80
Barbados,140
Belarus,87
Belgium,50
Belize,158
Benin,139
Bhutan,142
Bolivia,62
Bosnia and Herzegovina,114
Botswana,129
Brazil,75
Brunei,143
Bulgaria,80
Burkina Faso,142
Burundi,137
Cambodia,141
Cameroon,119
Canada,94
Cape Verde,79
Central African Republic,99
Chad,137
Chile,65
Colombia,78
Comoros,124
Congo,124
Costa Rica,115
Cote d'Ivoire,124
Croatia,90
Cuba,153
Cyprus,154
Czechia,72
Democratic Republic of Congo,139
Denmark,97
Djibouti,78
Dominica,141
Dominican Republic,64
Ecuador,76
Egypt,90
El Salvador,66
Equatorial Guinea,131
Eritrea,138
Estonia,120
Eswatini,91
Ethiopia,154
Fiji,142
Finland,100
France,39
Gabon,96
Gambia,140
Georgia,173
Germany,130
Ghana,92
Greece,177
Grenada,136
Guatemala,79
Guinea,136
Guinea-Bissau,110
Guyana,132
Haiti,115
Honduras,77
Hungary,102
Iceland,131
India,88
Indonesia,149
International,139
Iran,69
Iraq,87
Ireland,104
Israel,63
Italy,75
Jamaica,148
Japan,143
Jordan,174
Kazakhstan,84
Kenya,141
Kosovo,103
Kuwait,73
Kyrgyzstan,110
Laos,139
Latvia,133
Lebanon,143
Lesotho,137
Liberia,135
Libya,136
Liechtenstein,143
Lithuania,167
Luxembourg,51
Madagascar,134
Malawi,138
Malaysia,142
Maldives,63
Mali,137
Malta,130
Marshall Islands,139
Mauritania,89
Mauritius,141
Mexico,77
Moldova,77
Monaco,140
Mongolia,135
Montenegro,123
Morocco,133
Mozambique,144
Myanmar,139
Namibia,122
Nepal,132
Netherlands,96
New Zealand,144
Nicaragua,128
Niger,141
Nigeria,138
North Macedonia,88
Norway,117
Oman,76
Pakistan,90
Palestine,126
Panama,78
Papua New Guinea,144
Paraguay,125
Peru,70
Philippines,125
Poland,76
Portugal,63
Qatar,57
Romania,90
Russia,80
Rwanda,142
Saint Kitts and Nevis,139
Saint Lucia,137
Saint Vincent and the Grenadines,134
Samoa,139
San Marino,97
Sao Tome and Principe,107
Saudi Arabia,68
Senegal,112
Serbia,87
Seychelles,136
Sierra Leone,134
Slovenia,135
Solomon Islands,139
Somalia,129
South Africa,73
South Korea,139
South Sudan,129
Spain,66
Sri Lanka,137
Sudan,128
Suriname,98
Sweden,62
Switzerland,113
Syria,145
Taiwan,134
Tajikistan,105
Tanzania,140
Thailand,137
Timor,141
Togo,142
Trinidad and Tobago,155
Tunisia,177
Turkey,84
Uganda,140
Ukraine,94
United Arab Emirates,65
United Kingdom,91
United States,61
Uruguay,154
Uzbekistan,131
Vanuatu,139
Vatican,135
Venezuela,117
Vietnam,138
Yemen,138
Zambia,139
Zimbabwe,141
Singapore,43
China,102
Hong Kong,6
