Nation,Similarity Score
Afghanistan,226
Albania,71
Algeria,166
Andorra,168
Angola,276
Antigua and Barbuda,263
Argentina,79
Armenia,48
Australia,210
Austria,47
Azerbaijan,62
Bahamas,158
Bahrain,39
Bangladesh,128
Barbados,231
Belarus,61
Belgium,43
Belize,185
Benin,284
Bhutan,273
Bolivia,102
Bosnia and Herzegovina,81
Botswana,263
Brazil,60
Brunei,278
Bulgaria,55
Burkina Faso,293
Burundi,298
Cambodia,298
Cameroon,242
Canada,49
Cape Verde,85
Central African Republic,247
Chad,299
Chile,45
Colombia,69
Comoros,263
Congo,260
Costa Rica,109
Cote d'Ivoire,233
Croatia,64
Cuba,240
Cyprus,142
Czechia,56
Democratic Republic of Congo,301
Denmark,62
Djibouti,186
Dominica,274
Dominican Republic,56
Ecuador,75
Egypt,219
El Salvador,115
Equatorial Guinea,262
Eritrea,290
Estonia,91
Eswatini,127
Ethiopia,236
Fiji,297
Finland,115
France,38
Gabon,207
Gambia,253
Georgia,168
Germany,75
Ghana,207
Greece,135
Grenada,284
Guatemala,110
Guinea,215
Guinea-Bissau,246
Guyana,144
Haiti,245
Honduras,98
Hungary,74
Iceland,118
India,121
Indonesia,164
International,301
Iran,33
Iraq,101
Ireland,65
Israel,56
Italy,37
Jamaica,177
Japan,192
Jordan,199
Kazakhstan,94
Kenya,207
Kosovo,89
Kuwait,41
Kyrgyzstan,113
Laos,301
Latvia,143
Lebanon,125
Lesotho,258
Liberia,283
Libya,154
Liechtenstein,203
Lithuania,126
Luxembourg,55
Madagascar,252
Malawi,272
Malaysia,198
Maldives,73
Mali,298
Malta,112
Marshall Islands,299
Mauritania,201
Mauritius,277
Mexico,73
Moldova,49
Monaco,167
Mongolia,291
Montenegro,116
Morocco,120
Mozambique,274
Myanmar,234
Namibia,162
Nepal,132
Netherlands,61
New Zealand,267
Nicaragua,275
Niger,299
Nigeria,290
North Macedonia,54
Norway,99
Oman,89
Pakistan,181
Palestine,119
Panama,49
Papua New Guinea,293
Paraguay,131
Peru,73
Philippines,134
Poland,47
Portugal,43
Qatar,44
Romania,48
Russia,59
Rwanda,279
Saint Kitts and Nevis,289
Saint Lucia,254
Saint Vincent and the Grenadines,269
Samoa,301
San Marino,200
Sao Tome and Principe,219
Saudi Arabia,72
Senegal,210
Serbia,67
Seychelles,265
Sierra Leone,295
Slovakia,135
Slovenia,88
Solomon Islands,301
Somalia,287
South Africa,77
South Korea,245
South Sudan,289
Spain,97
Sri Lanka,252
Sudan,278
Suriname,149
Sweden,77
Switzerland,106
Syria,278
Taiwan,290
Tajikistan,207
Tanzania,301
Thailand,288
Timor,299
Togo,288
Trinidad and Tobago,179
Tunisia,189
Turkey,59
Uganda,288
Ukraine,69
United Arab Emirates,46
United Kingdom,34
United States,40
Uruguay,193
Uzbekistan,165
Vanuatu,301
Venezuela,154
Vietnam,299
Yemen,300
Zambia,243
Zimbabwe,257
Singapore,97
China,263
Hong Kong,66
