Nation,Similarity Score
Albania,70
Algeria,95
Andorra,40
Angola,95
Antigua and Barbuda,91
Armenia,34
Australia,66
Austria,45
Azerbaijan,86
Bahamas,52
Belarus,59
Belgium,22
Belize,114
Benin,66
Bosnia and Herzegovina,33
Brazil,33
Bulgaria,58
Burkina Faso,111
Burundi,82
Cambodia,85
Cameroon,70
Cape Verde,72
Central African Republic,91
Chad,98
Chile,38
Comoros,93
Congo,88
Costa Rica,56
Cote d'Ivoire,104
Croatia,18
Cuba,107
Cyprus,51
Czechia,12
Democratic Republic of Congo,142
Denmark,49
Djibouti,52
Dominica,106
Dominican Republic,55
Ecuador,35
Egypt,109
Equatorial Guinea,94
Eritrea,110
Estonia,73
Eswatini,82
Ethiopia,133
Finland,38
Gambia,85
Georgia,30
Germany,34
Ghana,55
Greece,80
Grenada,94
Guinea,96
Guinea-Bissau,93
Haiti,110
Honduras,55
Hungary,69
India,63
International,94
Iran,44
Iraq,66
Ireland,45
Israel,39
Jamaica,98
Jordan,58
Kazakhstan,52
Kosovo,47
Laos,71
Latvia,59
Lebanon,104
Lesotho,55
Liberia,99
Libya,99
Liechtenstein,44
Lithuania,71
Luxembourg,37
Madagascar,80
Malawi,50
Maldives,52
Mali,76
Malta,30
Marshall Islands,94
Mauritania,144
Mauritius,152
Mexico,88
Moldova,23
Monaco,49
Montenegro,31
Morocco,75
Mozambique,81
Myanmar,139
Namibia,63
Netherlands,36
Nicaragua,108
Niger,105
North Macedonia,37
Norway,42
Pakistan,90
Palestine,58
Papua New Guinea,56
Peru,39
Philippines,73
Portugal,48
Qatar,10
Romania,24
Russia,33
Saint Kitts and Nevis,93
Saint Lucia,88
Saint Vincent and the Grenadines,93
Samoa,94
San Marino,72
Sao Tome and Principe,94
Saudi Arabia,21
Senegal,88
Seychelles,48
Sierra Leone,91
Slovakia,54
Slovenia,53
Solomon Islands,57
Somalia,60
South Korea,40
South Sudan,169
Spain,32
Sri Lanka,67
Sudan,119
Suriname,102
Sweden,54
Switzerland,50
Syria,97
Tanzania,98
Thailand,84
Timor,75
Togo,73
Trinidad and Tobago,76
Tunisia,71
Turkey,41
Ukraine,63
United States,24
Uruguay,69
Vanuatu,145
Vatican,91
Venezuela,128
Vietnam,46
Yemen,70
Zambia,47
Zimbabwe,96
Canada,69
Guatemala,51
Guyana,113
Italy,16
Japan,54
Kenya,110
Kyrgyzstan,54
Serbia,34
South Africa,70
Uganda,85
United Arab Emirates,38
Argentina,37
Colombia,53
France,27
Nigeria,114
Panama,17
Tajikistan,52
United Kingdom,48
Uzbekistan,68
Paraguay,63
Poland,74
Bangladesh,67
Barbados,85
Bhutan,102
Botswana,52
Gabon,68
Kuwait,13
Rwanda,76
Bahrain,19
Brunei,48
El Salvador,47
Fiji,57
Indonesia,61
Malaysia,48
Nepal,82
New Zealand,79
Oman,22
Singapore,31
Taiwan,81
Iceland,7
Mongolia,59
China,80
Hong Kong,3
Bolivia,46
