Nation,Similarity Score
Bhutan,108
China,110
Singapore,49
Taiwan,9
Argentina,70
Bahrain,23
Bangladesh,92
Barbados,28
Botswana,66
Brunei,6
Colombia,100
Czechia,24
El Salvador,69
Fiji,45
France,33
Gabon,100
Germany,11
Iceland,11
Indonesia,56
Kuwait,59
Malaysia,63
Moldova,82
Monaco,34
Mongolia,72
Nepal,39
New Zealand,16
Nigeria,54
Oman,62
Panama,43
Paraguay,38
Philippines,91
Poland,41
Rwanda,65
Tajikistan,2
United Kingdom,20
Uzbekistan,21
Georgia,29
Vietnam,60
Hong Kong,8
Italy,30
Australia,53
Israel,60
Kyrgyzstan,59
Papua New Guinea,25
South Korea,58
Uganda,52
Croatia,20
Jamaica,88
Japan,9
Qatar,58
Iraq,111
Iran,19
Palestine,58
San Marino,21
Lebanon,71
Albania,73
Hungary,25
Romania,44
Spain,46
Peru,61
Slovakia,26
Ukraine,52
Bulgaria,20
Denmark,13
Kosovo,99
Latvia,12
Pakistan,53
Venezuela,128
Azerbaijan,85
Belgium,21
Ecuador,75
Greece,49
Ireland,30
Kenya,91
Luxembourg,32
Netherlands,13
Norway,6
Saudi Arabia,80
Serbia,23
Sri Lanka,43
Uruguay,13
Austria,11
Honduras,106
Lithuania,30
Bosnia and Herzegovina,62
Guatemala,78
Switzerland,16
Jordan,24
Dominican Republic,132
Haiti,40
Kazakhstan,104
Lesotho,33
Morocco,35
Madagascar,12
Brazil,69
Burkina Faso,40
Canada,25
Costa Rica,60
India,78
Liberia,56
Libya,40
Portugal,40
Russia,60
Slovenia,22
Tunisia,26
United States,74
Cote d'Ivoire,31
Democratic Republic of Congo,33
Algeria,81
Cuba,78
Egypt,89
Mali,15
Mauritius,33
Senegal,21
Sudan,31
Syria,42
Togo,39
Chile,63
United Arab Emirates,51
Vanuatu,26
Eswatini,95
Gambia,63
Angola,64
Cyprus,14
Djibouti,21
South Africa,111
Congo,24
Ghana,17
Guinea,33
Mexico,135
Zimbabwe,87
Laos,9
Afghanistan,46
Belize,49
Benin,12
Cape Verde,88
Central African Republic,24
Dominica,23
Estonia,9
Ethiopia,68
Finland,9
Mauritania,36
Myanmar,92
Namibia,45
South Sudan,36
Suriname,128
Thailand,25
Timor,13
Trinidad and Tobago,95
Turkey,53
Guyana,69
Sierra Leone,15
Cameroon,17
Seychelles,8
Cambodia,5
Chad,78
Zambia,9
Eritrea,68
Sweden,37
Armenia,13
Belarus,4
Maldives,17
North Macedonia,6
Montenegro,14
Andorra,14
Bahamas,9
Malta,10
Mozambique,36
Malawi,12
Somalia,2
Solomon Islands,4
