Nation,Similarity Score
Argentina,9
Bahrain,6
Bangladesh,45
Barbados,109
Botswana,97
Brunei,94
Colombia,14
El Salvador,50
Fiji,141
Gabon,78
Iceland,33
Indonesia,171
Kuwait,8
Malaysia,151
Nepal,32
New Zealand,47
Nigeria,113
Oman,13
Panama,12
Paraguay,30
Poland,40
Rwanda,78
Tajikistan,89
United Kingdom,61
Uzbekistan,99
Bhutan,77
Bolivia,72
China,138
Czechia,26
France,81
Germany,87
Moldova,14
Monaco,30
Philippines,59
Singapore,77
Taiwan,37
Australia,72
India,59
Ecuador,20
Portugal,27
Georgia,92
Vietnam,145
Hong Kong,43
Italy,83
Israel,34
Kyrgyzstan,38
Papua New Guinea,109
South Korea,130
Uganda,53
Croatia,28
Jamaica,68
Japan,56
Qatar,3
Iraq,25
Iran,35
Palestine,30
San Marino,36
Lebanon,58
Albania,29
Hungary,90
Romania,29
Spain,48
Peru,12
Slovakia,49
Ukraine,25
Bulgaria,44
Denmark,51
Kosovo,14
Latvia,82
Pakistan,93
Venezuela,53
Austria,16
Azerbaijan,26
Belgium,30
Greece,72
Ireland,48
Morocco,39
Norway,48
Sri Lanka,91
Sudan,109
Uruguay,82
Kenya,59
Luxembourg,21
Netherlands,23
Saudi Arabia,36
Serbia,47
Chile,9
Cyprus,81
Finland,42
Guatemala,27
Kazakhstan,25
Russia,6
Slovenia,37
Suriname,61
Syria,141
Turkey,64
United States,3
Brazil,17
Cambodia,88
Costa Rica,68
Estonia,28
Eswatini,50
Ghana,106
Namibia,90
Trinidad and Tobago,89
Cameroon,157
Gambia,78
Senegal,115
South Africa,37
Thailand,155
Tunisia,20
United Arab Emirates,9
Afghanistan,59
Algeria,79
Belize,76
Democratic Republic of Congo,128
Guyana,41
Libya,26
Niger,38
Seychelles,55
Somalia,67
South Sudan,103
Sweden,54
Cape Verde,28
Malawi,129
Mauritius,37
Myanmar,74
Cote d'Ivoire,97
Liberia,104
Mauritania,54
Djibouti,98
Egypt,106
Canada,67
Lesotho,80
Togo,141
Cuba,68
Eritrea,46
Ethiopia,68
Mexico,24
Mozambique,80
Solomon Islands,50
Zimbabwe,63
Central African Republic,158
Sierra Leone,88
Tanzania,15
Benin,96
Mali,118
Timor,69
Chad,111
Dominica,106
Yemen,65
Zambia,109
Vanuatu,99
Guinea,136
Burkina Faso,83
Andorra,38
Madagascar,146
Angola,65
Switzerland,27
Lithuania,32
Laos,47
Bosnia and Herzegovina,30
Congo,102
Haiti,63
Honduras,16
Jordan,72
Dominican Republic,6
Belarus,1
Antigua and Barbuda,4
Burundi,6
Comoros,4
Equatorial Guinea,4
Grenada,4
Guinea-Bissau,4
International,4
Marshall Islands,4
Nicaragua,4
Saint Kitts and Nevis,4
Saint Lucia,4
Saint Vincent and the Grenadines,4
Samoa,4
Sao Tome and Principe,4
Vatican,4
Maldives,1
