Nation,Similarity Score
Canada,63
France,32
Guatemala,118
Guyana,144
Italy,32
Japan,52
Kenya,200
Kyrgyzstan,136
Serbia,42
South Africa,62
United Arab Emirates,19
Afghanistan,85
Albania,58
Algeria,167
Andorra,17
Angola,209
Antigua and Barbuda,4
Armenia,4
Australia,175
Austria,11
Azerbaijan,114
Bahamas,4
Belarus,6
Belgium,27
Belize,98
Benin,45
Bosnia and Herzegovina,43
Brazil,19
Bulgaria,18
Burkina Faso,19
Burundi,11
Cambodia,35
Cameroon,46
Cape Verde,38
Central African Republic,35
Chad,150
Chile,14
Comoros,4
Congo,148
Costa Rica,38
Cote d'Ivoire,27
Croatia,65
Cuba,206
Cyprus,56
Democratic Republic of Congo,79
Denmark,10
Djibouti,57
Dominica,36
Dominican Republic,58
Ecuador,54
Egypt,116
Equatorial Guinea,4
Eritrea,220
Estonia,10
Eswatini,129
Ethiopia,190
Finland,28
Gambia,149
Georgia,104
Ghana,46
Greece,12
Grenada,4
Guinea,126
Guinea-Bissau,4
Haiti,111
Honduras,76
Hungary,22
India,113
International,4
Iran,14
Iraq,49
Ireland,52
Israel,43
Jamaica,140
Jordan,70
Kazakhstan,132
Kosovo,65
Laos,57
Latvia,10
Lebanon,54
Lesotho,111
Liberia,157
Libya,115
Liechtenstein,4
Lithuania,15
Luxembourg,15
Madagascar,107
Malawi,65
Maldives,4
Mali,31
Malta,4
Marshall Islands,4
Mauritania,32
Mauritius,26
Mexico,41
Montenegro,4
Morocco,95
Mozambique,127
Myanmar,183
Namibia,40
Netherlands,8
Nicaragua,7
Niger,19
North Macedonia,4
Norway,17
Pakistan,129
Palestine,86
Papua New Guinea,68
Peru,36
Portugal,44
Qatar,31
Romania,32
Russia,18
Saint Kitts and Nevis,4
Saint Lucia,4
Saint Vincent and the Grenadines,4
Samoa,4
San Marino,23
Sao Tome and Principe,4
Saudi Arabia,75
Senegal,35
Seychelles,87
Sierra Leone,34
Slovakia,21
Slovenia,22
Solomon Islands,36
Somalia,32
South Sudan,151
Spain,42
Sri Lanka,64
Sudan,135
Suriname,84
Sweden,34
Switzerland,12
Syria,111
Tanzania,9
Timor,31
Togo,62
Trinidad and Tobago,118
Tunisia,72
Turkey,93
Ukraine,63
United States,10
Uruguay,34
Vanuatu,58
Vatican,4
Venezuela,136
Vietnam,149
Yemen,17
Zambia,62
Zimbabwe,197
South Korea,54
Thailand,61
Gabon,123
Germany,18
Kuwait,15
Moldova,11
Nigeria,148
Paraguay,118
Poland,28
Tajikistan,41
United Kingdom,68
Argentina,74
Bahrain,24
Bangladesh,205
Barbados,105
Bhutan,182
Botswana,93
Brunei,51
Czechia,36
El Salvador,145
Fiji,128
Iceland,41
Indonesia,100
Malaysia,75
Nepal,167
New Zealand,87
Oman,87
Philippines,184
Rwanda,222
Singapore,61
Taiwan,33
Uzbekistan,146
Colombia,43
Monaco,8
Panama,10
Bolivia,52
China,152
Mongolia,53
Hong Kong,18
