Nation,Similarity Score
Argentina,101
Bahrain,22
Bangladesh,137
Barbados,186
Botswana,106
Brunei,90
Colombia,65
El Salvador,107
Fiji,160
Gabon,86
Iceland,45
Indonesia,80
Kuwait,30
Malaysia,68
Mongolia,99
Nepal,116
New Zealand,90
Nigeria,165
Oman,67
Panama,35
Paraguay,119
Poland,74
Rwanda,137
Tajikistan,136
United Kingdom,88
Bhutan,92
Bolivia,21
China,94
Czechia,24
France,71
Germany,66
Moldova,36
Monaco,34
Philippines,109
Singapore,91
Taiwan,36
Australia,82
India,124
Ecuador,61
Portugal,79
Croatia,77
Finland,68
Guinea,151
Papua New Guinea,137
Zimbabwe,124
Cuba,110
Georgia,98
Guatemala,119
Kyrgyzstan,101
Sri Lanka,116
Seychelles,106
Uganda,146
Vietnam,100
Belgium,62
Brazil,30
Italy,39
Kazakhstan,79
Liberia,138
Qatar,37
Russia,51
Saudi Arabia,102
Sudan,144
Timor,89
Trinidad and Tobago,107
Bosnia and Herzegovina,72
Jamaica,98
Norway,74
Pakistan,155
Spain,56
South Korea,98
Burundi,21
Japan,74
Romania,38
United States,20
Costa Rica,61
Israel,17
Cape Verde,39
Guyana,106
Ireland,48
Mauritania,44
Turkey,64
Angola,112
Solomon Islands,81
Gambia,94
Libya,106
Bulgaria,43
Malawi,93
Mozambique,67
Albania,79
Eswatini,114
Belize,75
Iraq,47
Iran,29
Afghanistan,68
Benin,100
Lebanon,65
Austria,23
Palestine,81
San Marino,48
South Sudan,100
United Arab Emirates,21
Greece,40
Kenya,119
Serbia,70
Denmark,36
Latvia,46
Lithuania,30
Nicaragua,6
Azerbaijan,62
Hungary,36
Venezuela,79
Zambia,104
Dominican Republic,31
Honduras,60
Slovakia,28
Slovenia,44
Tunisia,81
Ukraine,70
Cyprus,90
Jordan,69
Luxembourg,23
Peru,21
South Africa,79
Lesotho,122
Thailand,108
Cambodia,81
Chad,86
Syria,165
Algeria,98
Myanmar,67
Canada,70
Democratic Republic of Congo,118
Eritrea,100
Ghana,117
Haiti,136
Laos,98
Netherlands,16
Sweden,44
Morocco,103
Uruguay,84
Andorra,29
Belarus,4
Burkina Faso,76
Central African Republic,87
Chile,8
Cote d'Ivoire,97
Namibia,64
Niger,18
Somalia,72
Suriname,35
Estonia,20
Cameroon,94
Togo,84
Mauritius,26
Senegal,93
Egypt,83
Mali,96
Vanuatu,80
Djibouti,120
Kosovo,60
Madagascar,138
Congo,150
Dominica,71
Mexico,14
Sierra Leone,74
Ethiopia,75
Yemen,75
Switzerland,22
Armenia,1
North Macedonia,1
Hong Kong,32
Tanzania,5
Liechtenstein,1
Antigua and Barbuda,1
Comoros,1
Equatorial Guinea,1
Grenada,1
Guinea-Bissau,1
International,1
Maldives,1
Marshall Islands,1
Saint Kitts and Nevis,1
Saint Lucia,1
Saint Vincent and the Grenadines,1
Samoa,1
Sao Tome and Principe,1
Vatican,1
