Nation,Similarity Score
Afghanistan,44
Albania,45
Algeria,42
Andorra,66
Angola,25
Antigua and Barbuda,189
Armenia,208
Australia,2
Austria,58
Azerbaijan,42
Bahamas,191
Belarus,112
Belgium,19
Belize,48
Benin,35
Bosnia and Herzegovina,59
Brazil,24
Bulgaria,35
Burkina Faso,54
Burundi,146
Cambodia,56
Cameroon,55
Canada,46
Cape Verde,38
Central African Republic,59
Chad,51
Chile,70
Comoros,190
Congo,51
Costa Rica,34
Cote d'Ivoire,55
Croatia,36
Cuba,8
Cyprus,56
Czechia,18
Democratic Republic of Congo,44
Denmark,47
Djibouti,57
Dominica,70
Dominican Republic,62
Ecuador,23
Egypt,52
Equatorial Guinea,184
Eritrea,51
Estonia,46
Eswatini,29
Ethiopia,43
Finland,5
France,12
Gambia,20
Georgia,39
Germany,18
Ghana,38
Greece,42
Grenada,191
Guatemala,13
Guinea,11
Guinea-Bissau,192
Guyana,14
Haiti,54
Honduras,59
Hungary,55
India,16
International,190
Iran,39
Iraq,54
Ireland,39
Israel,18
Italy,18
Jamaica,16
Japan,20
Jordan,81
Kazakhstan,13
Kenya,25
Kosovo,73
Kyrgyzstan,13
Laos,75
Latvia,34
Lebanon,61
Lesotho,44
Liberia,11
Libya,46
Liechtenstein,212
Lithuania,64
Luxembourg,48
Madagascar,55
Malawi,26
Maldives,146
Mali,58
Malta,110
Marshall Islands,190
Mauritania,41
Mauritius,90
Mexico,58
Moldova,41
Monaco,86
Montenegro,201
Morocco,60
Mozambique,26
Myanmar,39
Namibia,57
Netherlands,73
Nicaragua,160
Niger,102
Norway,10
Pakistan,22
Palestine,60
Papua New Guinea,9
Peru,60
Philippines,3
Portugal,35
Qatar,28
Romania,74
Russia,33
Saint Kitts and Nevis,190
Saint Lucia,189
Saint Vincent and the Grenadines,190
Samoa,190
San Marino,56
Sao Tome and Principe,186
Saudi Arabia,19
Senegal,58
Serbia,58
Seychelles,35
Sierra Leone,74
Slovakia,71
Slovenia,62
Solomon Islands,38
Somalia,73
South Africa,41
South Korea,8
South Sudan,39
Spain,18
Sri Lanka,5
Sudan,11
Suriname,61
Sweden,61
Switzerland,62
Syria,40
Tanzania,78
Thailand,16
Timor,38
Togo,57
Trinidad and Tobago,18
Tunisia,60
Turkey,17
Uganda,5
Ukraine,82
United Arab Emirates,26
United States,51
Uruguay,50
Vanuatu,74
Vatican,182
Venezuela,40
Vietnam,5
Yemen,69
Zambia,33
Zimbabwe,9
Paraguay,16
Botswana,10
Nigeria,3
Tajikistan,30
United Kingdom,28
Taiwan,11
Argentina,27
Bangladesh,1
Barbados,5
Bhutan,1
Brunei,9
China,1
Colombia,30
El Salvador,6
Fiji,1
Indonesia,1
Malaysia,2
Mongolia,1
Nepal,19
Uzbekistan,1
Iceland,17
New Zealand,3
Bolivia,18
Gabon,3
Singapore,8
Kuwait,24
Oman,13
Panama,34
Bahrain,15
Poland,23
Rwanda,1
