Nation,Similarity Score
Afghanistan,64
Albania,61
Algeria,56
Andorra,80
Angola,43
Antigua and Barbuda,34
Armenia,58
Australia,16
Austria,162
Azerbaijan,52
Bahamas,41
Belarus,78
Belgium,93
Belize,53
Benin,68
Bosnia and Herzegovina,52
Brazil,32
Bulgaria,89
Burkina Faso,66
Burundi,12
Cambodia,70
Cameroon,69
Canada,97
Cape Verde,47
Central African Republic,61
Chad,65
Chile,62
Comoros,34
Congo,68
Costa Rica,37
Cote d'Ivoire,69
Croatia,69
Cuba,53
Cyprus,39
Czechia,96
Democratic Republic of Congo,67
Denmark,101
Djibouti,77
Dominica,69
Dominican Republic,69
Ecuador,34
Egypt,69
Equatorial Guinea,34
Eritrea,59
Estonia,90
Eswatini,55
Ethiopia,54
Finland,50
France,73
Gambia,45
Georgia,61
Germany,65
Ghana,60
Greece,111
Grenada,34
Guatemala,45
Guinea,41
Guinea-Bissau,34
Guyana,45
Haiti,62
Honduras,64
Hungary,113
India,50
International,34
Iran,62
Iraq,56
Ireland,77
Israel,60
Italy,64
Jamaica,88
Japan,59
Jordan,81
Kazakhstan,38
Kenya,46
Kosovo,73
Kyrgyzstan,31
Laos,68
Latvia,54
Lebanon,64
Lesotho,69
Liberia,47
Libya,49
Liechtenstein,58
Lithuania,71
Luxembourg,115
Madagascar,60
Malawi,45
Maldives,44
Mali,76
Malta,88
Marshall Islands,34
Mauritania,35
Mauritius,47
Mexico,72
Moldova,34
Monaco,41
Montenegro,47
Morocco,114
Mozambique,57
Myanmar,63
Namibia,87
Netherlands,108
Nicaragua,41
Niger,42
North Macedonia,62
Norway,77
Pakistan,76
Palestine,57
Papua New Guinea,47
Peru,49
Philippines,44
Portugal,95
Qatar,35
Romania,75
Russia,65
Saint Kitts and Nevis,34
Saint Lucia,33
Saint Vincent and the Grenadines,35
Samoa,34
San Marino,79
Sao Tome and Principe,34
Saudi Arabia,40
Senegal,75
Serbia,88
Seychelles,43
Sierra Leone,65
Slovakia,104
Slovenia,140
Solomon Islands,47
Somalia,58
South Africa,63
South Korea,67
South Sudan,54
Spain,97
Sri Lanka,53
Sudan,38
Suriname,61
Sweden,103
Syria,70
Tanzania,38
Thailand,18
Timor,34
Togo,92
Trinidad and Tobago,70
Tunisia,95
Turkey,91
Uganda,34
Ukraine,86
United Arab Emirates,50
United States,44
Uruguay,83
Vanuatu,58
Vatican,34
Venezuela,66
Vietnam,26
Yemen,50
Zambia,67
Zimbabwe,36
Bolivia,39
China,26
Mongolia,41
Taiwan,17
Brunei,39
El Salvador,27
Fiji,43
Iceland,61
Nepal,47
New Zealand,6
Oman,40
Argentina,28
Bahrain,15
Bangladesh,32
Barbados,50
Bhutan,35
Botswana,43
Colombia,23
Gabon,35
Indonesia,42
Kuwait,27
Nigeria,42
Panama,29
Poland,91
Rwanda,57
Singapore,43
Tajikistan,35
United Kingdom,44
Uzbekistan,48
Malaysia,44
Paraguay,33
Hong Kong,12
