Nation,Similarity Score
Afghanistan,127
Albania,59
Algeria,91
Andorra,123
Angola,178
Antigua and Barbuda,190
Argentina,55
Armenia,56
Australia,116
Austria,48
Azerbaijan,65
Bahamas,125
Bahrain,42
Bangladesh,100
Belarus,58
Belgium,43
Belize,142
Benin,181
Bhutan,172
Bolivia,77
Bosnia and Herzegovina,69
Botswana,173
Brazil,59
Brunei,196
Bulgaria,62
Burkina Faso,199
Burundi,202
Cambodia,206
Cameroon,159
Canada,52
Cape Verde,69
Central African Republic,154
Chad,197
Chile,47
China,173
Colombia,52
Comoros,179
Congo,176
Costa Rica,68
Cote d'Ivoire,130
Croatia,76
Cuba,149
Cyprus,77
Czechia,54
Democratic Republic of Congo,170
Denmark,45
Djibouti,129
Dominica,198
Dominican Republic,57
Ecuador,73
Egypt,121
El Salvador,89
Equatorial Guinea,180
Eritrea,197
Estonia,82
Eswatini,87
Ethiopia,160
Fiji,204
Finland,86
France,56
Gabon,145
Gambia,177
Georgia,108
Germany,46
Ghana,134
Greece,77
Grenada,197
Guatemala,78
Guinea,141
Guinea-Bissau,169
Guyana,99
Haiti,154
Honduras,74
Hungary,91
Iceland,79
India,72
Indonesia,89
International,211
Iran,34
Iraq,54
Ireland,61
Israel,34
Italy,42
Jamaica,102
Japan,125
Jordan,128
Kazakhstan,78
Kenya,116
Kosovo,66
Kuwait,42
Kyrgyzstan,79
Laos,210
Latvia,101
Lebanon,72
Lesotho,182
Liberia,159
Libya,95
Liechtenstein,151
Lithuania,85
Luxembourg,49
Madagascar,158
Malawi,178
Malaysia,119
Maldives,55
Mali,169
Malta,56
Marshall Islands,209
Mauritania,146
Mauritius,200
Mexico,61
Moldova,55
Monaco,135
Mongolia,191
Montenegro,101
Morocco,67
Mozambique,186
Myanmar,167
Namibia,115
Nepal,88
Netherlands,42
New Zealand,166
Nicaragua,193
Niger,205
Nigeria,145
North Macedonia,55
Norway,66
Oman,78
Pakistan,113
Palestine,75
Panama,54
Papua New Guinea,212
Paraguay,79
Peru,64
Philippines,72
Poland,62
Portugal,44
Qatar,45
Romania,53
Russia,56
Rwanda,175
Saint Kitts and Nevis,205
Saint Lucia,183
Saint Vincent and the Grenadines,190
Samoa,211
San Marino,140
Sao Tome and Principe,147
Saudi Arabia,77
Senegal,126
Serbia,62
Seychelles,189
Sierra Leone,151
Slovakia,97
Slovenia,88
Solomon Islands,210
Somalia,164
South Africa,52
South Korea,141
South Sudan,184
Spain,61
Sri Lanka,151
Sudan,159
Suriname,115
Sweden,55
Switzerland,45
Syria,193
Taiwan,181
Tajikistan,136
Tanzania,209
Thailand,183
Timor,209
Togo,170
Trinidad and Tobago,148
Tunisia,138
Turkey,68
Uganda,188
Ukraine,61
United Arab Emirates,40
United Kingdom,40
United States,40
Uruguay,119
Uzbekistan,105
Vanuatu,211
Vatican,204
Venezuela,92
Vietnam,208
Yemen,191
Zambia,178
Zimbabwe,179
Singapore,76
Hong Kong,41
