Nation,Similarity Score
Afghanistan,60
Albania,83
Algeria,73
Andorra,60
Angola,73
Antigua and Barbuda,69
Argentina,63
Armenia,52
Australia,54
Austria,73
Azerbaijan,84
Bahamas,69
Bahrain,44
Bangladesh,78
Barbados,82
Belarus,88
Belgium,65
Belize,74
Benin,71
Bhutan,71
Bolivia,61
Bosnia and Herzegovina,68
Botswana,65
Brazil,57
Brunei,75
Bulgaria,74
Burkina Faso,72
Burundi,66
Cambodia,72
Cameroon,76
Canada,90
Cape Verde,52
Central African Republic,67
Chad,79
Chile,59
China,39
Colombia,61
Comoros,65
Congo,64
Costa Rica,60
Cote d'Ivoire,61
Croatia,63
Cuba,88
Cyprus,115
Czechia,78
Democratic Republic of Congo,75
Denmark,97
Djibouti,60
Dominica,82
Dominican Republic,57
Ecuador,70
Egypt,59
El Salvador,70
Equatorial Guinea,73
Eritrea,65
Eswatini,74
Ethiopia,83
Fiji,66
Finland,117
France,70
Gabon,62
Gambia,72
Georgia,92
Germany,107
Ghana,63
Greece,97
Grenada,77
Guatemala,81
Guinea,72
Guinea-Bissau,67
Guyana,73
Haiti,57
Honduras,52
Hungary,102
Iceland,85
India,72
Indonesia,86
International,70
Iran,86
Iraq,53
Ireland,83
Israel,68
Italy,90
Jamaica,94
Japan,58
Jordan,82
Kazakhstan,74
Kenya,58
Kosovo,70
Kuwait,52
Kyrgyzstan,80
Laos,70
Latvia,115
Lebanon,69
Lesotho,66
Liberia,62
Libya,52
Liechtenstein,72
Lithuania,121
Luxembourg,57
Madagascar,62
Malawi,61
Malaysia,83
Maldives,49
Mali,70
Malta,96
Marshall Islands,70
Mauritania,54
Mauritius,77
Mexico,69
Moldova,55
Monaco,75
Mongolia,68
Montenegro,51
Morocco,74
Mozambique,77
Myanmar,83
Namibia,64
Nepal,68
Netherlands,61
New Zealand,79
Nicaragua,72
Niger,71
Nigeria,63
North Macedonia,59
Norway,118
Oman,53
Pakistan,69
Palestine,59
Panama,59
Papua New Guinea,74
Paraguay,66
Peru,47
Philippines,79
Poland,80
Portugal,53
Qatar,51
Romania,60
Russia,69
Rwanda,70
Saint Kitts and Nevis,71
Saint Lucia,74
Saint Vincent and the Grenadines,73
Samoa,70
San Marino,68
Sao Tome and Principe,59
Saudi Arabia,61
Senegal,68
Serbia,76
Seychelles,71
Sierra Leone,70
Slovakia,100
Slovenia,94
Solomon Islands,70
Somalia,82
South Africa,73
South Korea,64
South Sudan,68
Spain,58
Sri Lanka,79
Sudan,74
Suriname,58
Sweden,55
Switzerland,70
Syria,75
Taiwan,59
Tajikistan,64
Tanzania,70
Thailand,64
Timor,70
Togo,78
Trinidad and Tobago,95
Tunisia,92
Turkey,85
Uganda,75
Ukraine,66
United Arab Emirates,42
United Kingdom,67
United States,46
Uruguay,81
Uzbekistan,75
Vanuatu,70
Vatican,70
Venezuela,63
Vietnam,68
Yemen,70
Zambia,77
Zimbabwe,67
Singapore,34
Hong Kong,3
