Nation,Similarity Score
Afghanistan,175
Albania,50
Algeria,75
Andorra,140
Angola,212
Antigua and Barbuda,233
Argentina,58
Armenia,48
Australia,131
Austria,42
Azerbaijan,59
Bahamas,124
Bahrain,38
Bangladesh,88
Barbados,184
Belarus,63
Belgium,39
Belize,152
Benin,242
Bhutan,219
Bolivia,73
Bosnia and Herzegovina,61
Botswana,229
Brazil,56
Brunei,239
Bulgaria,57
Burkina Faso,240
Burundi,270
Cambodia,263
Cameroon,197
Canada,40
Cape Verde,83
Central African Republic,226
Chad,259
Chile,45
China,234
Colombia,56
Comoros,231
Congo,225
Costa Rica,71
Cote d'Ivoire,163
Croatia,67
Cuba,138
Cyprus,65
Czechia,46
Democratic Republic of Congo,253
Denmark,47
Djibouti,154
Dominica,244
Dominican Republic,55
Ecuador,61
Egypt,168
El Salvador,99
Equatorial Guinea,230
Eritrea,250
Estonia,68
Eswatini,90
Ethiopia,163
Fiji,255
Finland,69
France,68
Gabon,171
Gambia,213
Georgia,77
Germany,42
Ghana,167
Greece,74
Grenada,252
Guatemala,90
Guinea,150
Guinea-Bissau,224
Guyana,108
Haiti,215
Honduras,79
Hungary,75
Iceland,68
India,87
Indonesia,79
International,272
Iran,32
Iraq,60
Ireland,59
Israel,36
Italy,38
Jamaica,106
Japan,86
Jordan,118
Kazakhstan,70
Kenya,130
Kosovo,65
Kuwait,41
Kyrgyzstan,77
Laos,271
Latvia,87
Lebanon,72
Lesotho,228
Liberia,218
Libya,117
Liechtenstein,174
Lithuania,66
Luxembourg,53
Madagascar,194
Malawi,223
Malaysia,122
Maldives,70
Mali,230
Malta,55
Marshall Islands,270
Mauritania,170
Mauritius,223
Mexico,61
Moldova,53
Monaco,137
Mongolia,246
Montenegro,88
Morocco,68
Mozambique,191
Myanmar,184
Namibia,126
Nepal,114
Netherlands,46
New Zealand,177
Nicaragua,246
Niger,257
Nigeria,218
North Macedonia,54
Norway,59
Oman,85
Pakistan,119
Palestine,76
Panama,50
Papua New Guinea,264
Paraguay,83
Peru,70
Philippines,68
Poland,53
Portugal,44
Qatar,42
Romania,47
Russia,53
Rwanda,202
Saint Kitts and Nevis,258
Saint Lucia,220
Saint Vincent and the Grenadines,237
Samoa,272
San Marino,178
Sao Tome and Principe,188
Saudi Arabia,52
Senegal,150
Serbia,52
Seychelles,233
Sierra Leone,233
Slovakia,76
Slovenia,68
Solomon Islands,271
Somalia,225
South Africa,58
South Korea,151
Spain,76
Sri Lanka,182
Sudan,221
Suriname,130
Sweden,56
Switzerland,51
Syria,209
Taiwan,231
Tajikistan,151
Tanzania,269
Thailand,225
Timor,263
Togo,215
Trinidad and Tobago,132
Tunisia,136
Turkey,59
Uganda,203
Ukraine,61
United Arab Emirates,37
United Kingdom,36
United States,40
Uruguay,97
Uzbekistan,99
Vanuatu,272
Vatican,262
Venezuela,100
Vietnam,271
Yemen,256
Zambia,195
Zimbabwe,211
Singapore,81
Hong Kong,68
