Nation,Similarity Score
Afghanistan,150
Albania,66
Algeria,96
Andorra,126
Angola,176
Antigua and Barbuda,194
Argentina,69
Armenia,47
Australia,138
Austria,44
Azerbaijan,67
Bahamas,111
Bahrain,39
Bangladesh,95
Barbados,162
Belarus,64
Belgium,45
Belize,127
Benin,195
Bhutan,181
Bolivia,78
Bosnia and Herzegovina,67
Botswana,192
Brazil,60
Brunei,205
Bulgaria,70
Burkina Faso,204
Burundi,214
Cambodia,219
Canada,55
Cape Verde,72
Central African Republic,178
Chad,209
Chile,45
China,186
Colombia,72
Comoros,191
Congo,192
Costa Rica,76
Cote d'Ivoire,153
Croatia,63
Cuba,148
Cyprus,84
Czechia,59
Democratic Republic of Congo,194
Denmark,61
Djibouti,134
Dominica,202
Dominican Republic,58
Ecuador,59
Egypt,142
El Salvador,100
Equatorial Guinea,194
Eritrea,208
Estonia,78
Eswatini,89
Ethiopia,134
Fiji,215
Finland,74
France,69
Gabon,155
Gambia,173
Georgia,91
Germany,44
Ghana,148
Greece,67
Grenada,209
Guatemala,90
Guinea,138
Guinea-Bissau,189
Guyana,97
Haiti,172
Honduras,78
Hungary,88
Iceland,77
India,81
Indonesia,77
International,221
Iran,40
Iraq,62
Ireland,53
Israel,46
Italy,37
Jamaica,101
Japan,105
Jordan,114
Kazakhstan,90
Kenya,110
Kosovo,65
Kuwait,40
Kyrgyzstan,88
Laos,221
Latvia,91
Lebanon,67
Lesotho,184
Liberia,182
Libya,95
Liechtenstein,148
Lithuania,82
Luxembourg,71
Madagascar,165
Malawi,185
Malaysia,119
Maldives,69
Mali,191
Malta,72
Marshall Islands,220
Mauritania,149
Mauritius,202
Mexico,68
Moldova,55
Monaco,129
Mongolia,206
Montenegro,90
Morocco,77
Mozambique,168
Myanmar,153
Namibia,106
Nepal,86
Netherlands,42
New Zealand,190
Nicaragua,206
Niger,212
Nigeria,167
North Macedonia,55
Norway,64
Oman,90
Pakistan,121
Palestine,78
Panama,49
Papua New Guinea,213
Paraguay,74
Peru,69
Philippines,81
Poland,59
Portugal,50
Qatar,41
Romania,49
Russia,61
Rwanda,172
Saint Kitts and Nevis,213
Saint Lucia,185
Saint Vincent and the Grenadines,199
Samoa,219
San Marino,146
Sao Tome and Principe,160
Saudi Arabia,58
Senegal,146
Serbia,60
Seychelles,191
Sierra Leone,180
Singapore,75
Slovakia,80
Slovenia,71
Solomon Islands,219
Somalia,186
South Africa,68
South Korea,145
South Sudan,204
Spain,88
Sri Lanka,159
Sudan,183
Suriname,113
Sweden,71
Switzerland,66
Syria,171
Taiwan,208
Tajikistan,139
Tanzania,220
Thailand,208
Timor,219
Togo,177
Trinidad and Tobago,123
Tunisia,134
Turkey,65
Uganda,176
Ukraine,83
United Arab Emirates,46
United Kingdom,46
United States,41
Uruguay,105
Uzbekistan,99
Vanuatu,221
Vatican,214
Venezuela,98
Vietnam,219
Yemen,208
Zambia,166
Zimbabwe,172
Hong Kong,55
