Nation,Similarity Score
Afghanistan,168
Albania,55
Algeria,68
Andorra,155
Angola,213
Antigua and Barbuda,243
Argentina,59
Armenia,48
Australia,165
Austria,43
Azerbaijan,53
Bahamas,134
Bahrain,38
Bangladesh,86
Barbados,190
Belarus,59
Belgium,42
Belize,159
Benin,242
Bhutan,216
Bolivia,68
Bosnia and Herzegovina,65
Botswana,241
Brazil,55
Brunei,258
Bulgaria,59
Burkina Faso,259
Burundi,279
Cambodia,279
Cameroon,209
Canada,39
Cape Verde,81
Central African Republic,221
Chile,46
China,250
Colombia,54
Comoros,240
Congo,240
Costa Rica,81
Cote d'Ivoire,171
Croatia,72
Cuba,158
Cyprus,89
Czechia,46
Democratic Republic of Congo,269
Denmark,56
Djibouti,153
Dominica,261
Dominican Republic,54
Ecuador,66
Egypt,157
El Salvador,99
Equatorial Guinea,249
Eritrea,258
Estonia,83
Eswatini,96
Ethiopia,155
Fiji,273
Finland,75
France,70
Gabon,181
Gambia,222
Georgia,101
Germany,38
Ghana,167
Greece,74
Grenada,268
Guatemala,88
Guinea,140
Guinea-Bissau,235
Guyana,114
Haiti,207
Honduras,77
Hungary,99
Iceland,82
India,94
Indonesia,83
International,288
Iran,32
Iraq,69
Ireland,51
Israel,46
Italy,32
Jamaica,109
Japan,98
Jordan,143
Kazakhstan,72
Kenya,129
Kosovo,69
Kuwait,42
Kyrgyzstan,85
Laos,288
Latvia,107
Lebanon,76
Lesotho,234
Liberia,224
Libya,116
Liechtenstein,185
Lithuania,79
Luxembourg,73
Madagascar,202
Malawi,232
Malaysia,161
Maldives,72
Mali,260
Malta,82
Marshall Islands,286
Mauritania,166
Mauritius,246
Mexico,58
Moldova,50
Monaco,152
Mongolia,260
Montenegro,91
Morocco,67
Mozambique,205
Myanmar,199
Namibia,125
Nepal,112
Netherlands,38
New Zealand,234
Nicaragua,261
Niger,272
Nigeria,219
North Macedonia,50
Norway,63
Oman,89
Pakistan,110
Palestine,83
Panama,51
Papua New Guinea,278
Paraguay,91
Peru,71
Philippines,67
Poland,46
Portugal,43
Qatar,43
Romania,43
Russia,52
Rwanda,197
Saint Kitts and Nevis,274
Saint Lucia,233
Saint Vincent and the Grenadines,251
Samoa,286
San Marino,194
Sao Tome and Principe,188
Saudi Arabia,48
Senegal,149
Serbia,51
Seychelles,248
Sierra Leone,236
Singapore,77
Slovakia,94
Slovenia,73
Solomon Islands,286
Somalia,238
South Africa,55
South Korea,165
South Sudan,264
Spain,85
Sri Lanka,203
Sudan,230
Suriname,115
Sweden,77
Switzerland,74
Syria,208
Taiwan,260
Tajikistan,146
Tanzania,284
Thailand,256
Timor,280
Togo,234
Trinidad and Tobago,137
Tunisia,150
Turkey,54
Uganda,219
Ukraine,61
United Arab Emirates,46
United Kingdom,36
United States,40
Uruguay,116
Uzbekistan,102
Vanuatu,288
Vatican,277
Venezuela,106
Vietnam,285
Yemen,274
Zambia,200
Zimbabwe,203
Hong Kong,67
