Nation,Similarity Score
Afghanistan,68
Albania,95
Algeria,91
Andorra,71
Angola,88
Antigua and Barbuda,87
Argentina,68
Armenia,63
Australia,80
Austria,81
Azerbaijan,89
Bahamas,90
Bahrain,55
Bangladesh,81
Barbados,93
Belarus,78
Belgium,61
Belize,90
Benin,82
Bhutan,94
Bolivia,62
Bosnia and Herzegovina,90
Botswana,80
Brazil,62
Brunei,87
Bulgaria,99
Burkina Faso,81
Burundi,80
Cambodia,80
Cameroon,84
Canada,79
Cape Verde,66
Central African Republic,63
Chad,89
Chile,58
China,43
Colombia,74
Comoros,77
Congo,80
Costa Rica,72
Cote d'Ivoire,75
Croatia,84
Cuba,91
Czechia,86
Democratic Republic of Congo,81
Denmark,99
Djibouti,79
Dominica,85
Dominican Republic,60
Ecuador,68
Egypt,68
El Salvador,71
Equatorial Guinea,81
Eritrea,78
Estonia,113
Eswatini,77
Ethiopia,99
Fiji,82
Finland,106
France,52
Gabon,70
Gambia,86
Georgia,87
Germany,117
Ghana,69
Greece,107
Grenada,85
Guatemala,64
Guinea,94
Guinea-Bissau,80
Guyana,85
Haiti,81
Honduras,56
Hungary,120
Iceland,82
India,67
Indonesia,99
International,81
Iran,89
Iraq,55
Ireland,84
Israel,65
Italy,65
Jamaica,97
Japan,92
Jordan,92
Kazakhstan,83
Kenya,95
Kosovo,85
Kuwait,60
Kyrgyzstan,81
Laos,81
Latvia,140
Lebanon,90
Lesotho,86
Liberia,73
Libya,83
Liechtenstein,88
Lithuania,128
Luxembourg,54
Madagascar,86
Malawi,74
Malaysia,72
Maldives,54
Mali,88
Malta,105
Marshall Islands,81
Mauritania,70
Mauritius,86
Mexico,69
Moldova,78
Monaco,89
Mongolia,81
Montenegro,69
Morocco,95
Mozambique,91
Myanmar,96
Namibia,74
Nepal,91
Netherlands,71
New Zealand,80
Nicaragua,82
Niger,79
Nigeria,84
North Macedonia,75
Norway,120
Oman,61
Pakistan,72
Palestine,78
Panama,78
Papua New Guinea,84
Paraguay,75
Peru,52
Philippines,79
Poland,88
Portugal,60
Qatar,61
Romania,64
Russia,73
Rwanda,86
Saint Kitts and Nevis,83
Saint Lucia,83
Saint Vincent and the Grenadines,79
Samoa,81
San Marino,64
Sao Tome and Principe,77
Saudi Arabia,64
Senegal,91
Serbia,87
Seychelles,86
Sierra Leone,94
Singapore,44
Slovakia,111
Slovenia,82
Solomon Islands,81
Somalia,89
South Africa,66
South Korea,67
South Sudan,77
Spain,56
Sri Lanka,85
Sudan,83
Suriname,61
Sweden,65
Switzerland,75
Syria,90
Taiwan,69
Tajikistan,79
Tanzania,81
Thailand,73
Timor,81
Togo,88
Trinidad and Tobago,87
Tunisia,81
Turkey,91
Uganda,91
Ukraine,94
United Arab Emirates,70
United Kingdom,76
United States,53
Uruguay,100
Uzbekistan,88
Vanuatu,81
Vatican,80
Venezuela,77
Vietnam,79
Yemen,78
Zambia,102
Zimbabwe,89
Hong Kong,7
