Nation,Similarity Score
Afghanistan,95
Albania,93
Algeria,86
Andorra,64
Angola,45
Antigua and Barbuda,47
Argentina,74
Armenia,84
Australia,67
Austria,112
Azerbaijan,105
Bahamas,71
Bahrain,45
Bangladesh,112
Barbados,61
Belarus,87
Belgium,68
Belize,57
Benin,54
Bhutan,52
Bolivia,67
Bosnia and Herzegovina,107
Botswana,48
Brazil,67
Brunei,46
Bulgaria,127
Burkina Faso,46
Burundi,46
Cambodia,47
Cameroon,59
Canada,112
Cape Verde,70
Central African Republic,66
Chad,46
Chile,50
China,10
Colombia,73
Comoros,57
Congo,54
Costa Rica,77
Cote d'Ivoire,76
Croatia,111
Cuba,53
Cyprus,88
Czechia,99
Democratic Republic of Congo,46
Denmark,86
Djibouti,69
Dominica,47
Dominican Republic,71
Ecuador,68
Egypt,83
El Salvador,94
Equatorial Guinea,50
Eritrea,49
Estonia,82
Eswatini,79
Ethiopia,63
Fiji,47
Finland,59
France,64
Gabon,60
Gambia,59
Georgia,93
Germany,93
Ghana,68
Greece,88
Grenada,51
Guatemala,80
Guinea,72
Guinea-Bissau,59
Guyana,78
Haiti,68
Honduras,69
Hungary,103
Iceland,76
India,67
Indonesia,76
International,45
Iran,71
Iraq,53
Ireland,83
Israel,53
Italy,100
Jamaica,63
Japan,47
Jordan,88
Kazakhstan,81
Kenya,72
Kosovo,87
Kuwait,56
Kyrgyzstan,88
Laos,45
Latvia,73
Lebanon,66
Lesotho,54
Liberia,59
Libya,72
Liechtenstein,73
Lithuania,109
Luxembourg,60
Madagascar,61
Malawi,53
Malaysia,52
Maldives,55
Mali,45
Malta,78
Marshall Islands,45
Mauritania,66
Mauritius,53
Mexico,73
Moldova,68
Monaco,59
Mongolia,52
Montenegro,77
Morocco,89
Mozambique,47
Myanmar,47
Namibia,57
Nepal,96
Netherlands,78
New Zealand,54
Nicaragua,48
Niger,45
Nigeria,46
North Macedonia,109
Norway,68
Oman,56
Pakistan,84
Palestine,59
Panama,57
Papua New Guinea,45
Paraguay,72
Peru,63
Philippines,82
Portugal,109
Qatar,51
Romania,86
Russia,67
Rwanda,52
Saint Kitts and Nevis,46
Saint Lucia,50
Saint Vincent and the Grenadines,58
Samoa,45
San Marino,42
Sao Tome and Principe,63
Saudi Arabia,72
Senegal,91
Serbia,105
Seychelles,51
Sierra Leone,47
Singapore,42
Slovakia,105
Slovenia,98
Solomon Islands,45
Somalia,49
South Africa,72
South Korea,29
South Sudan,52
Spain,81
Sri Lanka,47
Sudan,57
Suriname,60
Sweden,59
Switzerland,92
Syria,45
Taiwan,37
Tajikistan,79
Tanzania,45
Thailand,44
Timor,46
Togo,47
Trinidad and Tobago,60
Tunisia,63
Turkey,128
Uganda,46
Ukraine,98
United Arab Emirates,59
United Kingdom,107
United States,67
Uruguay,63
Uzbekistan,95
Vanuatu,45
Vatican,45
Venezuela,85
Vietnam,45
Yemen,45
Zambia,65
Zimbabwe,54
Hong Kong,2
