Nation,Similarity Score
Afghanistan,51
Albania,106
Algeria,45
Andorra,55
Angola,43
Antigua and Barbuda,47
Argentina,60
Armenia,123
Australia,45
Austria,102
Azerbaijan,58
Bahamas,66
Bahrain,57
Bangladesh,63
Barbados,52
Belarus,62
Belgium,102
Belize,68
Benin,43
Bhutan,44
Bolivia,63
Bosnia and Herzegovina,123
Botswana,54
Brazil,62
Brunei,43
Bulgaria,108
Burkina Faso,44
Burundi,43
Cambodia,44
Cameroon,49
Canada,69
Cape Verde,96
Central African Republic,54
Chad,43
Chile,105
China,12
Colombia,69
Comoros,43
Congo,51
Costa Rica,76
Cote d'Ivoire,47
Croatia,96
Cuba,45
Cyprus,64
Czechia,85
Democratic Republic of Congo,43
Denmark,86
Djibouti,57
Dominica,47
Dominican Republic,83
Ecuador,85
Egypt,62
El Salvador,80
Equatorial Guinea,47
Eritrea,43
Estonia,68
Eswatini,80
Ethiopia,43
Fiji,43
Finland,65
France,91
Gabon,55
Gambia,49
Georgia,67
Germany,56
Ghana,61
Greece,50
Grenada,47
Guatemala,76
Guinea,48
Guinea-Bissau,52
Guyana,68
Haiti,52
Honduras,85
Hungary,88
Iceland,71
India,104
Indonesia,42
International,43
Iran,66
Iraq,82
Ireland,87
Israel,53
Italy,81
Jamaica,58
Japan,37
Jordan,87
Kazakhstan,72
Kenya,43
Kosovo,85
Kuwait,72
Kyrgyzstan,63
Laos,43
Latvia,57
Lebanon,85
Lesotho,48
Liberia,44
Libya,80
Liechtenstein,65
Lithuania,73
Luxembourg,87
Madagascar,44
Malawi,43
Malaysia,41
Maldives,63
Mali,43
Malta,116
Marshall Islands,43
Mauritania,53
Mauritius,50
Mexico,75
Moldova,107
Monaco,68
Mongolia,44
Montenegro,71
Morocco,64
Mozambique,43
Myanmar,43
Namibia,75
Nepal,70
Netherlands,101
New Zealand,54
Nicaragua,45
Niger,43
Nigeria,43
North Macedonia,135
Norway,44
Oman,69
Pakistan,58
Palestine,79
Panama,78
Papua New Guinea,43
Paraguay,77
Peru,61
Philippines,60
Poland,86
Portugal,114
Qatar,78
Russia,73
Rwanda,43
Saint Kitts and Nevis,47
Saint Lucia,44
Saint Vincent and the Grenadines,45
Samoa,43
San Marino,44
Sao Tome and Principe,50
Saudi Arabia,67
Senegal,47
Serbia,101
Seychelles,47
Sierra Leone,43
Singapore,48
Slovakia,82
Slovenia,86
Solomon Islands,43
Somalia,44
South Africa,64
South Korea,32
South Sudan,44
Spain,67
Sri Lanka,46
Sudan,46
Suriname,74
Sweden,66
Switzerland,60
Syria,43
Taiwan,40
Tajikistan,52
Tanzania,43
Thailand,43
Timor,43
Togo,44
Trinidad and Tobago,61
Tunisia,57
Turkey,81
Uganda,43
Ukraine,123
United Arab Emirates,96
United Kingdom,95
United States,93
Uruguay,50
Uzbekistan,45
Vanuatu,43
Vatican,43
Venezuela,51
Vietnam,42
Yemen,43
Zambia,46
Zimbabwe,43
Hong Kong,2
