Nation,Similarity Score
Afghanistan,66
Albania,90
Algeria,70
Andorra,73
Angola,54
Antigua and Barbuda,58
Argentina,70
Armenia,69
Australia,48
Austria,69
Azerbaijan,113
Bahamas,59
Bahrain,53
Bangladesh,103
Barbados,60
Belarus,82
Belgium,68
Belize,59
Benin,50
Bhutan,61
Bolivia,67
Bosnia and Herzegovina,91
Botswana,56
Brazil,56
Brunei,52
Bulgaria,100
Burkina Faso,51
Burundi,51
Cambodia,50
Cameroon,60
Canada,96
Cape Verde,82
Central African Republic,66
Chad,51
Chile,72
China,14
Colombia,66
Comoros,58
Congo,61
Costa Rica,91
Cote d'Ivoire,66
Croatia,74
Cuba,58
Cyprus,87
Czechia,80
Democratic Republic of Congo,52
Denmark,89
Djibouti,70
Dominica,52
Dominican Republic,72
Ecuador,95
Egypt,68
El Salvador,122
Equatorial Guinea,56
Eritrea,52
Estonia,87
Eswatini,98
Ethiopia,78
Fiji,50
Finland,92
France,60
Gabon,74
Gambia,68
Georgia,67
Germany,88
Ghana,67
Greece,73
Grenada,54
Guatemala,100
Guinea,67
Guinea-Bissau,59
Guyana,66
Haiti,61
Honduras,77
Hungary,68
Iceland,67
India,88
Indonesia,82
International,50
Iran,69
Iraq,77
Ireland,61
Israel,62
Italy,56
Jamaica,65
Japan,42
Jordan,75
Kazakhstan,93
Kenya,53
Kosovo,82
Kuwait,60
Kyrgyzstan,100
Laos,50
Latvia,70
Lebanon,70
Lesotho,61
Liberia,51
Libya,62
Liechtenstein,58
Lithuania,97
Luxembourg,76
Madagascar,52
Malawi,51
Malaysia,57
Maldives,68
Mali,52
Malta,75
Marshall Islands,50
Mauritania,63
Mauritius,56
Mexico,96
Moldova,97
Monaco,64
Mongolia,55
Montenegro,70
Morocco,68
Mozambique,59
Myanmar,73
Namibia,65
Nepal,76
Netherlands,61
New Zealand,56
Nicaragua,57
Niger,50
Nigeria,51
North Macedonia,99
Norway,67
Oman,60
Pakistan,69
Palestine,78
Panama,74
Papua New Guinea,50
Paraguay,66
Peru,62
Philippines,83
Poland,105
Portugal,84
Qatar,54
Romania,101
Russia,93
Rwanda,55
Saint Kitts and Nevis,53
Saint Lucia,55
Saint Vincent and the Grenadines,60
Samoa,50
San Marino,50
Sao Tome and Principe,58
Saudi Arabia,108
Senegal,60
Seychelles,61
Sierra Leone,55
Singapore,73
Slovakia,77
Slovenia,74
Solomon Islands,50
Somalia,54
South Africa,74
South Korea,37
South Sudan,53
Spain,71
Sri Lanka,58
Sudan,59
Suriname,78
Sweden,82
Switzerland,62
Syria,52
Taiwan,43
Tajikistan,72
Tanzania,50
Thailand,47
Timor,50
Togo,52
Trinidad and Tobago,59
Tunisia,59
Turkey,120
Uganda,62
Ukraine,91
United Arab Emirates,80
United Kingdom,69
United States,65
Uruguay,66
Uzbekistan,86
Vanuatu,50
Vatican,50
Venezuela,77
Vietnam,48
Yemen,50
Zambia,63
Zimbabwe,55
Hong Kong,2
