Nation,Similarity Score
Afghanistan,77
Albania,67
Algeria,86
Andorra,66
Angola,57
Antigua and Barbuda,64
Argentina,69
Armenia,72
Australia,60
Austria,76
Azerbaijan,107
Bahamas,61
Bahrain,50
Bangladesh,117
Barbados,72
Belarus,105
Belgium,60
Belize,59
Benin,59
Bhutan,62
Bolivia,77
Bosnia and Herzegovina,59
Botswana,57
Brazil,67
Brunei,50
Bulgaria,91
Burkina Faso,54
Burundi,55
Cambodia,51
Cameroon,65
Canada,108
Cape Verde,78
Central African Republic,77
Chad,54
Chile,65
China,16
Colombia,64
Comoros,64
Congo,62
Costa Rica,60
Cote d'Ivoire,79
Croatia,72
Cuba,54
Cyprus,91
Czechia,80
Democratic Republic of Congo,54
Denmark,98
Djibouti,87
Dominica,62
Dominican Republic,104
Ecuador,82
Egypt,95
El Salvador,115
Equatorial Guinea,60
Eritrea,55
Estonia,93
Eswatini,98
Ethiopia,69
Fiji,55
Finland,98
France,56
Gabon,62
Gambia,68
Georgia,50
Germany,99
Ghana,86
Greece,85
Grenada,60
Guatemala,109
Guinea,68
Guinea-Bissau,74
Guyana,84
Haiti,74
Honduras,84
Hungary,54
Iceland,68
India,99
Indonesia,98
International,54
Iran,75
Iraq,54
Ireland,77
Israel,76
Italy,72
Jamaica,83
Japan,48
Jordan,62
Kazakhstan,117
Kenya,95
Kosovo,77
Kuwait,52
Kyrgyzstan,95
Laos,54
Latvia,66
Lebanon,56
Lesotho,68
Liberia,55
Libya,73
Liechtenstein,67
Lithuania,78
Luxembourg,61
Madagascar,70
Malawi,56
Malaysia,72
Maldives,70
Mali,54
Malta,68
Marshall Islands,56
Mauritania,86
Mauritius,57
Mexico,95
Moldova,80
Monaco,66
Mongolia,57
Montenegro,64
Morocco,73
Mozambique,55
Myanmar,98
Namibia,83
Nepal,107
Netherlands,65
New Zealand,53
Nicaragua,60
Niger,54
Nigeria,54
North Macedonia,81
Norway,91
Oman,64
Pakistan,89
Palestine,54
Panama,73
Papua New Guinea,54
Paraguay,69
Peru,59
Philippines,109
Poland,128
Portugal,85
Qatar,59
Romania,81
Russia,59
Rwanda,59
Saint Kitts and Nevis,55
Saint Lucia,67
Saint Vincent and the Grenadines,60
Samoa,54
San Marino,44
Sao Tome and Principe,81
Saudi Arabia,102
Senegal,70
Serbia,120
Seychelles,61
Sierra Leone,55
Singapore,40
Slovakia,70
Slovenia,87
Solomon Islands,54
Somalia,56
South Africa,109
South Korea,27
South Sudan,59
Spain,69
Sri Lanka,68
Sudan,56
Suriname,82
Sweden,73
Switzerland,91
Syria,54
Taiwan,42
Tajikistan,76
Tanzania,54
Thailand,47
Timor,54
Togo,53
Trinidad and Tobago,82
Tunisia,65
Uganda,54
Ukraine,94
United Arab Emirates,72
United Kingdom,96
United States,46
Uruguay,69
Uzbekistan,108
Vanuatu,54
Vatican,53
Venezuela,96
Vietnam,52
Yemen,54
Zambia,72
Zimbabwe,66
Hong Kong,2
