Nation,Similarity Score
Afghanistan,82
Albania,130
Algeria,77
Andorra,63
Angola,60
Antigua and Barbuda,63
Argentina,89
Armenia,85
Australia,48
Austria,101
Azerbaijan,96
Bahamas,81
Bahrain,47
Bangladesh,116
Barbados,64
Belarus,73
Belgium,79
Belize,90
Benin,60
Bhutan,63
Bolivia,89
Bosnia and Herzegovina,117
Botswana,71
Brazil,89
Brunei,52
Bulgaria,110
Burkina Faso,58
Burundi,60
Cambodia,56
Cameroon,83
Canada,62
Cape Verde,104
Central African Republic,80
Chad,61
Chile,74
China,22
Colombia,104
Comoros,65
Congo,65
Costa Rica,90
Cote d'Ivoire,68
Croatia,92
Cuba,68
Cyprus,94
Czechia,92
Democratic Republic of Congo,60
Denmark,98
Djibouti,77
Dominica,59
Dominican Republic,74
Ecuador,74
Egypt,94
El Salvador,105
Equatorial Guinea,59
Eritrea,64
Estonia,67
Eswatini,94
Ethiopia,60
Fiji,60
Finland,54
France,58
Gabon,72
Gambia,70
Georgia,77
Germany,75
Ghana,101
Greece,69
Grenada,65
Guatemala,90
Guinea,74
Guinea-Bissau,75
Guyana,96
Haiti,76
Honduras,99
Hungary,112
Iceland,62
India,129
Indonesia,53
International,60
Iran,80
Iraq,82
Ireland,72
Israel,66
Italy,42
Jamaica,75
Japan,52
Jordan,78
Kazakhstan,112
Kenya,61
Kosovo,101
Kuwait,74
Kyrgyzstan,91
Laos,60
Latvia,74
Lebanon,111
Lesotho,66
Liberia,60
Libya,112
Liechtenstein,68
Lithuania,70
Luxembourg,59
Madagascar,68
Malawi,62
Malaysia,48
Maldives,79
Mali,60
Malta,113
Marshall Islands,60
Mauritania,88
Mauritius,58
Mexico,102
Moldova,100
Monaco,82
Mongolia,59
Montenegro,69
Morocco,115
Mozambique,60
Myanmar,60
Namibia,89
Nepal,106
Netherlands,94
New Zealand,52
Nicaragua,62
Niger,61
Nigeria,60
North Macedonia,109
Norway,53
Oman,85
Pakistan,94
Palestine,93
Panama,92
Papua New Guinea,60
Paraguay,106
Peru,66
Philippines,98
Poland,98
Portugal,102
Qatar,71
Romania,123
Russia,97
Rwanda,58
Saint Kitts and Nevis,62
Saint Lucia,61
Saint Vincent and the Grenadines,67
Samoa,60
San Marino,45
Sao Tome and Principe,73
Saudi Arabia,70
Senegal,72
Serbia,91
Seychelles,57
Sierra Leone,63
Singapore,29
Slovakia,76
Slovenia,71
Solomon Islands,60
Somalia,64
South Africa,74
South Korea,32
South Sudan,63
Spain,57
Sri Lanka,54
Sudan,65
Suriname,86
Sweden,64
Switzerland,83
Syria,60
Taiwan,45
Tajikistan,74
Tanzania,60
Thailand,53
Timor,62
Togo,58
Trinidad and Tobago,76
Tunisia,72
Turkey,94
Uganda,60
United Arab Emirates,117
United Kingdom,72
United States,67
Uruguay,61
Uzbekistan,85
Vanuatu,60
Vatican,58
Venezuela,99
Vietnam,58
Yemen,60
Zambia,69
Zimbabwe,63
Hong Kong,2
