Nation,Similarity Score
Afghanistan,106
Albania,86
Algeria,88
Andorra,66
Angola,67
Antigua and Barbuda,67
Armenia,74
Australia,51
Austria,41
Azerbaijan,127
Bahamas,110
Bahrain,86
Bangladesh,107
Barbados,73
Belarus,64
Belgium,50
Belize,88
Benin,71
Bhutan,70
Bolivia,107
Bosnia and Herzegovina,87
Botswana,73
Brazil,113
Brunei,63
Bulgaria,60
Burkina Faso,70
Burundi,67
Cambodia,68
Cameroon,81
Canada,57
Cape Verde,125
Central African Republic,83
Chad,70
Chile,67
China,35
Colombia,167
Comoros,75
Congo,75
Costa Rica,165
Cote d'Ivoire,77
Croatia,42
Cuba,79
Cyprus,71
Czechia,70
Democratic Republic of Congo,67
Denmark,58
Djibouti,67
Dominica,67
Dominican Republic,93
Ecuador,75
Egypt,100
El Salvador,111
Equatorial Guinea,66
Eritrea,68
Estonia,52
Eswatini,93
Ethiopia,67
Fiji,71
Finland,42
France,51
Gabon,78
Gambia,69
Georgia,83
Germany,62
Ghana,76
Greece,81
Grenada,66
Guatemala,114
Guinea,81
Guinea-Bissau,72
Guyana,73
Haiti,78
Honduras,114
Hungary,50
Iceland,62
India,78
Indonesia,74
International,67
Iran,57
Iraq,118
Ireland,53
Israel,113
Italy,34
Jamaica,70
Japan,69
Jordan,78
Kazakhstan,105
Kenya,67
Kosovo,113
Kuwait,109
Kyrgyzstan,109
Laos,67
Latvia,62
Lebanon,106
Lesotho,67
Liberia,71
Libya,81
Liechtenstein,69
Lithuania,68
Luxembourg,74
Madagascar,67
Malawi,67
Malaysia,61
Maldives,118
Mali,70
Malta,97
Marshall Islands,67
Mauritania,90
Mauritius,63
Mexico,100
Moldova,110
Monaco,72
Mongolia,67
Montenegro,109
Morocco,97
Mozambique,67
Myanmar,67
Namibia,73
Nepal,77
Netherlands,87
New Zealand,61
Nicaragua,70
Niger,65
Nigeria,70
North Macedonia,99
Norway,47
Oman,62
Pakistan,90
Palestine,102
Panama,96
Papua New Guinea,67
Paraguay,82
Peru,108
Philippines,87
Poland,56
Portugal,49
Qatar,63
Romania,76
Russia,89
Rwanda,67
Saint Kitts and Nevis,64
Saint Lucia,68
Saint Vincent and the Grenadines,66
Samoa,67
San Marino,55
Sao Tome and Principe,68
Saudi Arabia,60
Senegal,89
Serbia,79
Seychelles,69
Sierra Leone,78
Singapore,35
Slovakia,77
Slovenia,54
Solomon Islands,67
Somalia,80
South Africa,104
South Korea,45
South Sudan,73
Spain,72
Sri Lanka,75
Sudan,74
Suriname,97
Sweden,48
Switzerland,51
Syria,67
Taiwan,61
Tajikistan,82
Tanzania,68
Thailand,68
Timor,72
Togo,69
Trinidad and Tobago,69
Tunisia,91
Turkey,72
Uganda,67
Ukraine,100
United Arab Emirates,75
United Kingdom,57
United States,67
Uruguay,75
Uzbekistan,72
Vanuatu,67
Vatican,64
Venezuela,71
Vietnam,66
Yemen,67
Zambia,69
Zimbabwe,67
Hong Kong,2
