Nation,Similarity Score
Afghanistan,180
Albania,79
Algeria,137
Andorra,101
Angola,180
Antigua and Barbuda,170
Argentina,90
Armenia,51
Australia,165
Austria,53
Azerbaijan,84
Bahamas,102
Bahrain,39
Bangladesh,149
Barbados,161
Belarus,87
Belgium,42
Belize,116
Benin,193
Bhutan,184
Bolivia,91
Bosnia and Herzegovina,62
Botswana,174
Brazil,56
Brunei,165
Bulgaria,49
Burkina Faso,180
Burundi,191
Cambodia,188
Cameroon,177
Canada,74
Cape Verde,92
Central African Republic,206
Chad,188
Chile,46
China,154
Colombia,65
Comoros,184
Congo,177
Costa Rica,98
Cote d'Ivoire,195
Croatia,42
Cuba,152
Cyprus,79
Czechia,63
Democratic Republic of Congo,192
Denmark,53
Djibouti,157
Dominica,170
Dominican Republic,64
Ecuador,76
Egypt,197
El Salvador,125
Equatorial Guinea,165
Eritrea,192
Estonia,60
Eswatini,123
Ethiopia,179
Fiji,183
Finland,70
France,37
Gabon,166
Gambia,181
Georgia,92
Germany,62
Ghana,198
Greece,73
Grenada,172
Guatemala,130
Guinea,173
Guinea-Bissau,174
Guyana,106
Haiti,208
Honduras,105
Hungary,61
Iceland,68
India,138
Indonesia,147
International,191
Iran,52
Iraq,112
Ireland,53
Israel,65
Italy,40
Jamaica,107
Japan,126
Jordan,120
Kazakhstan,91
Kenya,172
Kosovo,93
Kuwait,42
Kyrgyzstan,104
Laos,191
Latvia,80
Lebanon,90
Lesotho,183
Liberia,180
Libya,128
Liechtenstein,122
Lithuania,85
Luxembourg,58
Madagascar,212
Malawi,199
Malaysia,85
Maldives,92
Mali,189
Malta,59
Marshall Islands,189
Mauritius,159
Mexico,83
Moldova,53
Monaco,105
Mongolia,187
Montenegro,84
Morocco,82
Mozambique,177
Myanmar,135
Namibia,134
Nepal,140
Netherlands,58
New Zealand,157
Nicaragua,185
Niger,183
Nigeria,193
North Macedonia,55
Norway,59
Oman,77
Pakistan,179
Palestine,93
Panama,51
Papua New Guinea,195
Paraguay,113
Peru,61
Philippines,112
Poland,48
Portugal,44
Qatar,43
Romania,65
Russia,64
Rwanda,199
Saint Kitts and Nevis,182
Saint Lucia,163
Saint Vincent and the Grenadines,178
Samoa,191
San Marino,116
Sao Tome and Principe,181
Saudi Arabia,62
Senegal,185
Serbia,71
Seychelles,174
Sierra Leone,184
Singapore,107
Slovakia,82
Slovenia,61
Solomon Islands,192
Somalia,177
South Africa,72
South Korea,156
South Sudan,189
Spain,79
Sri Lanka,148
Sudan,192
Suriname,147
Sweden,81
Switzerland,80
Syria,203
Taiwan,172
Tajikistan,194
Tanzania,190
Thailand,169
Timor,185
Togo,187
Trinidad and Tobago,113
Tunisia,111
Turkey,96
Uganda,184
Ukraine,95
United Arab Emirates,67
United Kingdom,42
United States,40
Uruguay,116
Uzbekistan,146
Vanuatu,191
Vatican,179
Venezuela,145
Vietnam,189
Yemen,191
Zambia,190
Zimbabwe,213
Hong Kong,50
