Nation,Similarity Score
Afghanistan,71
Albania,121
Algeria,91
Andorra,89
Angola,115
Antigua and Barbuda,119
Argentina,102
Armenia,70
Australia,98
Austria,49
Azerbaijan,110
Bahamas,123
Bahrain,50
Bangladesh,76
Barbados,93
Belarus,77
Belgium,62
Belize,138
Benin,111
Bhutan,107
Bolivia,86
Bosnia and Herzegovina,109
Botswana,130
Brazil,86
Brunei,107
Bulgaria,61
Burkina Faso,119
Burundi,115
Cambodia,115
Cameroon,94
Canada,71
Cape Verde,120
Central African Republic,96
Chad,110
Chile,86
China,81
Colombia,90
Comoros,106
Congo,110
Costa Rica,120
Cote d'Ivoire,98
Croatia,64
Cuba,99
Cyprus,96
Czechia,56
Democratic Republic of Congo,115
Denmark,77
Djibouti,65
Dominica,114
Dominican Republic,73
Ecuador,114
Egypt,79
El Salvador,112
Equatorial Guinea,101
Eritrea,113
Estonia,64
Eswatini,109
Ethiopia,115
Fiji,120
Finland,46
France,39
Gabon,85
Gambia,119
Georgia,111
Germany,66
Ghana,84
Greece,114
Grenada,109
Guatemala,114
Guinea,78
Guinea-Bissau,95
Guyana,118
Haiti,90
Honduras,132
Hungary,58
Iceland,89
India,117
Indonesia,108
International,115
Iran,69
Iraq,168
Ireland,64
Israel,69
Italy,32
Jamaica,116
Japan,97
Jordan,129
Kazakhstan,87
Kenya,114
Kosovo,121
Kuwait,76
Kyrgyzstan,105
Laos,115
Latvia,84
Lebanon,129
Lesotho,117
Liberia,102
Libya,162
Liechtenstein,124
Lithuania,90
Luxembourg,62
Madagascar,115
Malawi,115
Malaysia,88
Maldives,103
Mali,110
Malta,93
Marshall Islands,115
Mauritania,93
Mauritius,109
Mexico,100
Moldova,104
Monaco,135
Mongolia,111
Montenegro,138
Morocco,137
Mozambique,115
Myanmar,115
Namibia,144
Nepal,126
Netherlands,62
New Zealand,102
Nicaragua,116
Niger,117
Nigeria,113
North Macedonia,92
Norway,67
Oman,71
Pakistan,73
Panama,82
Papua New Guinea,115
Paraguay,148
Peru,77
Philippines,108
Poland,47
Portugal,47
Qatar,87
Romania,95
Russia,124
Rwanda,115
Saint Kitts and Nevis,112
Saint Lucia,112
Saint Vincent and the Grenadines,109
Samoa,115
San Marino,69
Sao Tome and Principe,90
Saudi Arabia,74
Senegal,82
Serbia,89
Seychelles,115
Sierra Leone,97
Singapore,46
Slovakia,113
Slovenia,74
Solomon Islands,115
Somalia,92
South Africa,74
South Korea,95
South Sudan,102
Spain,59
Sri Lanka,112
Sudan,91
Suriname,119
Sweden,53
Switzerland,75
Syria,115
Taiwan,108
Tajikistan,75
Tanzania,116
Thailand,114
Timor,117
Togo,112
Trinidad and Tobago,133
Tunisia,134
Turkey,54
Uganda,115
Ukraine,103
United Arab Emirates,100
United Kingdom,49
United States,57
Uruguay,101
Uzbekistan,110
Vanuatu,115
Vatican,110
Venezuela,109
Vietnam,113
Yemen,114
Zambia,109
Zimbabwe,115
Hong Kong,5
